cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,16.86332822335429,13032,12199,25006080,14828080,0.7057571049923788,0.2942604473229537,1,1024,0,1,1,27.191423499999996,0.6472077260024174,0.042634757028829046,50.839787991666675
1024,128,121.90418010437173,20923,6806,24440832,21162264,0.6496916535777592,0.3674041830702552,0.5936794710873368,1024,0,1,1,85.6350783,0.8587552071108069,0.011067816359957823,50.839787991666675
1024,1536,11.295799600165454,19955,4003,38342656,24701592,0.898608746962297,0.3445333751459183,1,1024,0,1,1,19.35921565,0.5483695997642977,0.09310349273034803,50.839787991666675
1024,2048,11.23208464405457,12993,4170,39653376,23921704,1.0188771016946894,0.17605101042914148,1,1024,0,1,1,13.719463950000002,0.5253198128342883,0.05309884221508384,50.839787991666675
1024,256,103.82296145999382,24325,3391,24440832,21107848,0.5390887322410659,0.37895565516725715,0.5842294609165896,1024,0,1,1,87.02024015000002,0.8558885499832636,0.023171814911038435,50.839787991666675
1024,512,68.7425954964267,19714,4587,24440832,21328504,0.6415788604003274,0.37007587905204,0.9245925461590849,1024,0,1,1,54.98615385000001,0.8690176874558991,0.011966406123720689,50.839787991666675
128,1024,20.019995287617903,18144,4443,25268224,14861736,0.7129893928121924,0.1863563823838263,1,128,0,1,1,31.3730342,0.6479165079687909,0.03845784703872099,50.839787991666675
128,128,57.28826083470272,25003,1014,23916544,21055776,0.3652439524934726,0.22135507002455015,0.505945827881296,128,0,1,1,100.48464715000003,0.8635182703395529,0.009451565138868526,50.839787991666675
128,1536,16.976627249350294,20114,3333,38866944,23998072,0.9117392627424268,0.18990321980017089,1,128,0,1,1,23.366441850000005,0.5040660391236494,0.05030513723998761,50.839787991666675
128,2048,8.3241833008948,22473,455,38342656,24889744,1.0338970054683982,0.1330650001348604,1,128,0,1,1,14.856137949999995,0.5582916304427122,0.08614196896316575,50.839787991666675
