cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,12.316427502904496,33741,4471,25530368,14692000,0.7568322657214285,0.29964983119090194,1,1024,0,1,1,20.41039455,0.6591764295132301,0.061755462395691296,46.27633981666667
1024,128,57.00435287069302,17406,8111,27856896,24067448,0.42398504736052517,0.32559011583530834,0.46932639678285704,1024,0,1,1,98.60161314999999,0.8743699499262316,0.0077041484376894655,46.27633981666667
1024,1536,7.547917449168827,18868,3768,42545152,27344568,1.005887271704408,0.1593736679881266,1,1024,0,1,1,11.55182995,0.5324555342180408,0.06872178376769986,46.27633981666667
1024,2048,5.648854840441789,14085,7652,42807296,27486768,0.9531294313785195,0.1361283088336401,1,1024,0,1,1,11.624433149999998,0.52380070320719,0.05603158340488915,46.27633981666667
1024,256,66.01173879355102,20411,7096,28119040,24265680,0.4497171360867582,0.32412067165656705,0.5550648298140312,1024,0,1,1,83.37105384999998,0.8754234005895792,0.012160030273014747,46.27633981666667
1024,512,35.511737668882006,22232,590,27856896,24695512,0.5464443735817158,0.28971149331338053,0.8882434141197001,1024,0,1,1,52.09871425,0.8848798914092676,0.01366173004120123,46.27633981666667
128,1024,9.780135732399932,18021,4335,25006080,14703240,0.7047135169597125,0.2511689496521097,1,128,0,1,1,27.810922750000003,0.653273504594454,0.05891677242457753,46.27633981666667
128,128,56.64423553982376,18749,3029,27856896,24336472,0.3266658216506292,0.24275452754123217,0.4381955239756861,128,0,1,1,105.60660090000002,0.8783467496239922,0.009017334341129,46.27633981666667
128,1536,14.463990331077941,19245,3845,42283008,27313392,0.8421199201939921,0.17086901893623274,1,128,0,1,1,20.47912465,0.5093357318919582,0.06429064125496572,46.27633981666667
128,2048,9.156207930731446,17299,222,42545152,27429616,0.9974966538521344,0.16039520258389392,1,128,0,1,1,12.9443666,0.5149410436133613,0.05813514500226584,46.27633981666667
128,256,66.85452237302704,19064,4821,27856896,24377336,0.3039119317966647,0.2216875395965015,0.3693759467714258,128,0,1,1,125.28249394999997,0.8765016762986668,0.012191882012553838,46.27633981666667
128,512,37.87290756975239,16085,8761,27594752,24054960,0.40832754300342505,0.25091424982807103,0.6723045120266262,128,0,1,1,68.83241000000001,0.8823308992055866,0.011057627183008005,46.27633981666667
1536,1024,12.14904508507942,19562,3917,25006080,14701456,0.6704327929272037,0.28190155818683316,1,1536,0,1,1,27.10242875,0.643139648305233,0.044842784335303594,46.27633981666667
1536,128,27.626352086286484,26098,3739,27856896,24034984,0.5583011473753215,0.2524385761641808,0.8455318127960904,1536,0,1,1,54.7304538,0.8708970122249603,0.0077293738660888095,46.27633981666667
1536,1536,26.20948278154975,19365,36,42545152,27507392,0.7120209440487126,0.2505400778048444,1,1536,0,1,1,27.99893695,0.5062418195640621,0.0652875128434615,46.27633981666667
1536,2048,9.929164072279585,15857,22,42807296,27467272,1.0438051974954823,0.11428325814430301,1,1536,0,1,1,11.816620150000002,0.525574151323886,0.060048181679208876,46.27633981666667
1536,256,48.47150823598817,20959,3541,28119040,24312832,0.3928068777154515,0.2559539825953362,0.6114081867716936,1536,0,1,1,75.68812590000002,0.8810062464872697,0.011879540939308545,46.27633981666667
1536,512,29.308462119520396,23646,31,27856896,24668112,0.40606062989590813,0.22471343848918468,0.8110214570009272,1536,0,1,1,57.05932859999999,0.8853337522102877,0.0123497676058189,46.27633981666667
2048,1024,18.927600715584475,24654,40,25006080,14640328,0.7838106732857522,0.19799483497993722,1,2048,0,1,1,23.804339450000004,0.6510727612297794,0.05942657399072091,46.27633981666667
2048,128,28.23240522329332,28329,142,28119040,24314928,0.518576543789403,0.236162579131649,0.8101342877558768,2048,0,1,1,57.12181365,0.8779137494666356,0.008186415906654573,46.27633981666667
2048,1536,15.688335664510378,8225,12237,42020864,27457600,0.8721356551662494,0.16247272310501296,1,2048,0,1,1,19.718386549999998,0.5152390550916216,0.06328862121171226,46.27633981666667
2048,2048,10.41676689031181,11635,3903,42283008,27185512,0.9977378470132413,0.23417341967823257,1,2048,0,1,1,13.086317250000002,0.6092065154277619,0.11027891577420014,46.27633981666667
2048,256,31.801554596589007,15147,10800,27856896,24237728,0.5140139247020852,0.3011417848553603,0.8854559893593347,2048,0,1,1,52.26272155,0.8749208074612564,0.013507732767833642,46.27633981666667
2048,512,26.2889021812514,9803,15305,28381184,24256272,0.5565973371730155,0.27883570636122845,1,2048,0,1,1,41.66634639999999,0.8801292561860958,0.013253751064258947,46.27633981666667
256,1024,23.543689919925754,17464,3546,25268224,14747856,0.617170833483518,0.2120307549440897,1,256,0,1,1,36.2393118,0.6422158103786539,0.03862333493283149,46.27633981666667
256,128,51.22955221341273,23894,781,27856896,24649304,0.3278971168039927,0.21409200811473691,0.45274908219146565,256,0,1,1,102.21189095,0.8728849330504431,0.010095064909060899,46.27633981666667
256,1536,20.56230697527996,16088,27,42545152,27235064,0.7983619937033082,0.18786601270973585,1,256,0,1,1,25.862762399999998,0.507688656688799,0.05924429130124736,46.27633981666667
256,2048,9.86774035275636,16028,85,42283008,27329776,0.9744798630107743,0.16046534007519606,1,256,0,1,1,13.784269250000003,0.5274281793920781,0.058219650925382414,46.27633981666667
256,256,70.19605824921784,15036,8753,27856896,24610304,0.3527761691415607,0.3122147522942117,0.3866516656235388,256,0,1,1,119.68483245000002,0.8812443695217459,0.008347336443196528,46.27633981666667
256,512,35.33107891515102,15292,7952,27856896,24545120,0.4546164565414923,0.25007206959761447,0.7635935432483036,256,0,1,1,60.6033671,0.8810436315982896,0.01156311092167248,46.27633981666667
512,1024,17.698713756374392,34762,8474,25530368,14720680,0.726906436578506,0.17700950571380739,1,512,0,1,1,24.5628716,0.6513671236998821,0.04451683529385493,46.27633981666667
512,128,55.23210674825176,16047,7211,27856896,24427816,0.33953113532260437,0.20026326288169494,0.45916590720939227,512,0,1,1,100.78348389999998,0.8761193768474411,0.007787942819027334,46.27633981666667
512,1536,10.818958272430203,19246,4697,42020864,27896600,1.0020317588863252,0.20517133535454027,1,512,0,1,1,13.367549349999999,0.5439605944685437,0.07356805218324136,46.27633981666667
512,2048,11.367763771957,11744,3996,42807296,27237608,1.0333146461463856,0.1244688931465661,1,512,0,1,1,12.864829750000002,0.5227205995720227,0.05509886753314647,46.27633981666667
512,256,54.548297159977956,22793,1398,27332608,24315696,0.31861504416688136,0.18903179809026602,0.511577284656513,512,0,1,1,90.4581599,0.8820205776735035,0.008993837976844582,46.27633981666667
512,512,17.290146937664918,18710,4599,27856896,24299936,0.507771422821903,0.20487802596985308,1,512,0,1,1,43.0334678,0.88392103135845,0.011138529762034699,46.27633981666667
