cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,118.6556827848991,25374,3504,26054656,15030280,0.09354812871745817,0.11222660624958226,0.9862010043532564,1024,0,1,1,356.07252135,0.6569434384466566,0.06441568989562331,351.1590781779663
1024,128,156.81795675817273,23225,1316,24829952,21548872,0.07356209796771795,0.03109788653443785,0.8581770248430006,1024,0,1,1,409.1918893333333,0.8655459787939355,0.009862489465628245,351.1590781779663
1024,1536,134.82205398196191,34650,7731,34312192,15160352,0.0835914152300108,0.07450634809141539,1.0,1024,0,1,1,335.31375909999997,0.50552233396118,0.05076435553585285,351.1590781779663
1024,2048,156.72161297536542,64400,12084,35098624,14687104,0.06488852709806467,0.05324401397827738,1.0,1024,0,1,1,314.7124398499999,0.5212363125424759,0.050332277026182405,351.1590781779663
1024,256,115.8206481695371,25433,4754,24829952,21498752,0.06836525774232513,0.03267806630403365,0.8751704332206098,1024,0,1,1,401.2465056499999,0.8678060472787343,0.009646091236642762,351.1590781779663
1024,512,148.02918210262632,26928,3833,24043520,21131888,0.0829653375380342,0.045321094533357094,1.0,1024,0,1,1,313.85943354999995,0.8669914370640124,0.015741255357163704,351.1590781779663
128,1024,115.38808776732077,19935,3987,25792512,15098704,0.10760340819839306,0.17126642945268902,1.0,128,0,1,1,346.80391754999994,0.643566616499859,0.06895035037506754,351.1590781779663
128,128,158.47546100669652,17816,6308,24567808,21590384,0.07576700514281574,0.03640131394715965,0.8635926075088723,128,0,1,1,406.6258501111111,0.8641949895667961,0.0088858841777574,351.1590781779663
128,1536,140.1648388524961,14650,4503,38207488,26073584,0.09811908476416811,0.17448327492912902,1.0,128,0,1,1,333.90921685,0.5618341790527716,0.09549454721322377,351.1590781779663
128,2048,130.65219851369918,18515,429,39256064,24939328,0.07906618100810328,0.08771557433194058,1.0,128,0,1,1,292.906439,0.5250789008222349,0.05253084716962961,351.1590781779663
128,256,171.87050607303055,21148,4197,24305664,21196176,0.09652594090620273,0.06016184686203501,0.8623923619912511,128,0,1,1,407.19177679999996,0.865867212896567,0.014414201627069396,351.1590781779663
128,512,138.28333328286485,18175,6750,25354240,21220272,0.07825713799464737,0.03674550922294699,1.0,128,0,1,1,325.06394595000006,0.8625052609242765,0.013432210089487395,351.1590781779663
1536,1024,121.6573771338553,77060,10099,25792512,14557960,0.09966727145820369,0.10052033892364644,1.0,1536,0,1,1,342.97116005000004,0.6384322226283267,0.05483993581856195,351.1590781779663
1536,128,171.72235887724696,20856,5502,24305664,21195304,0.10876615528035202,0.06420708110101944,1.0,1536,0,1,1,336.42535972222225,0.861291376115543,0.0135981747005646,351.1590781779663
1536,1536,125.20066754701175,17479,258,38993920,24852192,0.06296683930414768,0.07527609309653166,0.9603985283486847,1536,0,1,1,365.6389174,0.6228015997446216,0.09826496886979151,351.1590781779663
1536,2048,149.0706742102276,27920,8793,34574336,15173080,0.060407731638291204,0.05151278440645104,0.9738775938893247,1536,0,1,1,360.5782496500001,0.5244906626695593,0.0514275565977771,351.1590781779663
1536,256,134.78895912361025,25258,2797,24567808,21525952,0.07191840840619164,0.042841526990193696,0.9923772282104555,1536,0,1,1,353.8564451052632,0.8643396086828545,0.014414222703710202,351.1590781779663
1536,512,128.51440605796137,16897,8528,24829952,21598040,0.06748756389915637,0.04308263975451644,0.8908177890591883,1536,0,1,1,394.1985471,0.8692714913126744,0.012232909757019846,351.1590781779663
2048,1024,167.9374625657756,15578,12080,30736384,24872456,0.103723126919766,0.09376577783226939,1.0,2048,0,1,1,314.7771429,0.6637349944839981,0.0778268707287336,351.1590781779663
2048,128,188.5766936059774,13479,11810,24305664,21096288,0.10893379022952003,0.058095513148410514,1.0,2048,0,1,1,335.2104567,0.8589521868485315,0.012960863004723374,351.1590781779663
2048,1536,127.55552832678838,17423,4311,38731776,25454824,0.07206641021687515,0.07939811583821149,1.0,2048,0,1,1,321.21903349999997,0.5589906583448674,0.1070240888764952,351.1590781779663
2048,2048,177.67585012326458,18722,14791,34312192,15175288,0.07483303709427916,0.07054902453566683,1.0,2048,0,1,1,311.78779380000003,0.5258669804598902,0.049181148138089915,351.1590781779663
2048,256,190.43165052460216,21197,4258,24567808,21514928,0.08891578191576248,0.058653615478308226,0.9513751327788368,2048,0,1,1,369.1068497368421,0.8632255510602571,0.012888215273403425,351.1590781779663
2048,512,139.4026887608423,21213,5180,24305664,21086896,0.0786365425425378,0.06153468491200111,1.0,2048,0,1,1,324.90190425000003,0.8653280460130505,0.012999662251791645,351.1590781779663
256,1024,155.89713458445408,23013,529,25792512,15030904,0.11952470032287636,0.17256291853556469,1.0,256,0,1,1,345.21260515,0.6420180066535197,0.0554227474760501,351.1590781779663
256,128,269.10128605168404,21159,8862,24567808,21558080,0.08925499708079968,0.04415341172041363,0.8332872863579647,256,0,1,1,421.414179631579,0.8617272384616907,0.013867083806022695,351.1590781779663
256,1536,132.92379165182294,25154,81,38469632,26156352,0.0998025086360334,0.08723323610845884,1.0,256,0,1,1,247.39005625,0.5113404482727555,0.05266414494765713,351.1590781779663
256,2048,128.7661357329398,24117,11225,34312192,15127184,0.05595238689961011,0.03409488215815356,1.0,256,0,1,1,331.945522,0.5284021912047054,0.04827145904232735,351.1590781779663
256,256,216.5659659788675,27410,184,24567808,21552328,0.0811822730069066,0.07001056844393444,0.758663094264455,256,0,1,1,462.86563935000004,0.86883989308955,0.010767298625467452,351.1590781779663
256,512,164.4996647523155,20843,8157,24567808,21591208,0.10892054245736574,0.06895559793621403,1.0,256,0,1,1,321.54911665,0.8688902281499565,0.013020598376027722,351.1590781779663
512,1024,109.10075751801367,72723,8230,26316800,14561848,0.11931076540316674,0.12055295233072989,1.0,512,0,1,1,283.6003757,0.6401720909980282,0.06203362941998211,351.1590781779663
512,128,161.53254226158822,24457,765,24567808,21519336,0.07424230662304493,0.04950216545755511,0.7833398619049604,512,0,1,1,448.28444875,0.8643228293709994,0.010674295820383078,351.1590781779663
512,1536,138.7812036448306,24436,15291,34312192,15115400,0.09432049560460828,0.15803704246422065,1.0,512,0,1,1,317.60687640000003,0.5712953327604517,0.10049632370424424,351.1590781779663
512,2048,136.09543488318604,16121,24,38993920,24934176,0.05730032902785272,0.03374808091436677,1.0,512,0,1,1,304.6437998,0.5284338892069353,0.05179888988854197,351.1590781779663
512,256,167.77278875675697,24876,264,24567808,21522736,0.08551907326035624,0.045593961482768196,0.9000184103435099,512,0,1,1,390.1687722631579,0.8665345370434426,0.012929564151695053,351.1590781779663
512,512,146.6421610256179,25091,3571,24567808,20959728,0.09876495658750459,0.06651890162642576,0.9877257224280893,512,0,1,1,355.5228645000001,0.8626459020013797,0.012937263424256638,351.1590781779663
