cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,17.97088364706441,28507,12138,25792512,15019064,0.8209777873591635,0.20458067631872034,1,1024,0,1,1,25.771202949999996,0.6697156302117695,0.05184773336184849,40.92869574358974
1024,128,170.90041693739687,25060,4663,24829952,20915112,0.40915108839826414,0.3628691597380424,0.2760361620054738,1024,0,1,1,148.27294890000002,0.86247349901014,0.011841889147038846,40.92869574358974
1024,1536,20.337981387178093,17823,4390,38469632,25876504,0.8516122007084487,0.185962974815924,1,1024,0,1,1,25.03867305,0.5627599694133989,0.09732197257858749,40.92869574358974
1024,2048,12.297105641719995,32106,7220,34574336,15201344,1.0022792416359567,0.17600534016758052,1,1024,0,1,1,16.36248395,0.5300668102490819,0.05024559810372057,40.92869574358974
1024,256,228.31849822009502,26966,32,24829952,20960408,0.4455563470327165,0.3566379325694201,0.30827027965686027,1024,0,1,1,132.76886694736845,0.858703067332784,0.01205282268933713,40.92869574358974
1024,512,36.069342109430885,19649,3799,24305664,21174904,0.5600944586837284,0.2645939446055612,0.9569503039623354,1024,0,1,1,42.76992815,0.8683077656155618,0.014032036253601726,40.92869574358974
128,1024,21.91329086877567,62328,16439,25792512,14908264,0.6443801980726366,0.25184994703074787,1,128,0,1,1,35.6860432,0.6569639250053381,0.05650927612781605,40.92869574358974
128,128,57.1686962449733,16793,8153,24567808,21553432,0.3812485109326184,0.2946808213072772,0.4031282571459849,128,0,1,1,101.52772726315791,0.8664885292804002,0.0110490248691673,40.92869574358974
128,1536,13.321937072815933,20912,37,38731776,25035664,0.8224590765408113,0.17026901147944215,1,128,0,1,1,23.483112100000007,0.560860345929798,0.09035885433096877,40.92869574358974
128,2048,24.25028553063206,12691,4121,38993920,24786408,0.7974059861088498,0.20765027546557038,1,128,0,1,1,23.339490849999997,0.530166851021443,0.05339898296629302,40.92869574358974
128,256,63.65276509448561,16603,6738,24567808,21578288,0.33331301412355985,0.2145133065323344,0.37005989876227074,128,0,1,1,110.60019170000001,0.8669547879723266,0.013454971288071934,40.92869574358974
128,512,59.165960052154134,15409,20,24829952,21354312,0.5238869797708818,0.3572069702364418,0.6168093433397204,128,0,1,1,66.35550545000001,0.8649598384533617,0.015094436798918366,40.92869574358974
1536,1024,22.072838114950105,59928,7163,31522816,23175560,0.7349482395605424,0.19938728707009856,1,1536,0,1,1,32.541878049999994,0.6644928816620548,0.07012447961006485,40.92869574358974
1536,128,34.67078298403221,24458,6881,24567808,21594680,0.35101938697229434,0.2064376754635141,0.46909732624788214,1536,0,1,1,87.24990199999999,0.8642183480105846,0.010271131333085427,40.92869574358974
1536,1536,17.626023148704743,17828,20,34574336,15222576,0.8694426166838134,0.14413626169134197,1,1536,0,1,1,18.445868800000003,0.5427120540088566,0.06869945434843364,40.92869574358974
