cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,88.99659039823833,471084,51126,39170048,31518472,1.0290513533617864,0.12372798596826,0.8752684693905443,1024,0,1,1,324.6733572,0.7734133669224015,0.11122810347259272,284.17635240833346
1024,128,406.15541527483686,451666,60307,47431680,44355072,0.9579861498973538,0.3385266860762873,0.5410634636433758,1024,0,1,1,525.2181518499999,0.9017133702348301,0.05985339778889399,284.17635240833346
1024,1536,60.65290108935943,308106,47598,59232256,44540192,1.5551458547667238,0.21154165292650562,1.0,1024,0,1,1,166.7534946,0.7397381237660448,0.13283453094477404,284.17635240833346
1024,2048,32.012232491078144,289069,69432,59232256,44913032,2.080620454979723,0.33456241378761775,1.0,1024,0,1,1,104.72252215,0.6589454823999693,0.14850275181387756,284.17635240833346
1024,256,66.67479424539572,496042,58076,47693824,44802992,1.4080530853453845,0.14782848247160116,1.0,1024,0,1,1,241.76095740000005,0.8416729383450203,0.11742963376742806,284.17635240833346
1024,512,55.14507339237715,404723,40518,32743424,29632720,1.044958931660434,0.12589095088440183,0.7977189301526257,1024,0,1,1,356.23619005,0.8990807869385975,0.059791144803465396,284.17635240833346
128,1024,61.90871439737183,446152,48881,44675072,30178696,1.0658904711216253,0.1527904931555787,0.887725729267608,128,0,1,1,320.1172874,0.755956172711245,0.10999748098108787,284.17635240833346
128,128,154.56132793852132,402030,51014,33792000,29635784,0.9949806096725954,0.19554518035924184,0.6909216914084748,128,0,1,1,411.3003773684211,0.8751365957658329,0.07129136473478673,284.17635240833346
128,1536,55.53159023890822,387788,59263,58707968,45076616,1.4614775480488955,0.21255527786455247,1.0,128,0,1,1,192.2609051,0.6800585278031098,0.15939611255682296,284.17635240833346
128,2048,49.676722648720535,320640,59915,59494400,45408224,1.7612913498066085,0.4616749368375252,1.0,128,0,1,1,127.31768939999999,0.757840799083308,0.1589438272173394,284.17635240833346
128,256,68.553734755809,471227,51687,38248448,29837720,1.0925848687769952,0.16781576800181153,0.8311970117677706,128,0,1,1,341.88808235,0.8909679318418027,0.07694987943505704,284.17635240833346
128,512,52.39004333891117,394740,71889,34316288,29671072,1.1218431283556427,0.111351135087096,0.8546447459763963,128,0,1,1,332.5081605499999,0.892452032455893,0.06714170401429898,284.17635240833346
1536,1024,88.82049433309496,334241,54676,39956480,29897160,1.1106118547559471,0.18788041164433614,0.9093552428840483,1536,0,1,1,312.5031220000001,0.7496571854056029,0.12071105314635994,284.17635240833346
1536,128,264.9672526667194,407528,75098,36675584,30167832,0.8722725161918656,0.24433228917716004,0.5416578182412355,1536,0,1,1,524.6418363,0.8795940631692467,0.06373239382889276,284.17635240833346
1536,1536,52.54477106979807,326977,50340,59756544,44885288,1.5774556850841168,0.16668523328484577,1.0,1536,0,1,1,164.4806016,0.7138051038213191,0.1340141443993893,284.17635240833346
1536,2048,37.83326985356357,339893,53262,58970112,45482904,1.8277134350692095,0.2769839333799536,1.0,1536,0,1,1,114.51608065000002,0.6917185713894791,0.15583482429948778,284.17635240833346
1536,256,47.06067460063098,395813,46138,34316288,29735304,1.4754478010614194,0.16671884840397083,1.0,1536,0,1,1,226.65912700000004,0.8397309639028098,0.09253858651838168,284.17635240833346
1536,512,69.68212360251644,414942,50099,32743424,29879216,1.0890715085250284,0.1385185734385198,0.7844598731817561,1536,0,1,1,362.2573469,0.9066938565084609,0.0545403483896306,284.17635240833346
2048,1024,68.51080569015369,383505,53596,44937216,30218872,1.0196151662788324,0.14783321374488473,0.8794772660843432,2048,0,1,1,323.11961134999996,0.7461932081257762,0.1263635677310391,284.17635240833346
2048,128,262.2277641445271,372722,71144,32743424,29876216,1.0846762658848905,0.395449182976908,0.6507287101255189,2048,0,1,1,436.7048018421052,0.8561425830125445,0.0830903299528005,284.17635240833346
2048,1536,55.22338420366176,349230,36775,59232256,44622888,1.5666992704327085,0.2591193266801777,1.0,2048,0,1,1,168.6957832,0.7140771362039108,0.12140890910061002,284.17635240833346
2048,2048,52.25718239658238,352897,44671,59232256,45870784,1.8244061953150925,0.34917083800478,1.0,2048,0,1,1,132.63024535,0.7202572442824479,0.15423975012753405,284.17635240833346
2048,256,48.57494091817001,337333,62928,47431680,44098856,1.5014151671678282,0.18433472122563824,1.0,2048,0,1,1,228.72674085,0.8945014084622027,0.05734793058430807,284.17635240833346
2048,512,46.21331150390693,420465,34629,34840576,29832368,1.5917932439368276,0.13262849726871026,1.0,2048,0,1,1,217.05456975000007,0.8731516367021193,0.1148285475845564,284.17635240833346
256,1024,73.60577624745866,437990,22527,43102208,30125928,1.2117464107456415,0.20281023116970595,1.0,256,0,1,1,283.158711,0.7125583183534635,0.12752753035792963,284.17635240833346
256,128,85.87469272438464,460117,65862,33529856,29919792,1.144680343133221,0.23014965383743743,0.8324975682938904,256,0,1,1,341.35397295,0.8806178843344105,0.07568942466029988,284.17635240833346
256,1536,65.86243659360596,328871,43894,57921536,44557160,1.4267713176149894,0.19097714696372467,1.0,256,0,1,1,187.2131875,0.7396230755689823,0.11276620132961854,284.17635240833346
256,2048,40.63659287667903,314414,46023,59494400,44883904,2.2411814054721475,0.29198802620231795,1.0,256,0,1,1,95.33692599999998,0.6742718083678534,0.15723827338241908,284.17635240833346
256,256,77.58070523696793,432020,66268,39034880,30376664,1.2150923086088385,0.25041755308912533,0.8805464954515061,256,0,1,1,322.72725390000005,0.8743424329467583,0.05416095066305509,284.17635240833346
256,512,60.660581951155606,423875,45882,33005568,29623808,1.1482903672315703,0.1236042579574356,0.8475876050022583,256,0,1,1,335.27667315,0.8539953925546744,0.07050677408193232,284.17635240833346
512,1024,74.97962763059358,438258,32057,38383616,30886032,1.022857019490504,0.2205588895040219,0.8730859025170761,512,0,1,1,325.48498559999996,0.7478110484984679,0.1074582542461714,284.17635240833346
512,128,83.13366380733022,425020,73765,41656320,29623600,0.8604768603724621,0.13274892961371745,0.5799148848935841,512,0,1,1,490.03114044999995,0.8822522891103899,0.06896990209531818,284.17635240833346
512,1536,62.4959803607936,440319,22665,58970112,46205208,1.6632661494629866,0.3235726238720564,1.0,512,0,1,1,166.93746675,0.7240782652888065,0.18026392213339476,284.17635240833346
512,2048,40.87807932489095,362808,53481,58183680,46208016,1.8283204456296331,0.3004853690332915,1.0,512,0,1,1,115.44977115000002,0.6616352669360647,0.16249914636266485,284.17635240833346
512,256,55.112083376259044,456255,30316,43491328,29712904,1.4250386607509384,0.12270364895291899,1.0,512,0,1,1,252.83606805,0.7960047016681187,0.14849201534416423,284.17635240833346
512,512,89.90089620592158,428818,71885,34054144,29683944,1.0462964135001667,0.16854852011387222,0.7692743719738808,512,0,1,1,369.40831875000003,0.8553425929717134,0.08247895373421038,284.17635240833346
