cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,47.29879843991045,253076,51944,39170048,31867360,1.3117256590048634,0.24977344417294217,1,1024,0,1,1,124.55758030000004,0.7792524537075556,0.11294354957822952,139.27106992499998
1024,128,87.40826961057589,324353,50937,32481280,30012648,1.2629801971312244,0.26844069013881894,0.72141987636996,1024,0,1,1,193.05133457894735,0.8856834925927309,0.06174880229357375,139.27106992499998
1024,1536,57.287869575503386,227508,42232,38244352,15633424,1.4124913480279275,0.27969912453883994,1,1024,0,1,1,99.96279765,0.7280436627031659,0.12723741011447914,139.27106992499998
1024,2048,32.43494063940972,259222,38715,50049024,30503728,1.8000279208583074,0.3294206807016528,1,1024,0,1,1,67.5685421,0.7426017978043652,0.10905113924887222,139.27106992499998
1024,256,41.08261394534389,260477,22059,33005568,30155992,1.37927446525198,0.25965727703742536,0.9779925930006876,1024,0,1,1,142.4050355,0.8702718363742813,0.08066210213945435,139.27106992499998
1024,512,57.633129867896415,328645,23017,33529856,30422384,1.127414836092299,0.12908264448073992,0.722160282040505,1024,0,1,1,192.85340580000002,0.8849009299469431,0.054354150794906936,139.27106992499998
128,1024,73.4861458757788,247384,29468,39694336,30134640,0.9466699405890763,0.2065720551783852,0.7065699786780535,128,0,1,1,197.10867165000005,0.788120482387318,0.07463490276218826,139.27106992499998
128,128,86.95467734061255,256364,42460,33005568,29826920,1.144876876575595,0.23866695766854412,0.732809746317903,128,0,1,1,190.05078824999998,0.8693819167114147,0.07362828926193193,139.27106992499998
128,1536,55.41893565473834,253010,51077,50573312,30366040,1.245901953701486,0.20411920478205717,1,128,0,1,1,117.1318987,0.7402675707758248,0.11789769976567176,139.27106992499998
128,2048,29.317138854254154,255294,47513,50049024,30119352,1.9997211724122899,0.2547719683049327,1,128,0,1,1,56.18608725,0.7121529102852096,0.12287427112014895,139.27106992499998
128,256,40.329711168273455,220538,42339,32743424,29889040,1.2903044679290747,0.20367456632756067,0.9460865866974988,128,0,1,1,147.20753035,0.8857165514912726,0.07508130410632714,139.27106992499998
128,512,46.14496209531722,283116,35974,33005568,29958528,1.463787564004192,0.16296728962176651,1,128,0,1,1,127.94144334999999,0.8877436148924127,0.06686075762047022,139.27106992499998
1536,1024,51.96677236126554,249324,41964,38907904,31891200,1.3957721558512812,0.22472593226693294,1,1536,0,1,1,115.8979328,0.7516611917575028,0.1259336648907717,139.27106992499998
1536,128,277.4356189785167,268331,51096,32481280,29964000,1.1855873741764165,0.42426262274475085,0.5833547187406662,1536,0,1,1,238.74165315000005,0.8823408018543276,0.0822384684348373,139.27106992499998
1536,1536,55.84477317754446,245711,53260,50835456,30144432,1.4572798877975746,0.2133141489188314,1,1536,0,1,1,102.45534890000002,0.7097320914477211,0.12276498080664094,139.27106992499998
1536,2048,24.17843423927427,253462,43519,49524736,29991192,1.5834635041916325,0.19327298532396694,1,1536,0,1,1,77.9126007,0.7402692035545797,0.09258184899322175,139.27106992499998
1536,256,41.75940873281378,267893,44604,33005568,29952600,1.2866291765768811,0.21942751507724736,0.9234104225002456,1536,0,1,1,150.8225016,0.8741693276197575,0.08121038551193165,139.27106992499998
1536,512,65.22961148010987,309264,42966,33267712,30307760,1.1577959472722643,0.15878774364352374,0.7616924940973502,1536,0,1,1,182.84421995,0.8911608373798181,0.06886171384249241,139.27106992499998
2048,1024,70.09665347601299,233420,52298,38383616,31821960,0.9146846045032136,0.18610216543641922,0.7070321241882764,2048,0,1,1,196.97983324999998,0.7665353406065407,0.1262723323813755,139.27106992499998
2048,128,130.6491937057392,260520,54246,33267712,29823816,1.0105326133067867,0.22449314766065265,0.5840920640533008,2048,0,1,1,238.44027079999995,0.902638130620072,0.042035687011459134,139.27106992499998
