cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,573.4530654000939,1906420,163242,43962368,34862760,0.8488361455676173,0.19544328886409618,0.679610472366687,1024,0,1,1,377.9118880000001,0.8467881983120817,0.029095390208133256,256.8328767166666
1024,128,633.7868230442565,1875544,177252,35962880,33372680,0.9471418982524697,0.09039773240097564,0.6487789440908536,1024,0,1,1,395.87116545,0.9278894289347722,0.008612478959851896,256.8328767166666
1024,1536,342.67760537495184,1547175,127820,51957760,42200320,1.0551690810900638,0.14230560182962437,1.0,1024,0,1,1,216.52805224999997,0.7268112389270704,0.05216337910633936,256.8328767166666
1024,2048,186.80135658965364,1401701,76599,51433472,35173064,1.0681475501478566,0.13962454382070807,1.0,1024,0,1,1,100.55590229999999,0.745458912767252,0.045102399261275516,256.8328767166666
1024,256,336.6852801103418,1618838,139394,36225024,32576552,1.067074693511407,0.14776704952273692,1.0,1024,0,1,1,228.42294110000003,0.9252680667967421,0.030268305907325013,256.8328767166666
1024,512,360.8882531916795,1658679,88972,35700736,33173032,1.1001350873073563,0.14445984010419816,1.0,1024,0,1,1,221.70731120000005,0.9159769440360771,0.0457306668496579,256.8328767166666
128,1024,348.90026043964576,1603312,111633,43175936,37513096,0.9829686689226189,0.15854759399364837,1.0,128,0,1,1,243.37406779999998,0.8380964797010122,0.03254402399429892,256.8328767166666
128,128,655.7450264768709,1798014,166795,36487168,32509088,0.9398584359511304,0.11053119881993541,0.618314066225715,128,0,1,1,415.37608595,0.9298882425341084,0.012330614171449936,256.8328767166666
128,1536,326.46666617841174,1558622,113118,52482048,38750600,1.0742862559931377,0.14272043657998223,1.0,128,0,1,1,197.24295430000004,0.7361233324151326,0.05336813832379846,256.8328767166666
128,2048,212.52725502617014,1497794,102150,52219904,40230680,1.05224993254647,0.12725868361756051,1.0,128,0,1,1,128.77219165000002,0.7272774313486106,0.06522820582229473,256.8328767166666
128,256,319.23968240663595,1542791,115025,35962880,32810856,1.0240249820151681,0.15609331560327944,1.0,128,0,1,1,236.80447464999997,0.920899544412995,0.030953250708737952,256.8328767166666
128,512,559.9066065700017,1669565,113981,35962880,33044904,0.9199225047915147,0.1712654124714907,0.6875172065707886,128,0,1,1,373.5657439,0.9323794565767696,0.009447997117402135,256.8328767166666
