cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,75.02789127594916,74885,4710,30814208,24888568,0.8079422710294631,0.12041522541749872,0.6982661779890803,1024,0,1,1,157.5814174,0.6794953538890158,0.050744990491876335,110.03377404999995
1024,128,64.49505019671278,108676,8452,24645632,21135440,0.8658703064629361,0.06949765780726991,0.7288939936509928,1024,0,1,1,150.95991325000003,0.8699055747343035,0.0177402431225737,110.03377404999995
1024,1536,34.657006767356876,97966,46,39333888,24824632,0.9572814259680374,0.04709378936260172,0.957365271783265,1024,0,1,1,114.93395185,0.5386330313913013,0.05922540896080799,110.03377404999995
1024,2048,35.21981997664322,91857,3717,39333888,24947696,1.0204101051647816,0.02916751338106674,1.0,1024,0,1,1,68.03880775000002,0.5439899706811129,0.06054838267866997,110.03377404999995
1024,256,66.45408316921151,80606,8191,25169920,21007688,0.8695630310233298,0.10533639276750188,0.719080280343218,1024,0,1,1,153.02015235000002,0.8456640617439678,0.025405266128675563,110.03377404999995
1024,512,51.738603860224096,148228,15536,18841600,14643504,0.9438109192517631,0.037881127888953786,0.9202072376787809,1024,0,1,1,119.57499305000003,0.8300971033691242,0.02799723174913181,110.03377404999995
128,1024,61.755124770489246,192694,67,31076352,24916264,0.8635734933688095,0.11896099103982223,0.740093340736362,128,0,1,1,148.67553590000003,0.6808267008471389,0.055248555839549754,110.03377404999995
128,128,66.59147046692807,180557,31,24907776,21021936,0.8145909269087481,0.09136054275257721,0.6619351647383933,128,0,1,1,166.23044055,0.8716809221678631,0.01631714606824667,110.03377404999995
128,1536,40.337803770677525,136996,16232,39596032,25076992,0.9414850291996422,0.054793832910317836,1.0,128,0,1,1,108.7468877,0.557627643648278,0.048199859789044786,110.03377404999995
128,2048,25.84364625297158,57219,188,39596032,24966128,1.0158765582208737,0.022894383418541966,1.0,128,0,1,1,66.28622829999999,0.5432654258798407,0.053410434637506984,110.03377404999995
128,256,43.43315394865756,68857,7429,18841600,14672440,0.9292250499613578,0.06991474085136856,1.0,128,0,1,1,105.05327685,0.8271543591984095,0.020589600929119767,110.03377404999995
128,512,42.8082363107525,75515,11801,18841600,14640264,0.9961391252634172,0.04323989388777704,1.0,128,0,1,1,104.36987575,0.8211634562345876,0.01791870445045308,110.03377404999995
1536,1024,51.75633684184342,197438,11853,25530368,15807192,0.8768838458313241,0.08938438669960498,0.6397013908773577,1536,0,1,1,172.0080269,0.6782016073811543,0.050208974432987524,110.03377404999995
1536,128,43.45672435032089,75140,7925,18841600,14708640,0.9450100776443279,0.0414388278691787,0.9792106166227006,1536,0,1,1,112.36987445,0.8397030046105783,0.02604326954172399,110.03377404999995
1536,1536,50.59231927542645,117873,308,39333888,24946336,0.9557531965853077,0.05254859338454769,0.9758214218654276,1536,0,1,1,112.76015425,0.5498336310889864,0.050664725436592596,110.03377404999995
1536,2048,21.464727085285613,49734,4273,39596032,24875728,1.0205160372634814,0.03921247788362726,1.0,1536,0,1,1,68.84442420000002,0.5369228995662293,0.056519502265629566,110.03377404999995
1536,256,40.28928427793816,181498,3741,19103744,15105752,0.9709583278640034,0.06240800805130422,1.0,1536,0,1,1,96.31404395,0.8225202536201692,0.01662574891142866,110.03377404999995
1536,512,37.50468607772449,95336,3439,18841600,14717040,0.9971029115866361,0.03859864672748823,1.0,1536,0,1,1,97.90612055,0.8431256265024671,0.03303973705467349,110.03377404999995
2048,1024,48.448178058065615,219970,6660,30552064,24878152,0.8907666918446348,0.07665462066611682,0.7765748171540182,2048,0,1,1,141.69114374999998,0.6814042410669561,0.05806972213720784,110.03377404999995
2048,128,44.94899450069492,47554,57,25169920,20654872,0.9473818844439199,0.05143890781208252,0.8488751729742742,2048,0,1,1,129.6230324,0.8424717263360272,0.03236415917032894,110.03377404999995
2048,1536,42.29258181931503,116554,4152,38809600,24927344,0.9739522101817031,0.022764499216448974,1.0,2048,0,1,1,99.19926375000003,0.5446543324305962,0.052123834678083215,110.03377404999995
2048,2048,29.429183322594763,108654,16,39333888,24844488,1.026423881166417,0.07684976177381914,1.0,2048,0,1,1,81.98535365,0.5516623360955047,0.06677110630017923,110.03377404999995
2048,256,54.029321328505844,54299,21,18841600,14703120,0.9636811196161406,0.061113245572995016,1.0,2048,0,1,1,96.93082554999998,0.8436183370275195,0.028324301197162928,110.03377404999995
2048,512,43.231071016234516,75818,11972,18841600,14732248,0.998938969172673,0.01943202927226195,1.0,2048,0,1,1,94.92490175,0.8235786207998157,0.02087726197390245,110.03377404999995
256,1024,87.01227528710335,48243,4027,25530368,15734416,0.832233080772404,0.20204180206861902,0.815584085046959,256,0,1,1,134.91407699999996,0.6775539738528822,0.05707564698117418,110.03377404999995
256,128,44.785090837858505,160721,8214,18841600,14623560,0.9233379044865802,0.0494156279314921,0.9221330514566296,256,0,1,1,119.3252686,0.8262502066135079,0.030670874622738546,110.03377404999995
256,1536,50.310642224106765,171414,3948,39333888,24901448,0.9641770621328677,0.04178605644113838,0.9730920392108376,256,0,1,1,113.0764302,0.5430834818088968,0.058765214059990106,110.03377404999995
