cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,64.00732488529299,86301,23,33984512,28615304,0.893558955372544,0.10580329960665519,0.8641956890038148,1024,0,1,1,122.41296615000002,0.6748114256032564,0.06757994446990287,105.78875762499993
1024,128,33.00060593388719,107069,7833,28602368,24815352,0.9335577510748742,0.06807362880871179,1.0,1024,0,1,1,95.49583525,0.874056503159558,0.011450414511624742,105.78875762499993
1024,1536,39.7055728004169,175206,10975,34836480,14986448,0.9736975620321703,0.032314222183525844,0.9650696868137201,1024,0,1,1,109.61773960000001,0.5363571096344837,0.0500656831976271,105.78875762499993
1024,2048,30.526748895715375,101201,47,34574336,17194208,1.0090395523609665,0.02868656538594843,1.0,1024,0,1,1,69.97765039999999,0.5384777542595337,0.06083844612430586,105.78875762499993
1024,256,41.75406035367982,38092,4384,28340224,24753368,0.9792727463209738,0.09941308298282572,1.0,1024,0,1,1,95.9561952,0.8792298383756982,0.015074198881280592,105.78875762499993
1024,512,30.49021060566252,85785,448,28602368,24538608,0.9788445861226599,0.02552552130704007,1.0,1024,0,1,1,76.68054225,0.8815416151163479,0.012355742412118238,105.78875762499993
128,1024,59.67692072378831,147118,3523,33722368,28769560,0.8584345048357056,0.10553224131231907,0.7497822748701839,128,0,1,1,141.09263605,0.6893177184579632,0.08509408954729215,105.78875762499993
128,128,49.85456015607397,77171,3143,28340224,23859880,0.9199727930530965,0.08172879611144503,0.9694491291354934,128,0,1,1,109.12254645,0.8682237318718944,0.015950958323586305,105.78875762499993
128,1536,44.57939974338768,87988,3998,34836480,17080168,0.9356483316259407,0.09110092109653918,0.97313055879275,128,0,1,1,108.70972724999999,0.5425917916775049,0.045864356802866366,105.78875762499993
128,2048,24.460794505875032,117942,9829,34574336,15791848,1.0109982587345354,0.027823231929001005,1.0,128,0,1,1,64.76142645000002,0.551034553776745,0.06337756706125547,105.78875762499993
128,256,33.17173858229274,81863,4894,28602368,24170320,0.9414574147737689,0.050034288765121705,1.0,128,0,1,1,102.8577094,0.8724254116750959,0.014119628623123291,105.78875762499993
128,512,64.57300393169628,60728,6883,28602368,24094040,0.892989665909582,0.161999674836625,0.9038845450311609,128,0,1,1,117.03790955000002,0.8677274150492934,0.013004640156432734,105.78875762499993
1536,1024,54.80497905405332,132225,41,33722368,28619592,0.8941291247980455,0.10171107869788289,0.7940295519923517,1536,0,1,1,133.23025239999998,0.6758089070967729,0.06990497349193375,105.78875762499993
1536,128,48.025878936572575,153668,352,28340224,23780256,0.9061213841475533,0.09813047482467603,0.8490586547337582,1536,0,1,1,124.59534690000001,0.8742270143083374,0.01694611739284393,105.78875762499993
1536,1536,30.186283804590513,77155,363,42504192,28332344,0.9545732698466235,0.06160435520765791,1.0,1536,0,1,1,82.3003863,0.5335829260877029,0.05698031938496439,105.78875762499993
1536,2048,28.47296600125415,72718,708,42766336,28269848,1.0023896260340073,0.009374780205299301,1.0,1536,0,1,1,73.1914946,0.5280864134504099,0.05617442075445821,105.78875762499993
1536,256,40.5206187035674,99883,24,28864512,24749272,0.9318113866458374,0.12205839398534973,0.9751978286326975,1536,0,1,1,108.4792793,0.8725099818334712,0.013483322639596411,105.78875762499993
1536,512,60.43199281484517,133835,25,28340224,23864880,0.8876840972395603,0.11842082215165886,0.9367159970960928,1536,0,1,1,112.93578624999998,0.875136363695088,0.01641975157926586,105.78875762499993
2048,1024,56.60939267289255,90805,7736,33722368,28760200,0.891824067867509,0.1420562628355626,0.8819637265201851,2048,0,1,1,119.94683504999998,0.6847176004762551,0.07471523775863224,105.78875762499993
2048,128,69.15934269937392,128276,829,28602368,24584040,0.9190738207287756,0.07701106142005075,0.8219423219780985,2048,0,1,1,128.70581645,0.8804636259548186,0.016436443137722728,105.78875762499993
2048,1536,37.923744301899895,110684,4,34574336,17200248,0.9531599228373482,0.10372551927166822,1.0,2048,0,1,1,89.6064066,0.5487875115717745,0.07921640107949196,105.78875762499993
2048,2048,30.528466418425182,106075,0,42504192,28253720,0.9869564815743678,0.01574275903351176,1.0,2048,0,1,1,82.23328584999999,0.5364337256268662,0.06121223687541738,105.78875762499993
2048,256,42.46666012206299,200926,251,28602368,24808744,0.9109149741421019,0.10835097455896424,0.8619063526397649,2048,0,1,1,122.73811105,0.8750540309251079,0.011987953002242716,105.78875762499993
2048,512,50.69773137400587,74184,3680,27815936,24483296,0.911385177010034,0.08078803233357587,0.9027272818226073,2048,0,1,1,117.18794784999997,0.8798547675193011,0.016853279882695877,105.78875762499993
256,1024,60.488444184044035,111158,2806,35033088,28169344,0.8980565840529063,0.07101874274974994,0.9008722047961372,256,0,1,1,117.4292614,0.6792060827950689,0.06897144300255516,105.78875762499993
256,128,66.25290893400509,39014,15,28340224,23992464,0.8666126534070111,0.11022477605779159,0.8812342866226123,256,0,1,1,120.0461208,0.871356852998653,0.014757324424537687,105.78875762499993
256,1536,31.257111408993012,28051,8,34836480,15953720,0.9503621686689705,0.04774438867618645,1.0,256,0,1,1,100.1504682,0.5280293663403507,0.05593322266906111,105.78875762499993
256,2048,20.502611118390643,120153,8758,34574336,15730168,1.0132872399826502,0.06584956413689115,1.0,256,0,1,1,72.08774594999998,0.5456517524455939,0.06590345714692618,105.78875762499993
256,256,28.134038828197834,85631,5037,28340224,24547992,0.949047514379943,0.06716325745952907,1.0,256,0,1,1,95.21836294999999,0.8787540750583045,0.011617570444154327,105.78875762499993
256,512,41.22217354815071,100953,3350,27815936,24509064,0.9557597666303375,0.04636178835774895,0.959546887341483,256,0,1,1,110.24865905000001,0.8815504211758187,0.011179899258874481,105.78875762499993
512,1024,65.60176355166753,77826,36,33722368,28757384,0.8488497242226789,0.09838177538654076,0.7458026734220949,512,0,1,1,141.84550604999998,0.6804750484976686,0.07799900023795595,105.78875762499993
512,128,45.58972696651058,126618,409,28340224,23907392,0.9491514975551618,0.04210821761814544,1.0,512,0,1,1,102.34053499999999,0.8703772151500561,0.014687447945011785,105.78875762499993
512,1536,33.28191063786488,65570,15488,34836480,15791080,0.9383755152173572,0.04785075704277371,0.9572791804285135,512,0,1,1,110.50982804999998,0.5374684436191364,0.05146419928765088,105.78875762499993
512,2048,36.83835198860843,103333,17,42766336,28342840,1.0004231896829927,0.050630861568821496,1.0,512,0,1,1,70.77803804999999,0.5395183027382559,0.059408800146167375,105.78875762499993
