cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,148.00836828363649,526256,50830,40480768,29579584,0.8766622505572654,0.1399949564339061,1,1024,0,1,1,479.2999724499999,0.7604777629163922,0.10500482424154875,712.2230388392857
1024,128,509.48023966535135,497901,68601,35889152,29471192,0.5583715156169503,0.3767880466698699,0.5895003848499253,1024,0,1,1,1208.180786888889,0.8607064572084595,0.07615734125799829,712.2230388392857
1024,1536,66.27556395122221,373199,67060,60010496,29723608,1.4920348914145847,0.24302761850832552,1,1024,0,1,1,200.33092494999997,0.7250889781381765,0.1357145251503478,712.2230388392857
1024,2048,51.45922308362792,398659,29580,58707968,44665656,1.7984060075033614,0.2359124013017865,1,1024,0,1,1,142.3385159,0.7122164771167677,0.13793646608982799,712.2230388392857
1024,256,511.17028428429313,527827,46923,32481280,29428592,0.431149088776094,0.20982413314636894,0.49034682064584373,1024,0,1,1,1452.4883385624998,0.8820613339812743,0.0698554051862392,712.2230388392857
1024,512,251.80638590968863,488138,65723,32481280,29478256,0.6113917017842658,0.16975546307247566,0.8181436868183434,1024,0,1,1,870.5353965500001,0.8865323891991524,0.06802343338233287,712.2230388392857
128,1024,128.9920357975167,582005,63199,52285440,44227856,0.854065081467762,0.11299090733338331,1,128,0,1,1,480.3766468,0.7680969802640133,0.10474670818433528,712.2230388392857
128,128,1437.889817395428,480555,58390,46120960,43810472,0.5019410271455687,0.4514709540188073,0.34910205727549865,128,0,1,1,2040.1570944545456,0.8423768210173563,0.06654994508585281,712.2230388392857
128,1536,69.68970589561127,308596,60192,58970112,44307400,1.4019324468948309,0.21844064746466366,1,128,0,1,1,202.03959344999998,0.7490238849736466,0.13916380117216257,712.2230388392857
128,2048,45.58387098386095,373175,49502,58707968,44676856,1.903438055083209,0.2704429565037303,1,128,0,1,1,136.13398505,0.6988005645439437,0.1634068217773416,712.2230388392857
128,256,447.9231928196589,413842,50484,39821312,29421168,0.2675033239756112,0.06444884661548346,0.3507898844385601,128,0,1,1,2030.340869090909,0.8710609225350692,0.07293277574000386,712.2230388392857
128,512,257.81594479109657,531504,64945,47169536,44049272,0.510067227148979,0.16411966864628438,0.6982940377848992,128,0,1,1,1019.9471860000001,0.8567348515692438,0.09244719868915001,712.2230388392857
1536,1024,131.79257715253473,436322,67221,38907904,29947592,0.8252879911461118,0.0940977341484905,1,1536,0,1,1,482.97255789999997,0.7520064556431181,0.10893713697822881,712.2230388392857
1536,128,691.2165343853901,560265,59496,34316288,29755568,0.46876192502311853,0.26012026173239294,0.4859638255166657,1536,0,1,1,1465.588592076923,0.8674637348557432,0.049096440674533774,712.2230388392857
1536,1536,63.226764749742316,330809,46785,47427584,30810560,1.4617981780622034,0.15655867431652,1,1536,0,1,1,194.35280055,0.6614686359189534,0.16657699698395914,712.2230388392857
1536,2048,45.341493758229106,399778,33966,58707968,45214544,1.7665745626638742,0.25132487476124654,1,1536,0,1,1,136.33328939999998,0.7163916078434023,0.17390713403926464,712.2230388392857
1536,256,431.9815879454155,489376,43793,32743424,29590368,0.4478971735456354,0.21461030760906233,0.5226978001928133,1536,0,1,1,1362.5904654210524,0.8850370823315914,0.0652717044336391,712.2230388392857
1536,512,212.234842798067,468178,67735,46383104,44025856,0.5555006812911478,0.17012843666563535,0.7677325243500825,1536,0,1,1,927.6968426499998,0.8878070231868737,0.0677718585624309,712.2230388392857
2048,1024,131.18119202664192,407554,56680,41529344,29796592,0.8768665906618949,0.09694980722563286,1,2048,0,1,1,469.93923404999987,0.7173973699229392,0.11121685345845657,712.2230388392857
2048,128,621.8914636862281,477033,76325,35627008,29537040,0.6516471908032251,0.230353094107652,0.6940775002903298,2048,0,1,1,1026.1433896666665,0.8592138714173364,0.07892544303602897,712.2230388392857
2048,1536,104.13197002111163,452371,63895,59232256,44751136,1.1863461644709918,0.14516814688463037,1,2048,0,1,1,294.84495689999994,0.7084001353208367,0.13091600355585975,712.2230388392857
2048,2048,58.31469678920336,449026,52693,62902272,44155312,1.223016122706849,0.170579882321493,1,2048,0,1,1,247.06477025000004,0.7144460399347856,0.12604820831845776,712.2230388392857
2048,256,531.3255186122,495690,54023,37986304,29369368,0.5055018137713941,0.3155340183761178,0.5449207977402969,2048,0,1,1,1307.0212071052629,0.8784410533238739,0.07389862591524914,712.2230388392857
2048,512,256.7935002840974,484642,46104,36937728,29780424,0.6020248352756646,0.23015149517581082,0.7811137761031498,2048,0,1,1,911.80447795,0.8834884833925173,0.05195047485470983,712.2230388392857
256,1024,99.81928576992006,453721,28022,53596160,43983816,0.9120688017115274,0.10048263472891912,1,256,0,1,1,439.71299185,0.7510207179266265,0.09776575078518561,712.2230388392857
256,128,1147.2753081408887,455343,78340,32743424,29785048,0.2921618300986107,0.15123680204548962,0.29536527506196497,256,0,1,1,2411.329628,0.8666783729023958,0.056891154136892684,712.2230388392857
256,1536,60.726363631130184,453722,51679,62377984,44216320,1.5038684181336275,0.17264757152021007,1,256,0,1,1,208.00181634999998,0.6446313800804361,0.15139228661512621,712.2230388392857
256,2048,45.07756848794841,365422,45281,58970112,44610280,1.7804177631439475,0.2625788330191977,1,256,0,1,1,140.44663594999997,0.6656869036375663,0.15359361648599762,712.2230388392857
256,256,293.2634050560144,452155,69602,32481280,29867640,0.2558172713228806,0.031227813697504807,0.3282659968720812,256,0,1,1,2169.652189461539,0.9211783754228059,0.017875669876982674,712.2230388392857
256,512,205.55237583629562,452684,42759,32481280,29634352,0.4678585967445364,0.05307172682676709,0.6743936518078185,256,0,1,1,1056.0939251578948,0.9062900478460114,0.030019993976757586,712.2230388392857
512,1024,123.60639003041639,472515,69395,45723648,29818456,0.8309028379349208,0.10412663042004142,1,512,0,1,1,488.5087181,0.7824123760044455,0.09807917722503212,712.2230388392857
512,128,1346.13649042345,510518,50292,46907392,43696104,0.5566576229990692,0.2595556851543748,0.4998595264444902,512,0,1,1,1424.846384153846,0.8622232274282221,0.06528269178225955,712.2230388392857
512,1536,76.5222401621621,408590,60177,62115840,44711488,1.507375417580509,0.19798594177972068,1,512,0,1,1,189.40046390000003,0.7344455276626902,0.13940098190681352,712.2230388392857
512,2048,48.51831516079295,454279,42880,58970112,45971264,1.747014752023826,0.22755259234726288,1,512,0,1,1,138.08258215,0.7323152618959138,0.13675851258612712,712.2230388392857
512,256,431.6424230717673,555698,58180,33792000,29474544,0.34898943623203393,0.10571403569512755,0.4382294020560115,512,0,1,1,1625.2287854210524,0.8876391806519772,0.0548837662097901,712.2230388392857
512,512,209.27010778394936,423869,53376,32743424,29411368,0.48265492867652576,0.07912500057130666,0.6836831607935954,512,0,1,1,1041.7443045,0.8797016948028954,0.06858246984398024,712.2230388392857
