cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,874.1057368399321,2235813,156099,50253824,34813992,0.8357714461599514,0.12818483175356188,1,1024,0,1,1,880.8837067500001,0.8377571817171351,0.0772353275403675,2295.4154232038836
1024,128,313.52325130704065,2355856,237531,52486144,49687104,0.801846696232786,0.14168010156242675,0.755127427405065,1024,0,1,1,3039.772282,0.9099513655225291,0.05512378493693226,2295.4154232038836
1024,1536,403.79939402672557,1747811,115860,68481024,51338984,1.4289425425311015,0.21796726973517389,1,1024,0,1,1,300.92838199999994,0.7783300195592523,0.08830512638358358,2295.4154232038836
1024,2048,228.72608171648096,1787994,107671,64278528,37249776,1.6830548263729284,0.40058564221250037,1,1024,0,1,1,189.85049355,0.7546758358702765,0.11566173397203897,2295.4154232038836
1024,256,4430.620902694285,2452613,153407,38060032,35741576,0.4836536667122694,0.47756948173322533,0.2978283059028572,1024,0,1,1,7707.1768455500005,0.9199014336163674,0.05274960315916261,2295.4154232038836
1024,512,1734.169056596721,2225615,200277,36749312,34374944,0.511190122847699,0.0665553080345207,1,1024,0,1,1,2286.5841593499995,0.9221401798523161,0.039796941096839025,2295.4154232038836
128,1024,865.9971019494516,2177289,163564,58388480,50346864,0.9192849915372875,0.12984818894804256,1,128,0,1,1,806.0376513500003,0.8440749821116567,0.08541620329153835,2295.4154232038836
128,128,315.58485844811787,2184362,233476,38584320,34050992,0.5536546418006548,0.049972282755794475,0.5288399093167926,128,0,1,1,4340.47314275,0.9226993942640191,0.02383520972240239,2295.4154232038836
128,1536,363.0527717138931,1690004,160683,64278528,35527304,1.4207527597817748,0.1945421103059307,1,128,0,1,1,297.9747981,0.7511822505021855,0.13326379271612102,2295.4154232038836
128,2048,206.9320661445874,1634518,146045,65327104,38149472,1.6545477726512892,0.3025306336850445,1,128,0,1,1,183.53727445000004,0.7302904942776729,0.10841234925652687,2295.4154232038836
128,256,4473.695910898079,2084789,164256,37273600,35268304,0.47938563269223017,0.3603101151823372,0.3135936698639882,128,0,1,1,7319.712238450001,0.9214515498368134,0.0410418783150096,2295.4154232038836
128,512,2025.2458794706451,2323348,192468,37273600,35012496,0.4639014603872443,0.07976831041794533,0.788927159579229,128,0,1,1,2909.5403743333336,0.9195181372593506,0.0540238936843725,2295.4154232038836
1536,1024,802.370778136337,1898326,210778,46583808,36504416,0.9358599373358132,0.1778810938544266,1,1536,0,1,1,762.52688075,0.8373776586213193,0.059392433562637466,2295.4154232038836
1536,128,1460.8020388783168,2541523,321279,37797888,35475216,0.418778875496025,0.067507593082125,0.34474755391645584,1536,0,1,1,6658.2500648000005,0.8912224391893965,0.0850990561047583,2295.4154232038836
1536,1536,551.1125240993731,1985532,150882,67956736,57798016,1.1556807489130432,0.13716162621875827,1,1536,0,1,1,495.46664369999996,0.7511326676827742,0.1092304159438414,2295.4154232038836
1536,2048,358.737727638312,1762682,181928,60608512,37986144,1.393856860619585,0.27809142283607424,1,1536,0,1,1,286.38012469999995,0.7642402422096427,0.12079625933516647,2295.4154232038836
1536,256,3275.1738174379543,2219866,196196,37535744,35544576,0.378270518169901,0.10988911848354802,0.3716119127560257,1536,0,1,1,6176.915605800002,0.9354272498034465,0.013229987205033326,2295.4154232038836
1536,512,1853.596842006172,2127209,203990,37535744,34424560,0.5028569841191209,0.06198623377454643,0.9589698983064906,1536,0,1,1,2393.62614745,0.9241261032062014,0.04064138314776161,2295.4154232038836
