cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,86.9963593942246,130625,35,25006080,15330688,0.8243841802077775,0.09131131397321551,1,1024,0,1,1,157.99335485000003,0.6775934958775307,0.06115911444996429,234.81543954999992
1024,128,269.08949579134753,109622,8155,24256512,20886936,0.2918056567074966,0.13328698077227277,0.41452806512242407,1024,0,1,1,566.4645154499998,0.8592495778914216,0.008685581198153993,234.81543954999992
1024,1536,39.52123450372673,116131,30,38944768,24436952,0.8847017700996128,0.0869373820590081,1,1024,0,1,1,114.9421177,0.5289620505566199,0.0741248048457066,234.81543954999992
1024,2048,31.340055642808498,91926,21,39206912,24365496,0.9672228259701722,0.04775305741638776,1,1024,0,1,1,101.37699890000002,0.5449552566423963,0.09080512448452695,234.81543954999992
1024,256,82.14787968024129,51228,11158,24780800,20446920,0.6428770286960848,0.24567399011155153,1,1024,0,1,1,198.71340815000002,0.8527405279837013,0.015504093738125259,234.81543954999992
1024,512,123.66422557385059,31612,31,24780800,20568616,0.45798128555207784,0.10597674014341861,0.87161650025205,1024,0,1,1,269.40224225,0.8631473453313612,0.024285274999880584,234.81543954999992
128,1024,115.42493720377017,200629,3817,30162944,24836800,0.79435661276538,0.21390827844038982,1,128,0,1,1,193.74243179999996,0.6743119171134826,0.053599677761857756,234.81543954999992
128,128,211.2793213075465,167593,15497,24256512,20761384,0.37751718076047985,0.207858391394697,0.49416258171736455,128,0,1,1,475.17851054999994,0.8620811193189502,0.008632822146115682,234.81543954999992
128,1536,55.996506590008025,140600,4,38420480,26858312,0.8475125914889885,0.1190041085978659,1,128,0,1,1,127.47270389999998,0.5742700665144956,0.10887331650044611,234.81543954999992
128,2048,42.52406519236088,99107,6,38944768,25856544,0.9204521959300125,0.07550722862080943,1,128,0,1,1,89.43780215000001,0.5423182344468869,0.09160795300412379,234.81543954999992
128,256,181.3093526458955,210808,14571,24518656,20882560,0.3432003100042521,0.1772736650329378,0.5098847239806195,128,0,1,1,460.52652395000007,0.8604896401264707,0.01149560291984876,234.81543954999992
128,512,133.21279125248327,117181,8699,24518656,20573864,0.4755263159435076,0.11123988380573499,0.7263190428245662,128,0,1,1,323.29517155,0.8636019068853438,0.014509548646029989,234.81543954999992
1536,1024,56.452280061960664,146184,31,25268224,15355472,0.7623501550074672,0.11284975664249047,1,1536,0,1,1,157.60311935,0.6872293653819637,0.04465333015136922,234.81543954999992
1536,128,145.0432860967974,123955,1153,23994368,20743408,0.6518895080608672,0.22364748983201,0.8976926820008958,1536,0,1,1,261.57664450000004,0.855560421423647,0.023034210144620617,234.81543954999992
1536,1536,53.335278133423124,81596,20,38682624,24515904,0.9089955803795574,0.10031733020987718,1,1536,0,1,1,110.56337905000001,0.569564862748227,0.08842191644971076,234.81543954999992
1536,2048,40.779949360303924,127371,3558,38944768,26003272,0.9876377571715155,0.02556728071939125,1,1536,0,1,1,91.79329394999999,0.5292475264967174,0.07924531404962777,234.81543954999992
1536,256,176.47787920928442,186553,6080,24256512,20769256,0.5523133784208575,0.2553293504521533,0.7539150517991291,1536,0,1,1,311.4614027,0.862801617551676,0.0185922398954023,234.81543954999992
1536,512,146.16078667784265,65629,110,23994368,20985312,0.45492256881607834,0.06717364175105955,0.7050397553005505,1536,0,1,1,333.05276445000004,0.8687478012971803,0.014527857902652668,234.81543954999992
2048,1024,69.24920933993987,193002,365,25268224,15316352,0.7878167317546485,0.08651989820202835,1,2048,0,1,1,189.83574004999997,0.6802598751483161,0.04819431872951417,234.81543954999992
2048,128,111.38073808688834,167812,749,24256512,21013616,0.75588491822969,0.19791813022152532,1,2048,0,1,1,213.54794695,0.8542956269250039,0.014432413414153175,234.81543954999992
2048,1536,60.73233580721136,83342,14,38944768,25974664,0.8842698002088843,0.1048852756738397,1,2048,0,1,1,119.66212494999999,0.5250672638994076,0.07591018894545537,234.81543954999992
2048,2048,39.70380635154296,71463,24,39469056,24465400,0.9730208280557953,0.06992216639037789,1,2048,0,1,1,77.61568209999999,0.5451907260401406,0.0748442904111534,234.81543954999992
2048,256,168.9839112726865,172886,6807,23994368,20922488,0.6190881909534218,0.26746361483881526,0.7183650843855152,2048,0,1,1,326.87479479999996,0.8556417814697446,0.022862335742857443,234.81543954999992
2048,512,89.23772962616336,112866,4539,24256512,20814168,0.524851259311166,0.16972462870321237,0.9996941430819215,2048,0,1,1,234.88728145000005,0.8655518713711585,0.011757165209936145,234.81543954999992
256,1024,72.90960515339955,224636,23,25006080,15355272,0.8142059550181194,0.11819029978734087,1,256,0,1,1,152.1688363,0.6907634665136292,0.0432195793036446,234.81543954999992
256,128,270.4989900746287,203244,7959,24256512,20936080,0.3958305761773026,0.2268884661316505,0.4366433098505739,256,0,1,1,537.7740463499999,0.862808040916725,0.008531108057915454,234.81543954999992
256,1536,73.18750922187553,88921,34,38420480,24499552,0.9404530325508157,0.0705583278295944,1,256,0,1,1,109.41551949999999,0.5568294354094515,0.07097316850462441,234.81543954999992
256,2048,40.8645189038311,136866,468,39206912,24413304,0.971304852016399,0.08498706187880517,1,256,0,1,1,103.27018745000001,0.5272744023137416,0.06666119816650361,234.81543954999992
256,256,252.68342992788524,147974,11407,24256512,20701976,0.424625419607251,0.26942334792883266,0.5093835272009352,256,0,1,1,460.97964895000007,0.8582918678041306,0.013792111747183151,234.81543954999992
256,512,92.67006744958454,110331,1205,24518656,21313600,0.4449074539589457,0.13180304421982966,0.8691778351626674,256,0,1,1,270.15810810000005,0.8681348347038071,0.018099904489565184,234.81543954999992
512,1024,63.30938451958081,86684,24,25268224,15354352,0.8496578981244859,0.06844986399397866,1,512,0,1,1,153.21783539999998,0.6985682408799148,0.047733729361885,234.81543954999992
512,128,160.06807466669073,104522,207,24256512,20767712,0.6273432449321662,0.2657822993973934,0.8015886336604252,512,0,1,1,292.9375863,0.8574304436386393,0.009024710380736756,234.81543954999992
512,1536,46.48663150436083,130326,4435,39206912,24419008,0.8519563193975207,0.11078807704502032,1,512,0,1,1,130.64281109999996,0.5797037537011701,0.10429558680566578,234.81543954999992
512,2048,44.05211397684387,14532,3729,38944768,24389088,0.9734683240922217,0.045486709313829324,1,512,0,1,1,90.72027955,0.569213073372658,0.09540745345642698,234.81543954999992
512,256,198.1224890162764,207330,4,24256512,21466304,0.38509182706941936,0.2402029056866446,0.4491843833735545,512,0,1,1,522.7595799000001,0.8561328332711359,0.013406606289065608,234.81543954999992
512,512,102.05583430603478,196734,27,24256512,20790848,0.431315501581819,0.09912729872215327,0.6473069066502981,512,0,1,1,362.75750673684206,0.8609047108335812,0.01794510511474724,234.81543954999992
