cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,114.42728324055415,450876,45875,38907904,29703520,0.862871421321217,0.10411728650092188,1,1024,0,1,1,312.70658424999993,0.7825527606234678,0.07297007785603125,542.296437146789
1024,128,588.5809226070484,288458,38237,31694848,29440816,0.2977794876341094,0.12588872637941154,0.36758752711948683,1024,0,1,1,1475.2851964166668,0.9193648276946454,0.006871854535961237,542.296437146789
1024,1536,55.904151209567004,224523,43764,37720064,15347456,1.376146279810666,0.14474362474553895,1,1024,0,1,1,123.35321795000002,0.7003680245657666,0.12840988603733494,542.296437146789
1024,2048,35.69531588173456,333171,40778,50049024,29979688,1.5201078173093774,0.17282949663023262,1,1024,0,1,1,100.5841249,0.747462235194153,0.09514901246162552,542.296437146789
1024,256,413.02090740988183,338593,46142,32481280,29521984,0.44108191218300336,0.21091429807173565,0.5223555284302096,1024,0,1,1,1038.1749739999998,0.90942425630259,0.032174004524187734,542.296437146789
1024,512,206.22620632965703,334905,40136,32743424,29826896,0.49224388319869156,0.08894326605382931,0.8326985493980713,1024,0,1,1,651.2518096000001,0.9120291485006998,0.04858824080183208,542.296437146789
128,1024,105.14807632158627,323139,33393,36548608,29874656,0.909333269095369,0.13812550994409634,1,128,0,1,1,252.97902854999998,0.8129368577883833,0.0800285924803908,542.296437146789
128,128,973.4493885842206,368452,50623,32481280,29431408,0.4242842559786192,0.2096518068761988,0.43913478841950115,128,0,1,1,1234.9202373571427,0.915806808041731,0.008686791202516057,542.296437146789
128,1536,59.917053191989815,389667,17491,50573312,30590296,1.302782047903296,0.20267785997230994,1,128,0,1,1,148.2274085,0.7552490694471017,0.08285985634212654,542.296437146789
128,2048,37.966835348317424,323073,30656,50573312,29712536,1.6093079294461028,0.20460431323916448,1,128,0,1,1,94.9921462,0.7489086524551423,0.10134953716022803,542.296437146789
128,256,717.3146036702944,278131,25960,38248448,29802056,0.44005125350368196,0.21761698017295647,0.5030725298977377,128,0,1,1,1077.9686922222222,0.8929932427242648,0.05331045299526812,542.296437146789
128,512,177.717794030054,317433,46110,32219136,29437256,0.48186643172118576,0.11031978642119916,0.7229149484060113,128,0,1,1,750.15247415,0.8996485923548079,0.042512459778115574,542.296437146789
1536,1024,87.66710727708856,268056,51059,35762176,29990968,0.8799584334024155,0.10493302106715138,1,1536,0,1,1,309.91666725,0.768297715965678,0.11783396784835283,542.296437146789
1536,128,1028.93576792394,354966,48696,33005568,30264072,0.3315579073613083,0.27032517430929554,0.30835976602113513,1536,0,1,1,1758.6484908333332,0.9192117388025062,0.007780582850761233,542.296437146789
1536,1536,60.524487127608154,285013,48832,63639552,52402904,1.3740797534353666,0.16987552590671148,1,1536,0,1,1,132.2441053,0.7515075895371562,0.09557647431647229,542.296437146789
1536,2048,34.32694367262095,305212,43624,50311168,30799256,1.4717884015264437,0.16239704136104477,1,1536,0,1,1,103.68221525000001,0.7324810109253016,0.09347978720646513,542.296437146789
1536,256,259.2474324878871,329761,50543,32219136,29499864,0.5327184589280419,0.18331759330662192,0.7413838239884246,1536,0,1,1,731.4651596111112,0.9152717298926945,0.00881275443849458,542.296437146789
1536,512,148.5766871927377,359889,40639,33005568,29933672,0.6041072924664144,0.19920225543651227,1,1536,0,1,1,528.3779791,0.8857101296578465,0.061056674449220284,542.296437146789
2048,1024,105.80835344793584,389121,29044,39956480,29911616,0.8480472270710452,0.09314491086430814,1,2048,0,1,1,310.2246523,0.8048035293810358,0.07970616644887255,542.296437146789
2048,128,609.7478785335973,359748,47628,32481280,29817232,0.5079041735382257,0.3214979834981488,0.5047817841426503,2048,0,1,1,1074.3185554285715,0.9165638270021466,0.0075234294300781865,542.296437146789
2048,1536,92.20285877327669,400891,49634,68096000,51610752,1.148067851907214,0.12191712401340324,1,2048,0,1,1,187.6200111,0.7675616055427047,0.11056590452970591,542.296437146789
2048,2048,49.007922063165495,284414,51768,36671488,15342096,1.193881996320082,0.14053350151679675,1,2048,0,1,1,158.06177740000004,0.7309558818242624,0.10829989884416251,542.296437146789
2048,256,414.69443811580413,385572,43269,32743424,29413712,0.6160917517071595,0.3351246727815053,0.7343242599520251,2048,0,1,1,738.49723715,0.9051215075819672,0.048553230477385516,542.296437146789
2048,512,137.70085346740066,287721,61881,31956992,29496208,0.6548011088246765,0.2242068687820093,1,2048,0,1,1,492.78490249999993,0.8826545078310701,0.06084404776355928,542.296437146789
256,1024,102.97465235633669,320652,48010,36024320,30096344,0.8542571822242679,0.18554409372927289,1,256,0,1,1,295.58338090000007,0.7743952883934051,0.10126115717961048,542.296437146789
256,128,1411.1183403442749,369027,42572,31956992,29514520,0.23219660193377725,0.095210540582673,0.2329315691328965,256,0,1,1,2328.13628125,0.9194733270251988,0.008473038373052584,542.296437146789
256,1536,49.694484420906974,217426,42344,68882432,51599824,1.314130906585087,0.11327715440813746,1,256,0,1,1,124.25425915000001,0.7590013039165004,0.11395569761158066,542.296437146789
256,2048,32.97238885434808,301074,33323,50049024,29694904,1.5070655592136892,0.17968504182527617,1,256,0,1,1,96.54269430000001,0.7516918801136203,0.09564911921168745,542.296437146789
256,256,250.72536220250663,350414,51351,32219136,29457864,0.32925250134155937,0.06145293415748829,0.49302092161536254,256,0,1,1,1099.9460943157894,0.9194358229348315,0.01030496816040268,542.296437146789
256,512,227.79630525356322,398377,52645,32481280,30159936,0.450476237731192,0.10466778118479698,0.7395802883631105,256,0,1,1,733.2489057368422,0.8987595600942355,0.05492077481831522,542.296437146789
512,1024,112.39080140594731,317853,45684,38907904,31009784,0.8207624171342875,0.08614586901887139,1,512,0,1,1,282.46820440000005,0.7834481362500705,0.09776010559486657,542.296437146789
512,128,1040.545407991267,270789,37812,32219136,29686504,0.2681569906033821,0.14420130911482842,0.29695822462585647,512,0,1,1,1826.1707950000002,0.9150877690526932,0.00722466860869892,542.296437146789
512,1536,60.32451941676551,270620,28095,39292928,15356608,1.3620107821275202,0.14787215604251291,1,512,0,1,1,133.45257635000002,0.7019178193298579,0.1293842590651472,542.296437146789
