cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,541.1439568019554,1723145,128782,42913792,36745824,0.9268105304816444,0.154647883655082,0.7580811438857726,1024,0,1,1,380.32463000000007,0.8115023265489942,0.03168433111439205,288.3169305583333
1024,128,878.1119841250733,1800161,179853,35962880,33329288,0.8671693531776775,0.06606315458033717,0.4675519744821773,1024,0,1,1,616.6521505499999,0.9272668051776687,0.011298120913630635,288.3169305583333
1024,1536,348.1635112231617,1641509,112938,51957760,40230968,1.0029448876326086,0.179457403751745,1.0,1024,0,1,1,222.69546469999992,0.6848287718893047,0.04360209865711603,288.3169305583333
1024,2048,220.53740566367628,1523752,119436,52744192,38815088,1.0696336670155868,0.11210089303733253,1.0,1024,0,1,1,114.63325515000001,0.7367439700655631,0.062342983345705455,288.3169305583333
1024,256,385.9881589677596,1786173,171863,36487168,33072664,1.0367035265276736,0.13278073032672214,1.0,1024,0,1,1,242.58029189999996,0.9254674575395023,0.027905725997723382,288.3169305583333
1024,512,369.1876656509509,1691512,107933,35962880,32462424,1.0701680025005402,0.12136583217687087,1.0,1024,0,1,1,207.19865384999997,0.9279799977425146,0.014114437594836686,288.3169305583333
128,1024,577.9321926554288,1617288,142781,42127360,34542736,0.9120641493404369,0.13286670402019796,0.819294636374961,128,0,1,1,351.90872459999997,0.8305896160677696,0.024560409236124337,288.3169305583333
128,128,625.4511305661425,2024118,134351,36487168,32964272,1.008706220634706,0.08009323335920826,0.782359137122464,128,0,1,1,368.5224814,0.926280119380929,0.012280972145406108,288.3169305583333
128,1536,363.10693651347225,1580115,124566,51433472,34629624,1.0121380636085697,0.1510318012110775,1.0,128,0,1,1,228.10365540000006,0.692567645019278,0.04433717079059569,288.3169305583333
128,2048,201.0226250768013,1417863,132981,51695616,39906360,1.0895084855128787,0.13463639173848393,1.0,128,0,1,1,116.46180855000003,0.7226202697047256,0.04733976463480906,288.3169305583333
128,256,359.4873124766526,1604772,108446,35700736,32465728,0.9332139805588058,0.19786599187940374,1.0,128,0,1,1,249.71915305,0.9323667512965572,0.010277105191996932,288.3169305583333
128,512,377.61209839046154,1785303,134097,36487168,33221960,1.09704851500515,0.1582932590067171,1.0,128,0,1,1,211.13785089999996,0.9245855720643392,0.03277082428850307,288.3169305583333
1536,1024,572.3768405572764,1794507,140273,43175936,33726312,0.933647565557516,0.12855415282557742,0.784349722948317,1536,0,1,1,367.5872154,0.8167797718620348,0.034567554658287675,288.3169305583333
1536,128,623.5078577942936,2003272,166927,36749312,33466288,1.0012475305312303,0.21282913832555844,0.7705977830126897,1536,0,1,1,374.14710619999994,0.9243367470413876,0.012262636517250335,288.3169305583333
1536,1536,317.23722532135395,1438800,142764,51433472,35863256,1.0556251031543737,0.1425475084674602,1.0,1536,0,1,1,211.71950754999997,0.7119319354450908,0.05698577707081996,288.3169305583333
1536,2048,192.20668276217916,1377106,126193,52219904,33955992,1.1406079716719018,0.21173885442917384,1.0,1536,0,1,1,114.16405694999999,0.6955528250312267,0.02838630417862502,288.3169305583333
1536,256,351.0951110444536,1615179,124455,36225024,32439080,1.0515669612499237,0.15621979194399283,1.0,1536,0,1,1,207.00640905,0.9263324392033822,0.012400097670455117,288.3169305583333
1536,512,596.1255637021698,1792685,140497,35700736,32336392,1.000649159455274,0.08155021766026949,0.7880372551206039,1536,0,1,1,365.8671321500001,0.9293273229526482,0.009670077198371185,288.3169305583333
