cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,561.6890950402646,286482,11248,45010944,37514736,0.8706662298545659,0.147141632664829,0.7359278424430504,1024,0,1,1,376.13155915,0.8347595651674604,0.02410138847745763,276.8056868000001
1024,128,795.6212910088198,1729276,156288,35962880,32555968,0.9071948510619052,0.10709242998902947,0.4983110361761123,1024,0,1,1,555.4877711,0.9266607137487523,0.013517033285237621,276.8056868000001
1024,1536,325.46172198505,1609026,150800,51695616,39753192,1.0275455913994191,0.1725842020588354,1.0,1024,0,1,1,199.5269643,0.7393473910943522,0.0563580283956148,276.8056868000001
1024,2048,214.87369617017873,107063,4175,52482048,43322440,1.0748635822320167,0.14129749981752246,1.0,1024,0,1,1,120.4537188,0.7296478995346785,0.07114792854551419,276.8056868000001
1024,256,564.5672451006153,1854799,146180,35700736,32796352,0.9190707321372076,0.13857900084896754,0.7299438465709075,1024,0,1,1,379.2150424999999,0.9285102491019261,0.013395002689390598,276.8056868000001
1024,512,560.722500682455,107627,11015,36749312,33234752,1.008975864711862,0.12120070182918725,0.8159856997765058,1024,0,1,1,339.22860030000004,0.9269501397803159,0.010452553125565941,276.8056868000001
128,1024,730.9788498094151,1869155,138570,42913792,36500488,0.8993139594665525,0.24418954056578704,0.6311048288064363,128,0,1,1,438.6049261,0.8301817597241751,0.039105190644280884,276.8056868000001
128,128,1029.606625277603,1724773,187103,35962880,33137392,0.8122302884959478,0.1054166769963504,0.42184839803078183,128,0,1,1,656.1733743500002,0.9276358491551976,0.010666350485049622,276.8056868000001
128,1536,323.04703916379555,159720,552,52219904,40895928,1.051229564797428,0.15192955499902122,1.0,128,0,1,1,202.31887715000002,0.7230004734841083,0.061273004589710196,276.8056868000001
128,2048,188.9219539715221,1408237,96781,51171328,40128216,1.1213855676122741,0.22107371613209126,1.0,128,0,1,1,112.10060509999998,0.7515742698309299,0.04682753611707627,276.8056868000001
