cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,515.433056856517,1701983,146878,48406528,39987088,1.0715006090614163,0.12417806086201122,0.8215286419547662,1024,0,1,1,462.2443181,0.8557424189804212,0.03197526192402976,379.7469468999999
1024,128,606.0699542464974,2084174,176737,43921408,40502368,1.0211548604092764,0.19573674335211558,0.5345834704531209,1024,0,1,1,710.3604355333334,0.9227972039063345,0.007766963244697739,379.7469468999999
1024,1536,337.16250839148694,1602954,138152,60112896,48751016,1.0878122404519408,0.13589165900397987,1.0,1024,0,1,1,267.52122655,0.7455979857300907,0.0418861953028607,379.7469468999999
1024,2048,227.64742308539198,1610460,107896,72294400,54461824,1.2262202601015755,0.2706786351548696,1.0,1024,0,1,1,162.94703745,0.763992996266485,0.03579890000838992,379.7469468999999
1024,256,340.4915452231537,1715566,144789,53972992,49241792,1.1973580198425622,0.15141909809480808,1.0,1024,0,1,1,339.20616915,0.9278265221169125,0.008967037009860951,379.7469468999999
1024,512,584.6562848947668,1700945,192573,52654080,49432264,1.035354443627401,0.12478623834057431,0.7350210555195326,1024,0,1,1,516.6477124,0.9257211297818421,0.01276174393124434,379.7469468999999
128,1024,524.6143874075083,1823549,147710,58187776,48563760,1.0135365428292187,0.16896767292580261,0.863287135080847,128,0,1,1,439.88486735,0.8333513638219754,0.021210156210783825,379.7469468999999
128,128,834.8441081705167,1895402,235256,52916224,49372288,0.9078826480846608,0.27177148147639557,0.5003181286899061,128,0,1,1,759.0109674705882,0.9280494245688268,0.008504452632915415,379.7469468999999
128,1536,335.2855693769765,1715024,144920,84779008,66568008,1.1152249187266776,0.1877508121762556,1.0,128,0,1,1,284.9783091,0.7741330375511979,0.04382932711970469,379.7469468999999
128,2048,201.90116587190622,196901,29507,72945664,53416448,1.2415833321738738,0.25071697217222555,1.0,128,0,1,1,155.07740145,0.7661093155337878,0.04183283958389383,379.7469468999999
128,256,520.6712208350198,1816871,153988,43397120,40998392,0.9924151875783421,0.16493729658509534,0.8413729327879528,128,0,1,1,451.34200554999995,0.9333844330221535,0.01154547222635383,379.7469468999999
128,512,543.2356514173712,1953777,117912,44179456,40283336,1.1051821764296186,0.10264199758029068,0.7799387232356108,128,0,1,1,486.89331044444447,0.925284637411408,0.01567367522647291,379.7469468999999
1536,1024,606.1869500459029,1994228,123301,80203776,69814160,0.917043494413365,0.15577413688794217,0.755374519439274,1536,0,1,1,502.72670990000006,0.846366709204623,0.020986658328368154,379.7469468999999
