cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,159.981026488282,44734,1114,33808384,27096752,0.19023354947063398,0.11863956831770857,0.9017324119622238,1024,0,1,1,384.94085194999997,0.6683345270335039,0.05915048567182098,347.11364289166676
1024,128,130.00910799306698,50563,500,18841600,14553776,0.16233195348394472,0.1091890846215941,0.9269103644673115,1024,0,1,1,374.48458469999997,0.8487132850874947,0.033452907052220725,347.11364289166676
1024,1536,151.09319475046257,43822,21,42332160,27213304,0.19142129287152312,0.09416331959696779,1.0,1024,0,1,1,296.74325300000004,0.512709802598015,0.054969593152971,347.11364289166676
1024,2048,125.54932002037091,66201,243,42594304,27118760,0.18108794362000968,0.13437804285603258,0.9297243557315055,1024,0,1,1,373.35113440000003,0.5211114413392821,0.061763413582448266,347.11364289166676
1024,256,113.78241806391691,60772,11292,18841600,14124376,0.17593095681232135,0.08923269026967869,0.9547247974188655,1024,0,1,1,363.5745545,0.8105763520900725,0.027445867041150495,347.11364289166676
1024,512,164.11665141958744,94447,2071,18841600,14127584,0.19848061103197526,0.1135951637667336,1.0,1024,0,1,1,342.3586639,0.8084523036722654,0.026335454623007144,347.11364289166676
128,1024,159.66652801442348,28972,234,34336768,27123424,0.17211187709358616,0.13081963575062094,1.0,128,0,1,1,336.6450486,0.6746800981267849,0.06382140983231467,347.11364289166676
128,128,142.27469280844608,60974,4271,28164096,24071064,0.16475861570486716,0.11347772020643294,0.8554313461487718,128,0,1,1,405.77615545,0.8728727909130194,0.010542020534177745,347.11364289166676
128,1536,151.1659794009058,22886,709,42856448,27085840,0.17406278730776065,0.13601328174433755,0.9978025379397196,128,0,1,1,347.8780918,0.5188719452389956,0.051515966431258005,347.11364289166676
128,2048,129.89291763067342,12305,29,42856448,27173104,0.2125334835718017,0.14849979561000062,1.0,128,0,1,1,277.93025040000003,0.5187384586754765,0.05173005718680312,347.11364289166676
128,256,166.46978955786633,93987,19276,18579456,14245984,0.17583143112195745,0.11039139998990947,0.9409980572692062,128,0,1,1,368.87817165,0.8093381274045239,0.019689694379145924,347.11364289166676
128,512,135.20283121645284,78809,5283,18841600,14129016,0.17094468768283722,0.08261493872518885,0.9635589109993319,128,0,1,1,360.24122544999994,0.8105470119911301,0.027283366883647724,347.11364289166676
1536,1024,123.33782521148501,37124,4205,34074624,27275832,0.1258552644409656,0.08951408621417364,0.9415668811687099,1536,0,1,1,368.6553232,0.6622407155066293,0.05704950520442232,347.11364289166676
1536,128,144.7786529001577,87097,8391,18841600,14123760,0.23480540205994266,0.14195632077179773,1.0,1536,0,1,1,330.11866275,0.819697371624035,0.0323265979528953,347.11364289166676
1536,1536,122.92789950228024,55862,41,42332160,27043440,0.15138249531846631,0.09320997430566423,1.0,1536,0,1,1,334.59149285,0.5117316905551408,0.054317488472526015,347.11364289166676
1536,2048,144.1008934835049,47629,869,42332160,27314008,0.18541755355174866,0.12096347082511073,1.0,1536,0,1,1,335.66089910000005,0.5256089594425789,0.05871681067347371,347.11364289166676
1536,256,96.62110617024264,70585,15714,19103744,14129264,0.17049501811188958,0.09414704657868057,0.9147578952510566,1536,0,1,1,379.4595758,0.8062527840661472,0.027030335196162155,347.11364289166676
1536,512,125.03646824457596,58179,2776,19103744,14120240,0.1860644625578715,0.10795658822099442,0.9311046683826293,1536,0,1,1,372.79766140000004,0.7986587531101212,0.02280913976636213,347.11364289166676
2048,1024,143.17004644031402,78326,602,33812480,27226296,0.1893045146191668,0.10073701113780385,1.0,2048,0,1,1,342.3884841,0.6586600138645002,0.05470967742339947,347.11364289166676
2048,128,155.51414890022957,54687,450,18841600,14021920,0.16831949576925087,0.08262985681106523,0.906720662793521,2048,0,1,1,382.82313079999994,0.826176421292512,0.047357045168491534,347.11364289166676
2048,1536,139.57287885172326,58065,484,42070016,27244992,0.22080646714858912,0.12842090705585527,1.0,2048,0,1,1,296.67866535,0.5137492410252833,0.055251519470587526,347.11364289166676
2048,2048,169.11479775188857,31700,28,42852352,27136312,0.18186894844492474,0.08522153280816411,0.9415179400540654,2048,0,1,1,368.6744863,0.5055405416317521,0.046397448791374654,347.11364289166676
2048,256,130.5687359288294,22899,4481,18841600,14549688,0.19249217021065715,0.13444077894162734,1.0,2048,0,1,1,308.21413390000004,0.8020312676316139,0.016909002926134245,347.11364289166676
2048,512,138.08250076886807,79527,916,18841600,14590576,0.156403302656787,0.0632070760292784,0.9041702770267637,2048,0,1,1,383.90295690000005,0.8074647975400733,0.020513054662111608,347.11364289166676
256,1024,138.91943725137176,82994,7204,25268224,14656608,0.16343802052720674,0.1147617435160921,0.9994569841764831,256,0,1,1,347.3022335,0.6528190976292524,0.040145464818466675,347.11364289166676
256,128,123.77118750611142,42167,7643,19103744,14126232,0.18933615275836227,0.10357417563519582,0.9429297953372358,256,0,1,1,368.12246745000004,0.8181691173650624,0.03868331082618254,347.11364289166676
256,1536,167.16179638566237,10032,3555,42332160,27271872,0.18699995187442506,0.11399385979616933,1.0,256,0,1,1,344.96392525,0.5227043234477644,0.05159172309749826,347.11364289166676
256,2048,140.80838668315076,57288,4193,42856448,27127056,0.17660400094338116,0.09431295342010501,1.0,256,0,1,1,331.45312265000007,0.5132099348102386,0.055843004842319154,347.11364289166676
256,256,147.73361199951577,70866,4365,18579456,14552568,0.2123653616934429,0.14884143081228512,1.0,256,0,1,1,331.67892835,0.8433080638556089,0.028724871236733084,347.11364289166676
256,512,144.01841161187141,40439,4113,27901952,24073472,0.18402138679394575,0.12166698293529842,1.0,256,0,1,1,340.4481576,0.833965068242566,0.04490391332072428,347.11364289166676
512,1024,126.93750708326182,15821,21,34074624,27072528,0.1919279904893923,0.14657339956159945,1.0,512,0,1,1,320.56667314999993,0.6603746692362995,0.05918501979968476,347.11364289166676
512,128,134.22987963206148,52025,4080,27643904,24145592,0.17675239818896366,0.10947400734624431,0.9466724723499262,512,0,1,1,366.6670923999999,0.8762772704563282,0.014820563427877576,347.11364289166676
512,1536,130.729828057416,55400,31,42332160,26972656,0.20344729458497302,0.12501876919615124,1.0,512,0,1,1,309.26504514999993,0.5227096654646817,0.05018474065816954,347.11364289166676
512,2048,147.80621505616975,42015,108,42594304,27043832,0.19919733131526332,0.0799332803700563,1.0,512,0,1,1,343.09071729999994,0.521808043788776,0.053612741510159385,347.11364289166676
512,256,156.19050509685448,31068,646,18841600,14455256,0.18970381227156125,0.12577041155459337,0.9642178855972442,512,0,1,1,359.9950261,0.8141251257203189,0.03509962506288392,347.11364289166676
512,512,156.10230692793854,44637,4877,28426240,23475968,0.20857766691899443,0.11894203837557388,0.9205242022653786,512,0,1,1,377.0825819,0.8396203194279638,0.044927738601090283,347.11364289166676
