cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,116.4014836018206,524252,67043,37072896,30115568,0.9232749630199113,0.15343791433895723,1,1024,0,1,1,519.9373875499999,0.8321776024625862,0.07882859198553376,938.2444309909912
1024,128,962.4511743658397,607257,65397,36151296,29303976,0.5164598843996844,0.20522639650907742,0.5713003919715454,1024,0,1,1,1642.2961443333336,0.8968735795668792,0.05231261503472365,938.2444309909912
1024,1536,52.38716225420488,499857,37097,62115840,44141536,1.6427159260449589,0.21803932278273433,1,1024,0,1,1,220.02408989999998,0.6242901859526274,0.13038305573964362,938.2444309909912
1024,2048,30.87217218285007,410657,48505,62377984,43965792,2.0386695797461067,0.18192849043234016,1,1024,0,1,1,143.2482906,0.5163681172046118,0.20853023907755783,938.2444309909912
1024,256,739.4221056804353,712383,48615,31694848,29404896,0.37519653476860265,0.21220229403396743,0.432605072668691,1024,0,1,1,2168.8243857222224,0.9062346666090194,0.0431947137282898,938.2444309909912
1024,512,276.35360670750543,573513,61109,32219136,29353040,0.4983798627960453,0.13180449739219494,0.7342858070867246,1024,0,1,1,1277.7646277999997,0.8936716488886131,0.06584284332344283,938.2444309909912
128,1024,114.18862101395774,453289,54753,50712576,44342952,0.7900473180631274,0.1276062749810788,1,128,0,1,1,601.40933385,0.8064380570869549,0.08606448645267571,938.2444309909912
128,128,1377.5394456053293,596096,77723,32743424,29551840,0.48235414418167766,0.31653198499910945,0.45537325788321,128,0,1,1,2060.3854415000005,0.8803563596060295,0.05128987491893515,938.2444309909912
128,1536,84.83261842798899,451186,71855,73658368,58813200,1.1027904176095282,0.12295147919752278,1,128,0,1,1,351.88617424999995,0.7030463235544944,0.12283251515999619,938.2444309909912
128,2048,64.30484404275475,481816,81562,61067264,44382176,1.4894604837560805,0.22527771319597978,1,128,0,1,1,245.34951700000002,0.6904370507808738,0.13937076737741835,938.2444309909912
