cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,123.12491687844738,606996,64937,44675072,31217888,0.9534443726585486,0.13336415872301316,1,1024,0,1,1,499.2900460000001,0.7698992973764568,0.1038612092109973,1003.2251053333334
1024,128,794.271261877504,621501,62796,32481280,29543424,0.3995541233036714,0.23344466533245042,0.44770773695790234,1024,0,1,1,2240.8035924285714,0.9265542737844907,0.02175033676449538,1003.2251053333334
1024,1536,90.46341114919046,508631,70053,58445824,45120104,1.2112782446336963,0.17245815802493708,1,1024,0,1,1,345.4693874,0.7135115068530494,0.10237363042283083,1003.2251053333334
1024,2048,57.813714110629746,521552,64414,77328384,58541584,1.366273806725796,0.12774477716559243,1,1024,0,1,1,267.94926774999993,0.6292758060652635,0.1398251230815519,1003.2251053333334
1024,256,483.8683573523608,573696,75834,32481280,29294128,0.3491203078595111,0.10568676220066917,0.5111294410931199,1024,0,1,1,1962.7613373,0.8775575436157983,0.08081613478467645,1003.2251053333334
1024,512,145.27918553240752,597657,93115,32743424,29678016,0.49664465413312203,0.06553758674876758,0.8286304565281615,1024,0,1,1,1210.7026689999998,0.8812821520757513,0.09115681917286662,1003.2251053333334
128,1024,151.9618163766233,557251,41966,53596160,44517584,0.8945287610781498,0.14526793799282445,1,128,0,1,1,548.2904893,0.7998756873563115,0.06616477110093728,1003.2251053333334
128,128,1099.9189270152517,510693,81093,32743424,29357856,0.43991318099054216,0.21895322504363093,0.4995216534726229,128,0,1,1,2008.3716058333332,0.9136270416044329,0.020676880178207048,1003.2251053333334
128,1536,81.23477072562774,620894,61863,76279808,58460408,1.442088922811935,0.17918650651092238,1,128,0,1,1,256.5903539,0.6397874551186387,0.15142852879742966,1003.2251053333334
128,2048,30.498110042517922,459575,73089,57389056,31394160,1.977551648823726,0.14995487033879512,1,128,0,1,1,149.21522200000004,0.45991465361505074,0.15441465127690432,1003.2251053333334
128,256,419.180354220624,609914,65517,31694848,29369032,0.26085290902527813,0.028756556207513398,0.3913020199152242,128,0,1,1,2563.8127438000006,0.883785493803081,0.0692679058594371,1003.2251053333334
128,512,273.48115071389265,672556,41426,32481280,29351320,0.4892922582297284,0.09286571417356108,0.7568070419264961,128,0,1,1,1325.6022338,0.8837754299411227,0.07568960182649524,1003.2251053333334
1536,1024,147.58589655861002,556683,78558,53334016,44210568,0.8547172467033406,0.19840105600644212,1,1536,0,1,1,577.4822490500001,0.7727908793916438,0.10201335194213294,1003.2251053333334
1536,128,542.5962744669342,495892,120508,32743424,29323968,0.4276422154214645,0.13691458634646914,0.5761341867231715,1536,0,1,1,1741.3045926666666,0.8851919272244171,0.050583158915706854,1003.2251053333334
1536,1536,78.23997643325673,502284,67233,72347648,58895624,1.206078430859328,0.13657265756094739,1,1536,0,1,1,320.6299387999999,0.6840030516499251,0.12262134220707266,1003.2251053333334
1536,2048,55.216548990975376,438394,55729,69464064,59528344,1.5427789943070196,0.14070154422288428,1,1536,0,1,1,235.59594209999995,0.6698288552150445,0.14538246260958387,1003.2251053333334
1536,256,727.9249445694595,576666,76401,32743424,29308736,0.3947079243390022,0.21909304230458804,0.49503226258125005,1536,0,1,1,2026.5852978999997,0.8759904595647623,0.06099581042753164,1003.2251053333334
1536,512,268.4100640427234,587542,78329,48742400,44337016,0.5160258372746808,0.13460044784559816,0.8034109114790907,1536,0,1,1,1248.7073439,0.8604475474706943,0.09365668658262687,1003.2251053333334
2048,1024,96.10259273874183,613275,76069,41005056,30063880,0.8584702721335594,0.08520438767070782,1,2048,0,1,1,562.7018820999999,0.7574463728994301,0.11018751694449626,1003.2251053333334
2048,128,1399.824807357664,586758,95924,60547072,58321832,0.528458076545117,0.32738807805485937,0.4831285710236812,2048,0,1,1,2076.517857777778,0.904998371300814,0.046683188128123665,1003.2251053333334
2048,1536,91.8399887363557,529535,79280,73134080,58830440,1.1060802122700848,0.12470286857131478,1,2048,0,1,1,353.1083714,0.73438579088891,0.11934863746232334,1003.2251053333334
2048,2048,50.97599039561442,394452,55246,69726208,59383096,1.4604103432026296,0.18376752743796312,1,2048,0,1,1,246.34966820000005,0.6721930816287827,0.1507795493945123,1003.2251053333334
2048,256,278.1978936228518,557896,67005,33529856,29389112,0.5201210359155839,0.11585334392036042,0.7928764548902203,2048,0,1,1,1265.2981421578945,0.8976468958491651,0.04344231532861898,1003.2251053333334
2048,512,341.91932694790364,557333,84167,31956992,29360816,0.6538410446589866,0.24982386875041987,0.9523682536868524,2048,0,1,1,1053.40040625,0.8751574910252666,0.09047202162592122,1003.2251053333334
256,1024,107.4924395997446,518794,39041,50450432,44055264,0.8938921817145407,0.1124683951326434,1,256,0,1,1,538.9332949500001,0.7974809556685797,0.11611540428093642,1003.2251053333334
256,128,1160.6560116172252,635214,68394,32481280,29316848,0.44503272169585634,0.26977747057675977,0.4924075864355986,256,0,1,1,2037.3875890000002,0.9178841389192897,0.014680615916908193,1003.2251053333334
256,1536,53.33341685859885,427243,37478,55816192,29954328,1.5497927204135515,0.1591678144708645,1,256,0,1,1,235.5885525500001,0.5805049657809402,0.12775050636335658,1003.2251053333334
256,2048,37.402277794050846,475803,70865,75493376,59204416,2.268713750882974,0.21442028459369072,1,256,0,1,1,127.75266535,0.5397962713643556,0.20796513979223616,1003.2251053333334
256,256,385.6782913770863,631945,71766,32481280,30006496,0.272583586334335,0.037876979439162684,0.3854502475833519,256,0,1,1,2602.735662055556,0.8879410811473584,0.05167846842509006,1003.2251053333334
256,512,311.9019707992808,697379,69453,32481280,29969296,0.4605476817332807,0.06872177530876063,0.732017431474547,256,0,1,1,1370.4934639499998,0.897959164140641,0.05674303975774736,1003.2251053333334
512,1024,131.02154090724605,473057,49585,42577920,30593488,0.8868743922417259,0.11318861502522701,1,512,0,1,1,538.45333595,0.7843804179868538,0.11122487568768895,1003.2251053333334
512,128,654.7687992453488,716176,77121,32219136,29283520,0.43981975508160187,0.16106809745586861,0.591143286110035,512,0,1,1,1697.0929534444444,0.8762668677565758,0.05591348356819718,1003.2251053333334
512,1536,98.44452965702386,486186,79159,59494400,44387672,1.232100272725815,0.1652573371448309,1,512,0,1,1,323.5053881,0.6841418773975267,0.11678278698700297,1003.2251053333334
512,2048,53.72701619740029,422947,88852,72871936,59085168,1.3656446963073445,0.15758071035819107,1,512,0,1,1,254.86059950000003,0.6346047636457444,0.15957676505765284,1003.2251053333334
512,256,434.25759729684444,644896,54534,32481280,29689176,0.2748562282020676,0.04619572675644099,0.3990629722689226,512,0,1,1,2513.9518698750003,0.8930851435381036,0.04848313366535306,1003.2251053333334
512,512,333.2448792014073,607630,101900,46383104,44062584,0.472188558129037,0.09559981847018935,0.7294807688068607,512,0,1,1,1375.2591545000002,0.8967195794863116,0.06262384883020054,1003.2251053333334
