cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,832.6708410259118,301668,48633,57864192,52132432,0.8120994805752033,0.13959794870827844,1,1024,0,1,1,776.0511122500001,0.8473464733188957,0.07678482933879503,2279.8042512815528
1024,128,914.0735281225012,2152913,176028,37797888,34971976,0.7026826754720338,0.19809902105014618,0.6324912948615267,1024,0,1,1,3604.4832076,0.9330584650984249,0.013387303317446406,2279.8042512815528
1024,1536,552.491016247279,1803721,143665,68481024,56638376,1.1828342866635864,0.12663221286300103,1,1024,0,1,1,411.43372984999996,0.7647278359022158,0.09128802914270027,2279.8042512815528
1024,2048,365.7538077619758,1952509,147349,65064960,40482904,1.3809300217537017,0.3003653952506933,1,1024,0,1,1,274.86216555,0.7260743090673177,0.11041199939514579,2279.8042512815528
1024,256,3984.954265936684,2017221,192697,37535744,35595280,0.3130413826106519,0.17246434574046318,0.30608462967773553,1024,0,1,1,7448.280737526315,0.9097502509367315,0.0620608891128214,2279.8042512815528
1024,512,1966.3325785692425,2229087,206465,51961856,49416288,0.48682863399078474,0.06297137990506148,0.9409802057713961,1024,0,1,1,2422.7972462105263,0.8938050533077698,0.09233070265280004,2279.8042512815528
128,1024,917.8845596853093,2025572,152918,58650624,51189960,0.9411277075448428,0.17206975485027926,1,128,0,1,1,760.0852095500002,0.8577185419727915,0.06438200975738838,2279.8042512815528
128,128,1323.7850024078393,2274974,222886,38060032,35109944,0.7021993789549432,0.20922096201922408,0.597451473374987,128,0,1,1,3815.88187975,0.9429867113796127,0.013760310216911669,2279.8042512815528
128,1536,385.7554810584652,1889319,133877,62181376,38482640,1.5521213053487917,0.3128618595685538,1,128,0,1,1,259.44600919999993,0.7296178417802379,0.09124531450067291,2279.8042512815528
128,2048,205.14084086255124,1552900,131962,52219904,40630840,1.6018475931561826,0.40007561587334967,1,128,0,1,1,154.9709118,0.7593465592365247,0.09980461986191491,2279.8042512815528
128,256,4442.460031972446,2056278,169377,37011456,34727024,0.24205704492436192,0.0655510274745843,0.25147004386153804,128,0,1,1,9065.907876235295,0.9318548736578497,0.028838214218313684,2279.8042512815528
128,512,2145.8932439214436,2287884,204555,37535744,35260120,0.4766618814391623,0.09204077579941826,0.8442475224117995,128,0,1,1,2700.3979173888893,0.9172938227121361,0.041673615359700655,2279.8042512815528
1536,1024,844.6723991031292,1959472,153271,43700224,36068008,0.8941827159219425,0.09054969635686835,1,1536,0,1,1,687.67841375,0.851215731422607,0.0627749965625594,2279.8042512815528
1536,128,322.98607176531243,2119139,232488,37011456,34145312,0.4587193483407994,0.043237792893113046,0.4231474973874772,1536,0,1,1,5387.729492333333,0.8894330838548904,0.04819604466645264,2279.8042512815528
1536,1536,424.370687578825,1968850,168583,61657088,35333344,1.5004985584425046,0.30207050254546036,1,1536,0,1,1,283.4624936499999,0.71602234996797,0.11673712902790125,2279.8042512815528
