cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,75.7944385616391,280811,51364,38645760,31502552,1.0463281764496455,0.2058854359763092,0.8344168104650163,1024,0,1,1,181.52048245,0.7785005616249283,0.10559972594901718,151.46374199999997
1024,128,279.04151328795746,234194,31198,32743424,30426008,0.8061081464859814,0.28475949782380733,0.43526342178234007,1024,0,1,1,347.98178394999996,0.8707763488253091,0.06569060167882403,151.46374199999997
1024,1536,55.73651706990294,247635,37779,50573312,30397008,1.368775135467075,0.3058409504248203,1.0,1024,0,1,1,106.46392765,0.7122000249505339,0.10838441456245533,151.46374199999997
1024,2048,28.25995466637616,295927,41726,50311168,31435000,1.6103108138616122,0.18581244650421533,1.0,1024,0,1,1,79.7827718,0.7158296230985381,0.13736788265195987,151.46374199999997
1024,256,43.247904018637904,236638,44718,33267712,29939272,1.4645338329335338,0.27184230026486955,1.0,1024,0,1,1,131.6298314,0.8687402920619673,0.06506050950755518,151.46374199999997
1024,512,37.23947547666067,219811,33967,33005568,30253064,1.5462048156878774,0.22164302462439917,1.0,1024,0,1,1,125.9007699,0.8859510319381705,0.05310464223279912,151.46374199999997
128,1024,84.0122670576525,249143,26634,39694336,30270392,1.055416360355387,0.23531435135495848,0.8022265132912331,128,0,1,1,188.80420865,0.7816301372501268,0.1074426393088838,151.46374199999997
128,128,110.1235704386745,257434,32478,32481280,30252648,1.1986644255175674,0.27531103784432714,0.8199102825838559,128,0,1,1,184.73209230000003,0.8901938464775296,0.07304332695726963,151.46374199999997
128,1536,52.53080886188873,279580,41473,50311168,30399048,1.4582556653390986,0.23095550696645126,1.0,128,0,1,1,98.93939294999998,0.7304317894008698,0.13754665898456778,151.46374199999997
128,2048,30.20044291611475,254537,45370,50311168,30288672,2.1012129390049834,0.2318434873573461,1.0,128,0,1,1,54.257342449999996,0.7130787783649719,0.1402661147806421,151.46374199999997
128,256,44.78128744778203,209318,35341,33005568,30463208,1.4822200986734875,0.2179337723414862,1.0,128,0,1,1,132.81341285000002,0.8859736570637062,0.06512618993174489,151.46374199999997
128,512,46.52531523989166,268483,19423,33005568,30342472,1.179063553567346,0.16724743652291044,0.8017944364107421,128,0,1,1,188.90595285,0.8847884737355514,0.04532507620010083,151.46374199999997
1536,1024,77.2468362695102,321095,33821,39694336,30749072,1.060751329127985,0.17927697956217298,0.8241711774499649,1536,0,1,1,183.77704310000001,0.7824573459645813,0.11515910426973577,151.46374199999997
1536,128,132.8139213048868,316383,39644,32743424,30534472,1.0195450955848373,0.31702628248412945,0.5943735211430393,1536,0,1,1,254.82922205000006,0.888883701337844,0.05503788186463397,151.46374199999997
1536,1536,42.01407955219327,255354,39909,50311168,30364944,1.1108777408464583,0.2302064162732298,1.0,1536,0,1,1,125.37905140000001,0.7399613431382465,0.13413616232338155,151.46374199999997
1536,2048,35.62156007796922,306346,37709,50573312,31488496,2.0985606212081,0.27989653145563076,1.0,1536,0,1,1,54.3548689,0.727873272670731,0.11786989450270101,151.46374199999997
1536,256,41.53477216186905,271873,32188,33267712,30515752,1.3287604197768519,0.2838683654355984,1.0,1536,0,1,1,149.79400505000004,0.8803537904397448,0.06060614180602534,151.46374199999997
1536,512,35.163836516447454,263428,34860,33267712,30258192,1.4318811584909887,0.24039247178164092,1.0,1536,0,1,1,140.6482615,0.8836656451181122,0.04963493912609753,151.46374199999997
2048,1024,79.56030881882018,317434,29554,39694336,30008936,1.091426399054277,0.19807658015339782,0.8911915259205685,2048,0,1,1,169.95644324999995,0.7580345202821439,0.11133106152957718,151.46374199999997
