cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,132.3035556513019,404126,36000,39694336,30459352,0.8960134545826642,0.17462715782415747,1,1024,0,1,1,392.67741235,0.7621172291697487,0.10889951787154423,607.0154140098039
1024,128,26.36674949999997,589381,102369,34054144,30068056,0.5838075261110849,0.07315175572167487,0.5912926805775289,1024,0,1,1,1026.5904415,0.8904082082078149,0.007459689519457857,607.0154140098039
1024,1536,66.85905254528069,394169,53387,61067264,45885728,1.5654909406768094,0.19493889124122332,1,1024,0,1,1,157.64375554999998,0.72414828603485,0.1265666474015203,607.0154140098039
1024,2048,40.20259723023268,345672,68656,61591552,44820384,1.86819801425106,0.27728354950842543,1,1024,0,1,1,116.54084360000002,0.660536094156332,0.1257637177191925,607.0154140098039
1024,256,285.7999260516233,455124,38028,35364864,30474376,0.37125962779974836,0.11824996996058995,0.4524451694667729,1024,0,1,1,1341.6330971666666,0.8675662327683518,0.0702058763233027,607.0154140098039
1024,512,152.50750346902103,458119,70055,34316288,29964888,0.4712989284332517,0.0724352536333198,0.6743327376421648,1024,0,1,1,900.1719479500001,0.8694459946438758,0.07396324350999185,607.0154140098039
128,1024,124.79791868334023,488415,40664,39170048,30384784,0.9187925016165833,0.11158712379587576,1,128,0,1,1,393.99132384999996,0.7478016803460189,0.12363496564075234,607.0154140098039
128,128,1184.0554813713086,445318,107041,32743424,30139056,0.3375256011450402,0.20553360574577195,0.29542155373647444,128,0,1,1,2054.7431503636367,0.859124040280129,0.06901840774173298,607.0154140098039
128,1536,55.026905784563255,349461,34515,59232256,46191728,1.6057927376301133,0.2025890812237444,1,128,0,1,1,166.62971775,0.7416160991034315,0.12792357057079046,607.0154140098039
128,2048,37.39148307352396,334713,56320,59756544,45111496,1.8173018207302054,0.3403987563562632,1,128,0,1,1,111.22836245,0.6356883807737231,0.1464229734829484,607.0154140098039
128,256,271.5503317380926,421259,54840,42967040,29986768,0.2678193634573534,0.053559883974055984,0.3323560555920561,128,0,1,1,1826.400945,0.8446400760152093,0.09181530975525044,607.0154140098039
128,512,192.39407717440278,439189,28939,32481280,30004080,0.44945638591341064,0.044657850015807764,0.603374613452604,128,0,1,1,1006.0340632105263,0.8858088200549714,0.07106814147956382,607.0154140098039
1536,1024,132.10349494060338,430089,37606,36286464,30156096,0.8829477873741354,0.12357895358869493,1,1536,0,1,1,396.6337157499999,0.76578234838053,0.11695854840413326,607.0154140098039
1536,128,376.80310356891755,448384,51976,34840576,29932128,0.5119845769328943,0.18556541401338855,0.5308255064222279,1536,0,1,1,1143.5309846,0.8824322581106985,0.02792791825545953,607.0154140098039
1536,1536,85.76302165547617,439250,51182,59756544,45349096,1.197074615364824,0.1404648328139346,1,1536,0,1,1,246.56688265000003,0.7131942845102027,0.1315818148546482,607.0154140098039
1536,2048,69.16699886687101,406492,47889,59232256,45038720,1.3894646142589324,0.21945492234074715,1,1536,0,1,1,181.04888150000005,0.7391969818117191,0.1297777986350372,607.0154140098039
1536,256,423.2435315034593,450017,44480,42180608,29797696,0.4113841060153891,0.1324448348146195,0.4717024660558063,1536,0,1,1,1286.8608024999999,0.8891475840363154,0.07030884643087751,607.0154140098039
1536,512,131.35614141668609,387960,78032,32481280,29792680,0.5277917164602388,0.09810869964827522,0.6968995664625904,1536,0,1,1,871.0228033157895,0.8668189062130423,0.07125322737637908,607.0154140098039
2048,1024,107.91527965771085,394274,65001,45461504,30510616,0.948120669445309,0.14641672162163102,1,2048,0,1,1,366.3509357,0.7773206115565684,0.10689395895272778,607.0154140098039
2048,128,590.8424070404742,437550,79316,40083456,29759360,0.490441798431822,0.2587756577220146,0.4729813625116258,2048,0,1,1,1283.3812537272725,0.8516457304327951,0.05781329428368165,607.0154140098039
2048,1536,57.30946720680123,323866,35436,56348672,45010672,1.6418183537534492,0.16991909481537892,1,2048,0,1,1,163.76821395000002,0.718760718663087,0.12116315053478494,607.0154140098039
2048,2048,78.96939025051127,532609,83072,62640128,44390904,1.7006689131413435,0.3008302512264696,1,2048,0,1,1,131.51190564999996,0.6799854552838613,0.15522255556935644,607.0154140098039
2048,256,401.6549748591667,402716,33230,32743424,30350704,0.43297482679286015,0.16589660062081485,0.5109154083069132,2048,0,1,1,1188.0937707894734,0.8914864190057801,0.05020459978476945,607.0154140098039
2048,512,222.5578867294757,499716,60394,42180608,29828688,0.624778305381069,0.16406873668308558,0.7438917667731103,2048,0,1,1,815.9996401666666,0.8672302954471884,0.08319106267291036,607.0154140098039
256,1024,73.41290150310883,378316,46063,41791488,30160968,0.9099991785268061,0.08701944730343614,1,256,0,1,1,374.65291504999993,0.7787170250247467,0.11600597417922068,607.0154140098039
256,128,846.649373787637,550087,59848,32743424,29886728,0.29709355838340823,0.08662488183787256,0.31316622582045645,256,0,1,1,1938.316983,0.9034826002159595,0.0325038767035687,607.0154140098039
256,1536,82.18497780442357,445442,51156,61067264,45758664,1.1473134308306683,0.15207910397781402,1,256,0,1,1,245.29256644999995,0.7409888866309877,0.11681817066426305,607.0154140098039
256,2048,63.217808748606956,291460,64965,59232256,44624680,1.4407880146513636,0.21028659429768953,1,256,0,1,1,188.13766685,0.6962925491543179,0.1432849412185472,607.0154140098039
256,256,270.416698527571,435148,49192,35102720,29850416,0.2909610734834444,0.04726855018549546,0.36185851609725456,256,0,1,1,1677.4937910999997,0.8499200004639278,0.08362166383848539,607.0154140098039
256,512,262.27243800075786,443703,40359,36937728,29812568,0.45601336988057783,0.10681623744474956,0.6045271766143752,256,0,1,1,1004.11600585,0.895333299794588,0.06662999724435036,607.0154140098039
512,1024,106.19827478522474,374609,31767,45723648,30170608,0.9484700602240042,0.13332743519735796,1,512,0,1,1,357.2417744,0.7408430936066857,0.10703424982623871,607.0154140098039
512,128,704.9478002123054,410447,44291,32743424,29739808,0.2550510169534868,0.11159144224083878,0.27970650379218687,512,0,1,1,2170.1869845,0.8632012518734792,0.05169120215060192,607.0154140098039
512,1536,95.24577586753715,345285,70664,58970112,45969000,1.152073783735971,0.1393712158629748,1,512,0,1,1,259.43698415,0.7231142401555574,0.1278069942134343,607.0154140098039
512,2048,65.19667340056156,348835,43889,57135104,45005200,1.4895885390117987,0.2398440690229019,1,512,0,1,1,167.85032105000005,0.6781294106080595,0.13197933792052882,607.0154140098039
512,256,295.0574071293869,473674,53101,34578432,29805736,0.3384129081423403,0.07019377839336194,0.4278848958268605,512,0,1,1,1418.6418355263158,0.8733968128078804,0.07391740288561988,607.0154140098039
512,512,211.51235606796715,465773,63590,42180608,30042784,0.42166917715632585,0.06394291819473776,0.5892835426831119,512,0,1,1,1030.0905592000001,0.8773978778470747,0.07231047520754837,607.0154140098039
