cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,866.1579352260036,2080030,170139,44748800,36876408,0.8601582028675404,0.1504197595014408,1,1024,0,1,1,786.3282972,0.8457877349465871,0.05966974309977439,2196.232225633664
1024,128,684.8394402340969,2631479,261912,53534720,50627056,0.48552118889215923,0.05657466706779546,0.3984135076629339,1024,0,1,1,5512.44419025,0.9135039571327206,0.053097763745490044,2196.232225633664
1024,1536,378.3057419447023,1694130,110630,52482048,34558032,1.470667858564638,0.24982843348568953,1,1024,0,1,1,284.6185849,0.7642179562204281,0.09482721926579608,2196.232225633664
1024,2048,220.92573287653255,1791163,92552,65064960,41158320,1.5348313705321064,0.2626475458058196,1,1024,0,1,1,193.99316764999998,0.7117928051938653,0.11858937184709487,2196.232225633664
1024,256,4163.225831001987,2055054,168798,36749312,34553664,0.5893977952419791,0.6301672329800554,0.3377550158646418,1024,0,1,1,6502.441481176471,0.9325710584896093,0.03321799948498239,2196.232225633664
1024,512,2296.8588680130847,2176000,164877,38584320,36188336,0.40659147153403363,0.08362023992563729,0.7705183050107908,1024,0,1,1,2850.3310192,0.9072934758567326,0.050920166397942696,2196.232225633664
128,1024,845.4388699725611,1963896,200820,59961344,52474552,0.8412143522389798,0.20776393682123415,1,128,0,1,1,889.29290525,0.8400856225945692,0.07081559730203289,2196.232225633664
128,128,747.9331354030137,2451114,263361,38322176,36159360,0.3365429331388814,0.028207027749436987,0.2720139439152117,128,0,1,1,8073.969275333333,0.9411733684313648,0.0035242936493370346,2196.232225633664
128,1536,566.9454587761694,2004686,121086,73461760,52942232,1.1265765666660195,0.14749065726390254,1,128,0,1,1,474.19245575000014,0.7502334994330007,0.1094958918711387,2196.232225633664
128,2048,378.944811770904,1838736,93688,52482048,39067560,1.1968121715154463,0.2070852655046412,1,128,0,1,1,333.3151117,0.7720920102753016,0.10675912449431886,2196.232225633664
128,256,5045.965973353296,2177685,176178,37535744,34870880,0.3515143863245568,0.3218586536208027,0.23134757614001686,128,0,1,1,9493.214764888886,0.9097546487407221,0.0771170690866203,2196.232225633664
128,512,2050.8305296665685,2283615,128908,37797888,34919568,0.4517748103239919,0.06347909328970258,0.8328209641605883,128,0,1,1,2637.1000732999996,0.9249279260260981,0.04256210078143297,2196.232225633664
1536,1024,879.2020359532092,2141571,193797,43962368,38396416,0.7399311955534407,0.11248457478450168,1,1536,0,1,1,848.9953767500001,0.8269589286187807,0.07782957364226988,2196.232225633664
