cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,256,3131.3642733211877,2157460,287531,38060032,35898096,0.37181544933956323,0.14043742346371543,0.4497907405146546,1024,0,1,1,5637.322153650001,0.906787267975845,0.06973762860394313,2535.615306009902
1024,1024,842.0216106763014,2106780,152258,59174912,51052984,0.8807271104280716,0.1663442148427186,1.0,1024,0,1,1,792.5960689499999,0.8128388552328678,0.10643455473666924,2535.615306009902
1024,1536,393.4055479173472,1756455,136796,53268480,36793656,1.4639255544540444,0.34216940106688853,1.0,1024,0,1,1,267.01675500000005,0.7451292235235683,0.1119653049547476,2535.615306009902
1024,2048,212.42064751310707,1583301,113433,89714688,55111896,1.6872827091279017,0.32281898797894737,1.0,1024,0,1,1,155.03661790000004,0.7702104778695573,0.10144167730838041,2535.615306009902
1024,512,1681.4325429741468,1935827,200469,37011456,34666240,0.5195493722702627,0.12967975388316771,1.0,1024,0,1,1,2061.49494315,0.9299482404530816,0.05255540293057163,2535.615306009902
128,1024,799.416046548284,1879296,157986,58650624,49921936,0.8157849823307999,0.14408035671131073,1.0,128,0,1,1,772.6043343000001,0.8211218081247351,0.07191877249717449,2535.615306009902
128,1536,395.2504522990974,1703991,138525,53268480,39609320,1.4597160368243896,0.2982206991377176,1.0,128,0,1,1,291.51975315,0.7686766330309789,0.10856795518339636,2535.615306009902
128,2048,211.8727637656305,1489856,144433,86560768,37192416,1.6056032012278276,0.32860788199087615,1.0,128,0,1,1,152.7876223,0.7467360878864278,0.12202222720804742,2535.615306009902
128,256,4794.717864945652,2464331,196543,37797888,34715208,0.5192848809938007,0.4070010807862335,0.3470887324354039,128,0,1,1,7305.38063917647,0.928397017733574,0.04148516486893139,2535.615306009902
128,512,2060.9549727474277,2062635,240897,51437568,48463472,0.45400866421765823,0.08720542408452764,0.9320999811344025,128,0,1,1,2720.325455777778,0.90587924728533,0.064210720290682,2535.615306009902
1536,1024,826.3044371462418,1995688,148962,58912768,51454288,0.8899828887969893,0.11249783766271469,1.0,1536,0,1,1,739.3665193500002,0.8131704641863367,0.09094756408297987,2535.615306009902
1536,1536,383.4512142676118,1750480,143271,66637824,38406064,1.5033306821314922,0.24834158395936767,1.0,1536,0,1,1,249.15015355000006,0.7873995164778724,0.07370230236474355,2535.615306009902
1536,2048,201.41875528977462,1450360,161172,84725760,41903904,1.7472872526857361,0.3218196474110222,1.0,1536,0,1,1,152.81858425,0.7230926350357966,0.12416048413185564,2535.615306009902
1536,256,4748.237747120933,2217758,182321,46972928,34094952,0.34134687742718783,0.20859456322504719,0.3486670265900217,1536,0,1,1,7272.3117262,0.8908153208995341,0.08636603607128124,2535.615306009902
1536,512,1593.9471848078565,1999953,171913,37273600,34853808,0.563981428297084,0.0770696088824332,1.0,1536,0,1,1,1823.35923455,0.9394215927469679,0.01917548580659347,2535.615306009902
2048,1024,824.214171726923,1997515,128397,58912768,52564920,0.8934231433036348,0.12015880620279441,1.0,2048,0,1,1,725.6475026500001,0.8110181188186416,0.0933894608131617,2535.615306009902
2048,1536,374.0370437875714,1672393,139022,62443520,39226096,1.254096506650195,0.2807491103489447,1.0,2048,0,1,1,289.99180980000006,0.7528190472714447,0.10668094098043443,2535.615306009902
2048,2048,225.9712665651611,1622404,139963,84987904,40611520,1.6947731658975098,0.37966452104088816,1.0,2048,0,1,1,148.5990024,0.7566071566706598,0.11183653645620682,2535.615306009902
2048,256,2512.773789809835,2018800,159707,52224000,49773848,0.4455591603715692,0.1186693527056567,0.639046852405184,2048,0,1,1,3967.808145,0.9313637545856099,0.03220222487785379,2535.615306009902
2048,512,1393.8404538051345,2131440,170926,46448640,34067248,0.5586208308296307,0.11362767328293698,1.0,2048,0,1,1,1658.6921670000004,0.8945187255159281,0.09277477911382524,2535.615306009902
256,1024,815.8210167487573,1977204,157685,59174912,53663008,0.9019678514074048,0.16345711138239968,1.0,256,0,1,1,732.4831680000001,0.7957590747611958,0.09933985428195036,2535.615306009902
256,1536,363.8885173304773,1736743,136805,86831104,51349272,1.4261611408657267,0.3063768327413779,1.0,256,0,1,1,269.81516199999993,0.749232247307728,0.11171602568297397,2535.615306009902
256,2048,206.15226824180857,1573507,116636,85512192,39567304,1.6458601838511022,0.33936444568842816,1.0,256,0,1,1,160.8280845,0.7070172253898828,0.13132096239608246,2535.615306009902
256,256,4476.714866714595,2309523,230946,38322176,33860128,0.35853401085071,0.34497449709459654,0.38378341330344456,256,0,1,1,6606.89133015,0.901578824012357,0.06487053685608947,2535.615306009902
256,512,1699.813271193976,2230457,199982,38322176,36566616,0.5052469288148017,0.08407294162017581,1.0,256,0,1,1,2034.8395506999998,0.9015587304805086,0.05996276329946154,2535.615306009902
512,1024,864.4810907316286,2062388,132663,45010944,36146656,0.8376773628927181,0.16844819562722546,1.0,512,0,1,1,782.8362418999999,0.8371624433599336,0.06811796707631697,2535.615306009902
