cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,47.275686248369546,352869,53197,48082944,30344224,1.4078678412648418,0.16639802714608673,1,1024,0,1,1,202.65347684999998,0.7097515733797072,0.10789092185457579,415.4006087735848
1024,128,440.0551446569672,569446,55028,47693824,44071176,0.7914752233440199,0.33904283032707616,0.5453425143452939,1024,0,1,1,761.7242335714285,0.8872222916349012,0.05423405389772084,415.4006087735848
1024,1536,44.62435450047657,273519,61015,58183680,44574104,2.0968480023902556,0.24337799300255195,1,1024,0,1,1,94.99179985,0.6914962898695676,0.16435911553075422,415.4006087735848
1024,2048,36.538522839874005,265770,62080,59232256,44611096,1.8238222749367619,0.285738487720798,1,1024,0,1,1,111.07217529999998,0.6528179290629558,0.14408917632636786,415.4006087735848
1024,256,200.577264100971,404388,46021,31956992,29601176,0.49017543895884863,0.11699079557086874,0.4521953197986612,1024,0,1,1,918.6309335499998,0.8860093154246229,0.058713920767051495,415.4006087735848
1024,512,73.33507487839412,376176,64512,33267712,29622440,0.780496762885013,0.07182079719909083,0.8239987292450359,1024,0,1,1,504.12772985000004,0.8598291079333826,0.06358086081698372,415.4006087735848
128,1024,69.01095667844444,404080,39076,49393664,30868544,1.5099959017660034,0.23728053674161248,1,128,0,1,1,200.18751985,0.7113040396992231,0.13428262191585205,415.4006087735848
128,128,2705.444538262145,472701,53895,32743424,29921600,0.3176340890426233,0.2242140302450237,0.143071171437125,128,0,1,1,2903.454306,0.8844117291140458,0.06058884825760245,415.4006087735848
128,1536,41.624245048422004,316961,57741,59232256,45867584,2.2227995018793143,0.2384567440826867,1,128,0,1,1,95.63171535000001,0.6844887940166237,0.17060338799753086,415.4006087735848
128,2048,36.769517173618205,294653,46719,59232256,44906216,1.8252817166524955,0.2350220016090519,1,128,0,1,1,111.54108539999997,0.687820671097394,0.1500211611493697,415.4006087735848
128,256,162.3304921107179,414902,32527,33267712,29622696,0.40156129852174677,0.056172306729442366,0.38004182694839705,128,0,1,1,1093.0391849473685,0.9032979952638462,0.048850183217019255,415.4006087735848
