cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,44.65678071348324,385310,71627,46247936,29898568,1.4336058249172061,0.19786185515981433,1,1024,0,1,1,207.1393905,0.7682983863869517,0.10815739847375914,465.1910114070795
1024,128,1074.0017260648094,413409,64827,36675584,29653256,0.6493547252159753,0.4993583590044545,0.3404278448356903,1024,0,1,1,1366.4893117999998,0.8571136088506088,0.06379739660785114,465.1910114070795
1024,1536,41.690520054442125,294140,46046,58445824,44867048,2.256518912949466,0.22816149788956044,1,1024,0,1,1,97.10268759999998,0.7550683609524494,0.12324566811590953,465.1910114070795
1024,2048,38.53706737888133,332324,58299,58445824,46091816,1.8658486513821615,0.2367366375613987,1,1024,0,1,1,108.79690835,0.7251928347746757,0.14570654285770443,465.1910114070795
1024,256,186.82334230291397,470496,51627,47169536,44049384,0.41491969412116403,0.04278775459559905,0.4272736360264524,1024,0,1,1,1088.7426047,0.9053722908718461,0.04977598177950105,465.1910114070795
1024,512,100.79921363292937,434022,57638,21987328,15173192,0.824631370265203,0.13948345492541686,0.9154477886903788,1024,0,1,1,508.1567918499999,0.8930256279020229,0.0843016921940877,465.1910114070795
128,1024,65.46162780978396,369586,67721,47820800,31481368,1.3502439190122555,0.17713837017247164,1,128,0,1,1,221.8051225,0.7374504015811013,0.12106244567015882,465.1910114070795
128,128,1112.4578132933395,465011,91974,33005568,30218448,0.38151130708466724,0.2141730123564036,0.25244439434637,128,0,1,1,1842.7464496153848,0.8620462983416861,0.06348796716763208,465.1910114070795
128,1536,45.68369585892315,334547,40213,57135104,45694424,2.194124769671572,0.27338321976191066,1,128,0,1,1,100.24960159999999,0.6952215283316625,0.15105889207970652,465.1910114070795
128,2048,42.35408279247314,403302,36257,58445824,46200960,1.8144309166708943,0.23257377456841646,1,128,0,1,1,111.54068929999997,0.6863787917548183,0.1696014633928739,465.1910114070795
128,256,162.1807952639639,468743,67455,35627008,29886408,0.45629253676519627,0.06392482785636303,0.4695652267279217,128,0,1,1,990.6845416315788,0.8896202971099941,0.06467109245009087,465.1910114070795
128,512,78.6067979535256,367558,55031,34316288,30069080,0.8514164807519796,0.0667878959834977,1,128,0,1,1,453.54529030000003,0.9029071848453395,0.048926377913100574,465.1910114070795
1536,1024,44.148044437606046,348517,56042,53596160,44134456,1.2592214995853597,0.12989332852360147,1,1536,0,1,1,242.29415899999995,0.7098229171108492,0.1052620863698214,465.1910114070795
1536,128,436.4283792130933,436304,90555,33005568,30262096,0.5851734260483639,0.1832814154772096,0.50492799998602,1536,0,1,1,921.3016735454545,0.847841566867724,0.060562412595433414,465.1910114070795
1536,1536,44.046767489480594,351290,51969,58970112,45484616,2.2362910611007973,0.24051818914245243,1,1536,0,1,1,91.22108265,0.7236745751054141,0.15376625018002604,465.1910114070795
1536,2048,34.72908168202634,291362,67464,59232256,45478464,1.8406627399214925,0.2579799525688705,1,1536,0,1,1,109.96296479999998,0.7377558782616236,0.15602070941461163,465.1910114070795
1536,256,165.24450993252717,393526,77153,37986304,30267512,0.6146407041774646,0.09025513161535666,0.660183186590699,1536,0,1,1,704.6392893000001,0.8572679351793285,0.07902278531507677,465.1910114070795
1536,512,83.91464511865647,443637,51562,47431680,44111080,1.0679850586618982,0.18563498288678695,1,1536,0,1,1,380.08842915,0.8375181127512024,0.1062993709532144,465.1910114070795
2048,1024,50.16862065630956,350583,53643,50442240,30345768,1.5060685855012255,0.15823135107490482,1,2048,0,1,1,196.28951375,0.761812665291177,0.1137878417867043,465.1910114070795
2048,128,789.5302413647652,401676,65341,46907392,44450128,0.8824205445361935,0.4989926273975342,0.5188833815415013,2048,0,1,1,896.5232419375001,0.881657791850119,0.06329393399908277,465.1910114070795
2048,1536,40.711706385488625,340295,37045,58445824,44931976,2.2251117394925055,0.2419918645111112,1,2048,0,1,1,99.38023645,0.7041707091381266,0.153774149154071,465.1910114070795
2048,2048,36.935074929391675,330678,37605,58707968,44962096,1.8822530039871577,0.25114951806769137,1,2048,0,1,1,111.12835164999998,0.7049868310985068,0.14642468909728304,465.1910114070795
2048,256,122.91406068388355,375913,47040,37462016,29854648,0.5071649519730517,0.07168005519077812,0.5472289482783136,2048,0,1,1,850.0848006500003,0.9040595277319363,0.04818317845926092,465.1910114070795
2048,512,93.8984434677621,483816,48548,33005568,30020976,0.8479188449791785,0.10793946757301685,0.9833226380741187,2048,0,1,1,473.0807503000001,0.8851007361482933,0.06667913400753744,465.1910114070795
256,1024,64.6292793921535,389247,55857,54382592,45836856,1.5641031362954378,0.21392261477751853,1,256,0,1,1,200.50602995,0.7313546986944879,0.12442504953832703,465.1910114070795
256,128,1014.2170457690202,493716,68383,40345600,30051240,0.364758274297988,0.3435236360881433,0.22851974281804033,256,0,1,1,2035.6709913571428,0.8576126954413974,0.07553597569941795,465.1910114070795
256,1536,40.10595805538139,290521,56219,60542976,44840136,2.1996390729264066,0.19939592523526373,1,256,0,1,1,97.07809065000001,0.6849708904251911,0.15093840948651752,465.1910114070795
256,2048,40.309326762667624,373924,53875,58707968,46177944,1.8033692436583,0.24661004437299938,1,256,0,1,1,107.81084745000001,0.6391625835294622,0.1629095294340883,465.1910114070795
256,256,135.46471008685762,343623,50452,32481280,29850064,0.47751535622486435,0.05807859712552047,0.5178717580189202,256,0,1,1,898.2745326500002,0.8604193573694836,0.08809537593791307,465.1910114070795
256,512,72.14781319102035,378595,65804,36937728,29706544,0.8163007521129535,0.09025390639262863,0.9343386461234477,256,0,1,1,497.882661,0.8835211794968613,0.0737630650306583,465.1910114070795
512,1024,55.19782351718036,438337,29841,53858304,44275136,1.4409004220147978,0.15092946075307584,1,512,0,1,1,205.1919808,0.7283681948618853,0.13113856166879023,465.1910114070795
512,128,1028.3028892078219,452270,64863,35364864,29845632,0.45253022583968455,0.4161088877034206,0.27181850073130837,512,0,1,1,1711.4030507692307,0.8954083017222345,0.04078030985646862,465.1910114070795
512,1536,41.13561557242004,348458,40831,56872960,44832312,2.221444968965024,0.27084330708655135,1,512,0,1,1,99.61093255,0.7092789119033132,0.15212986070433254,465.1910114070795
512,2048,36.30430438962135,293124,57897,59232256,44620752,1.8700981526585845,0.27888452419980636,1,512,0,1,1,113.33189459999998,0.6934179621117715,0.15517931438101723,465.1910114070795
512,256,133.46010094684542,396195,35312,36675584,30137152,0.5907352171413157,0.08713830874311433,0.673006639222145,512,0,1,1,691.2131089,0.8736305106993469,0.06094126625422885,465.1910114070795
512,512,52.87773023297648,372845,51193,36675584,29873472,0.9676673435383286,0.1113964360025769,1,512,0,1,1,406.56931460000004,0.8886473898675336,0.06090163646819034,465.1910114070795
