cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,117.93770752433947,307624,50248,28676096,15394480,0.5239063120629518,0.16484848446344194,0.9196159763971707,1024,0,1,1,526.0667665,0.69033503299026,0.17870106809876463,483.77940312499993
1024,128,270.1701849228016,308488,48053,40439808,37449912,0.6452066290774973,0.2866724246789013,0.7817631560465285,1024,0,1,1,618.8311630999999,0.7848651293579242,0.10356112835311992,483.77940312499993
1024,1536,162.71139256102788,303109,48293,58466304,39424368,0.6250028260053452,0.26445832309660466,1.0,1024,0,1,1,437.63552624999994,0.5506702686918078,0.19340667341786813,483.77940312499993
1024,2048,161.06444521624607,271533,66881,71106560,50559096,0.6588618444248946,0.3051985094773397,1.0,1024,0,1,1,441.10345020000005,0.5539290564967148,0.19025170557891646,483.77940312499993
1024,256,151.02749486918952,322253,44797,20938752,15235240,0.6849003935588208,0.21331556355966996,0.8932201486739832,1024,0,1,1,541.6127299,0.8132471978907466,0.0746028271077239,483.77940312499993
1024,512,137.79798254873722,251727,36422,40566784,37272408,0.656388345665744,0.1951583616868579,0.8981681436627246,1024,0,1,1,538.6289934,0.7566026951486465,0.09274441038577437,483.77940312499993
128,1024,161.485705098161,371098,81573,48357376,34261744,0.6891079759424616,0.2875620843760777,1.0,128,0,1,1,476.3454802,0.6627476028461359,0.13587927073546302,483.77940312499993
128,128,163.694426520054,243356,36572,40566784,37194776,0.6321746292723361,0.1718849703058496,0.8763470414574644,128,0,1,1,552.04089275,0.778915817163141,0.08811292032020511,483.77940312499993
128,1536,144.34205887421408,286315,35307,52834304,34235528,0.5944271350939617,0.21136370794203277,1.0,128,0,1,1,452.70075660000003,0.5322700602489843,0.14657559847406187,483.77940312499993
128,2048,153.10264384266998,370251,82339,37720064,15522048,0.6064976919943357,0.2732873446340654,1.0,128,0,1,1,423.35564075,0.6514398196672536,0.19114801461523556,483.77940312499993
128,256,160.31173472935626,297112,52318,29679616,24779112,0.7810882479159009,0.24998359967471528,1.0,128,0,1,1,468.16558750000013,0.7822383150737733,0.09281294262690847,483.77940312499993
128,512,141.8534651322361,254250,39141,40701952,37379552,0.676760231712918,0.16370943690307962,0.958992132883425,128,0,1,1,504.46649824999986,0.7583621521726751,0.1003547827624402,483.77940312499993
1536,1024,165.42408189598802,392954,89363,26841088,15331952,0.6815912681862671,0.28783604974612664,1.0,1536,0,1,1,475.2179738,0.7018346495426956,0.16687477467483464,483.77940312499993
1536,128,152.44763694906175,343295,63907,32538624,26839704,0.6711843381175626,0.25022404090506595,0.9284900629373717,1536,0,1,1,521.0388591500001,0.8216056917804903,0.07133050895117281,483.77940312499993
1536,1536,172.06274298296057,330498,73741,39030784,15527112,0.6658590043486493,0.3517705024388474,1.0,1536,0,1,1,436.41026704999996,0.4722212418457709,0.15922136909264828,483.77940312499993
1536,2048,162.20113512320358,272756,53139,60854272,40748848,0.6298431688112938,0.2208007802213013,1.0,1536,0,1,1,439.9025341,0.5818012774552733,0.18161618079941613,483.77940312499993
1536,256,152.4094239555977,367710,74689,20152320,15189960,0.7307018952631985,0.25364352937365864,0.9655503701390454,1536,0,1,1,501.0400473000001,0.8224652587848785,0.06982584570009334,483.77940312499993
1536,512,173.97781131858454,388203,62859,20152320,15195384,0.7175793603098144,0.2234934717526167,0.9229502829054247,1536,0,1,1,524.1662656,0.7718369598835995,0.07943314559808028,483.77940312499993
2048,1024,161.64379533439327,288928,48721,45449216,36656984,0.6452711985996559,0.2849176698232504,1.0,2048,0,1,1,446.62365725000006,0.6748801409108106,0.1646325897885996,483.77940312499993
2048,128,176.06344301722262,383653,90026,34832384,29129896,0.60184573331384,0.1474775854389528,0.7765642838415855,2048,0,1,1,622.9740579,0.795357601199025,0.06299744003053076,483.77940312499993
2048,1536,140.88454611244137,269976,55157,35098624,15465712,0.6812472758469159,0.3075117166818446,1.0,2048,0,1,1,384.5656024000001,0.5973842425622649,0.16242098414166192,483.77940312499993
2048,2048,136.61169602088998,377784,65126,37982208,15523872,0.6399170721342745,0.3139184848864742,1.0,2048,0,1,1,450.5739380500001,0.5682369332484309,0.1863479606525777,483.77940312499993
2048,256,124.2464964517058,273658,25561,40701952,37429344,0.6178870142154238,0.16440653688994328,0.8972954597681869,2048,0,1,1,539.15284855,0.8269531265932543,0.08741576684286723,483.77940312499993
2048,512,124.55518875376964,292439,32791,40886272,37647168,0.7281735276451577,0.18923872349500415,1.0,2048,0,1,1,458.78631459999997,0.7945409749285596,0.10091533658153112,483.77940312499993
256,1024,131.40097858997981,435356,58656,47046656,35520024,0.6581542556734938,0.25779346620634047,0.9014645517833486,256,0,1,1,536.6593752,0.6777180446253677,0.12759656737138453,483.77940312499993
256,128,172.89460854912858,332040,94798,35622912,29183288,0.6447052686993836,0.18643080629892778,0.8060557944636689,256,0,1,1,600.18103765,0.7864430631004512,0.07805589493250423,483.77940312499993
256,1536,143.32986131745085,353747,108967,38768640,15524096,0.632601345040508,0.26585338387544477,1.0,256,0,1,1,428.26481695,0.5324438114444312,0.18896688596640188,483.77940312499993
256,2048,122.96956029329601,267558,38027,56459264,37486008,0.6112894394227023,0.2642824498744618,1.0,256,0,1,1,433.59655619999995,0.6044326054290557,0.1786207965647579,483.77940312499993
256,256,139.84724456358586,313139,42118,26103808,19875968,0.7132020075213285,0.23683962151642166,0.9062181289371849,256,0,1,1,533.8443225499999,0.7882708485808299,0.06542772943420525,483.77940312499993
256,512,169.5682855107348,296771,84754,39211008,33621808,0.671129455907818,0.18675577567069487,0.9381417341793391,256,0,1,1,515.6783729999999,0.827784628022812,0.0871103848743228,483.77940312499993
512,1024,146.53499303719343,314149,39158,45187072,36781448,0.6605685117686466,0.31430886357759036,1.0,512,0,1,1,455.2647036,0.7470742107599029,0.12404330499768154,483.77940312499993
512,128,258.0999655803792,318762,51713,34045952,28671888,0.6083113782271543,0.21710039477921894,0.7442262843663418,512,0,1,1,650.04342535,0.8178651405686483,0.07209321604193436,483.77940312499993
512,1536,140.08267233458645,319277,36877,38506496,15523808,0.5832498164095667,0.21239092981340066,1.0,512,0,1,1,458.1761062500001,0.5463777200882594,0.14707782660594979,483.77940312499993
512,2048,116.2583882709147,254587,39561,58728448,41903736,0.6997412213900845,0.29693096209687875,1.0,512,0,1,1,399.9158524,0.5089343663770295,0.15960024478383375,483.77940312499993
512,256,148.7468208499187,363930,48021,38948864,33033952,0.7443104214330926,0.2505529091342491,0.932591355216947,512,0,1,1,518.7474668500001,0.7786287738279782,0.08618576404029275,483.77940312499993
512,512,164.50327381823982,394532,49928,38948864,33229632,0.6907757720517254,0.25019918883749326,0.9318115126507621,512,0,1,1,519.1816119,0.7606050987231838,0.11342275242075776,483.77940312499993
