cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,237.0731628552508,1672531,123724,45535232,37970840,1.7100419061267211,0.3732380369536882,1,1024,0,1,1,164.72469140000004,0.8086898403003815,0.11155436022553894,331.8698706068376
1024,128,612.1998731319323,2095745,182957,44613632,33114544,1.0874774224757968,0.151500159808424,0.5835726476875961,1024,0,1,1,568.6864727500002,0.8742760596411461,0.08406508286495473,331.8698706068376
1024,1536,212.17086777801038,1575401,144893,63492096,35142304,1.7187855672875298,0.31555592959823914,1,1024,0,1,1,160.67090360000003,0.7452724205186885,0.11486375862677482,331.8698706068376
1024,2048,234.32286825915514,1691944,153282,53792768,39183952,1.6806740597800776,0.334054495609436,1,1024,0,1,1,161.64749665,0.7943066439897309,0.07813714629152921,331.8698706068376
1024,256,409.4351541639682,1885558,176119,37273600,34720792,1.4413436153825407,0.255671265126426,1,1024,0,1,1,327.39464445,0.8973960384357792,0.08499728058688297,331.8698706068376
1024,512,376.6794205781428,1920331,132548,38322176,35942592,1.4145793753986582,0.31315390518893205,1,1024,0,1,1,329.85477419999995,0.8923539455856279,0.0723653439166128,331.8698706068376
128,1024,225.02098675487616,1737438,139097,59961344,53725472,1.6296819504015805,0.3484875167231035,1,128,0,1,1,162.83521365,0.8059825138941183,0.10100638096154824,331.8698706068376
128,128,600.3058872538493,2168758,213234,48545792,33901816,1.1697165185695304,0.1896495349604428,0.6148879640572366,128,0,1,1,539.7241286315789,0.8722223007391662,0.10242802584893416,331.8698706068376
128,1536,217.47103941258595,1692865,110813,63754240,38849624,1.685285924248383,0.3096715320385802,1,128,0,1,1,176.08767774999995,0.7523963685555783,0.11203082241829547,331.8698706068376
128,2048,212.83758949323038,1589173,141944,52482048,39643864,1.5768211860250607,0.3268963060052153,1,128,0,1,1,155.62400785,0.7651921426787307,0.10096469708543386,331.8698706068376
128,256,499.95255563829784,1817283,183908,52486144,49717720,1.4094383950661178,0.39034787915767305,0.9083906474105449,128,0,1,1,365.3382733,0.9159519876980534,0.08128607553572476,331.8698706068376
128,512,387.0329524369945,1828652,163192,52224000,50245736,1.2425805348636207,0.2407196131443395,0.9428990516262054,128,0,1,1,351.9675516000001,0.9092710480737765,0.07553151256554537,331.8698706068376
1536,1024,218.3491660031615,1625271,130311,59437056,52377688,1.7448325589847233,0.41543655170811317,1,1536,0,1,1,169.31175679999998,0.7634419717915983,0.11030209321429747,331.8698706068376
1536,128,405.4067742831386,1880851,207718,52748288,49734784,1.3043279572210993,0.21341962711614879,0.9115261115730108,1536,0,1,1,364.0815840526316,0.8923269700941294,0.09619732304659515,331.8698706068376
1536,1536,221.5715769664541,1736571,99476,64278528,40799800,1.709576028077122,0.3601301040851466,1,1536,0,1,1,168.03610275,0.7314922418607402,0.12557166177415532,331.8698706068376
1536,2048,226.72545545213916,1690478,124815,53530624,38930832,1.6471956153811746,0.32219439756395396,1,1536,0,1,1,161.41366990000003,0.7715927806853196,0.10837275530101438,331.8698706068376
1536,256,738.3668636104985,2263082,170530,46972928,33458392,1.1041775812313293,0.16897534258995153,0.5426698443242451,1536,0,1,1,611.5502346,0.895157129116536,0.07143579059707425,331.8698706068376
1536,512,619.420803698534,1982980,128072,37273600,34764472,1.1214975396324376,0.1846943025565087,0.6295664234673489,1536,0,1,1,527.1403591999999,0.927007741314674,0.047958016169299636,331.8698706068376
2048,1024,375.5586165182105,1829014,140284,58912768,52150256,1.5117805091257859,0.30121350738472114,1,2048,0,1,1,272.3083426999999,0.8081799385420622,0.1050163698012311,331.8698706068376
2048,128,763.776473340765,2041586,203988,51961856,49962808,0.9662417691330047,0.21274079371316676,0.4196353456107633,2048,0,1,1,790.8529967222222,0.8976666952052194,0.0984310756568775,331.8698706068376
2048,1536,212.81600895688595,1555939,128789,69267456,58741144,1.7340519685625988,0.3591909346016776,1,2048,0,1,1,162.75490145,0.7200953006155736,0.13595080642623644,331.8698706068376
2048,2048,215.61553462809567,1638807,164630,65851392,37085896,1.6918371348567895,0.27898339652250015,1,2048,0,1,1,146.52709995000004,0.782406651651294,0.09413015526934021,331.8698706068376
2048,256,566.5169582221646,1920128,131163,52486144,50007920,1.1233149272817702,0.2022175886949606,0.6379448747090684,2048,0,1,1,520.2171594499998,0.8811116991144632,0.08449846263573821,331.8698706068376
2048,512,628.3534884273173,1854399,161792,37011456,34369080,1.115797983577048,0.19827737658934627,0.5914977265847442,2048,0,1,1,561.0670264500001,0.9053298805596823,0.06367062615113145,331.8698706068376
256,1024,391.6265763721663,1927912,157926,43962368,36101632,1.570829582420202,0.4218622096054372,1,256,0,1,1,279.3433727999999,0.8207447643611984,0.08522928614300053,331.8698706068376
256,128,908.6762993009803,2315511,243359,45924352,35080112,1.1561683549270556,0.34188478563545444,0.41475642080568753,256,0,1,1,800.1560770588236,0.8805744263861751,0.08366438583685547,331.8698706068376
256,1536,223.8880256234076,1740004,116867,63754240,39924648,1.6138796776955928,0.2889348343342355,1,256,0,1,1,165.71418159999996,0.7224829965332268,0.10828410408443906,331.8698706068376
256,2048,223.24819926301723,1620535,131526,52744192,38668752,1.8769896161580815,0.3591641236893474,1,256,0,1,1,148.4504926,0.7465697687745311,0.10912683838871907,331.8698706068376
256,256,387.88073672484796,1957382,134147,37797888,34386448,1.4090805300111853,0.22204528247348343,1,256,0,1,1,330.25305579999997,0.8906691564523841,0.0937126470842397,331.8698706068376
256,512,358.01095130235177,1914603,127022,37273600,33712096,1.405135537060597,0.23674474827287614,0.9831871170727229,256,0,1,1,337.54497475000005,0.9033145495647783,0.07035187899708334,331.8698706068376
512,1024,215.81118344253628,1615454,152875,58912768,51222840,1.7227139334858286,0.42130026410630167,1,512,0,1,1,164.16512660000004,0.8244937915854577,0.09858950583644983,331.8698706068376
512,128,531.4374006098566,2114449,181762,38060032,35458672,1.268898627261169,0.21692859822432112,0.7614515161971938,512,0,1,1,435.83847894117656,0.8860755181644184,0.08202790003199571,331.8698706068376
512,1536,235.78126092512832,1788932,113616,63754240,39473008,1.651215632597389,0.3238676179913538,1,512,0,1,1,170.12828785,0.7597900343472491,0.11582052264145308,331.8698706068376
512,2048,217.33706505300552,1607345,146058,53268480,42682480,1.6336757791290857,0.2379937534670534,1,512,0,1,1,159.65479009999999,0.7794001807175637,0.08619297714429734,331.8698706068376
512,256,582.1496564814979,2351958,110748,37535744,34456912,1.060930050147095,0.16544710700579385,0.571292464546173,512,0,1,1,580.91063895,0.9001533321018588,0.07234639978374209,331.8698706068376
512,512,612.6120382915391,2116241,200068,38322176,36099288,1.1938431700510868,0.3238813442341827,0.6394248030541988,512,0,1,1,519.0131334,0.9142603396216724,0.05235592752751776,331.8698706068376
