cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,89.70360908387345,501500,69076,53641216,34884712,1.1057723873397796,0.14864530216114746,1,1024,0,1,1,431.82901875,0.7873748641154651,0.0910732242058493,432.2746001428572
1024,128,225.2088386320681,514854,107595,45744128,40086984,0.8787161848740267,0.1805554238283882,0.6388124774920051,1024,0,1,1,676.68465375,0.8632644731675747,0.05409463903517254,432.2746001428572
1024,1536,67.1428603433545,377953,91384,73445376,55197832,1.4566779486781312,0.20582247335806284,1,1024,0,1,1,270.4727084,0.7012605268254879,0.10951404663792502,432.2746001428572
1024,2048,38.059779867508674,471583,48328,73969664,55266424,1.8917150295087282,0.2416255358738997,1,1024,0,1,1,175.3673526,0.6880702509486133,0.13547751221184995,432.2746001428572
1024,256,72.39288436011492,535799,89538,45481984,41405560,1.16335651486225,0.14066425595667564,0.8772302370754623,1024,0,1,1,492.772116,0.8679372836459356,0.04639006437584054,432.2746001428572
1024,512,104.07227103098064,453578,72420,32772096,27742080,0.8709072492531582,0.1284517235430957,0.6327607741402252,1024,0,1,1,683.15644365,0.8917807457132889,0.05310056073980807,432.2746001428572
128,1024,125.93479993777738,479225,67771,58040320,51987416,0.8398686747470006,0.14181105365390617,0.7221573973367145,128,0,1,1,598.5877895000001,0.7961576639916261,0.08002513981417905,432.2746001428572
128,128,424.88147569222076,662279,81811,47579136,41461240,0.7982263121061631,0.32157133473520677,0.4398243034342463,128,0,1,1,982.8347291578948,0.8650333445062381,0.035480451307217595,432.2746001428572
128,1536,98.51275138699006,364523,61131,63086592,49218696,1.0267201043031595,0.17396122329223185,1,128,0,1,1,425.9160523500001,0.6843383523506954,0.08830607971302289,432.2746001428572
128,2048,57.736221609084154,467550,84765,82452480,64106616,1.4097240608954411,0.18012371574858468,1,128,0,1,1,260.87225334999994,0.6805049759411872,0.11753606058296878,432.2746001428572
128,256,119.08506973762253,571308,73225,55201792,47044384,0.8773045350594535,0.08079865280653621,0.6106075256476763,128,0,1,1,707.9418152999999,0.8844208835491036,0.06361692554300262,432.2746001428572
128,512,102.20016820128446,472401,78083,40886272,37485056,0.803521492403114,0.08542253915147457,0.5805660743725455,128,0,1,1,744.5743374000001,0.88976090281947,0.04653543799582576,432.2746001428572
1536,1024,101.28197440718338,530204,88169,73936896,54018400,1.0872263454467481,0.13494886034487774,0.9909614974258281,1536,0,1,1,436.21735179999996,0.7748054796226592,0.0756828292682681,432.2746001428572
1536,128,185.22393573074822,554211,90118,39735296,33789840,0.8661901262963742,0.1148939619575517,0.5692694782698412,1536,0,1,1,759.349687,0.8588389465068706,0.05819608128739127,432.2746001428572
