cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,90.17908642104402,555937,73129,45723648,30512168,1.1610932687438533,0.10256545044548548,1,1024,0,1,1,401.46411969999997,0.73942591452719,0.12488193888289129,440.9968881416665
1024,128,174.26660345115195,599189,79576,32743424,29795960,0.8579682384809063,0.11734592131532505,0.6053370062157756,1024,0,1,1,728.51466805,0.8894557965022646,0.07716411574710362,440.9968881416665
1024,1536,61.37854319947306,437816,72000,71036928,59468792,1.5362622894951308,0.1688169343864271,1,1024,0,1,1,248.70937835000004,0.6885222259592588,0.1124911807949254,440.9968881416665
1024,2048,28.931748740450466,413830,65256,70250496,59542992,2.034312938700952,0.1576448802984425,1,1024,0,1,1,143.62091555,0.5319841459240016,0.2106343595090502,440.9968881416665
1024,256,76.42426904998948,582561,79525,32219136,29589032,1.051817155779742,0.13472324155983903,0.8617939734425486,1024,0,1,1,511.71962410000015,0.8882424671352489,0.07704171146573764,440.9968881416665
1024,512,160.17341124739133,538588,44777,33005568,29531256,1.0559725746349147,0.23813515129004045,0.7206389375499133,1024,0,1,1,611.9526231,0.8603347033545354,0.0811558882928484,440.9968881416665
128,1024,139.59910428532146,449835,56813,50712576,44437616,0.8821792563830382,0.130061515732762,0.7928635841253675,128,0,1,1,556.2077726499999,0.7806031945266677,0.11783752880430437,440.9968881416665
128,128,257.2812291780801,601524,89797,33005568,30148120,0.9344447689073132,0.2917762361013311,0.5947740124950405,128,0,1,1,741.4528524736843,0.865391004027526,0.09200327305228939,440.9968881416665
128,1536,91.84061914757923,581961,64308,77066240,59040792,1.5476678228362868,0.19233246749500443,1,128,0,1,1,239.09866449999998,0.6445241658847916,0.1290690878060838,440.9968881416665
128,2048,35.58524574880031,556846,49152,72085504,58630968,2.0419824971600904,0.1563177984673237,1,128,0,1,1,153.79292145,0.5896057865455273,0.20542857010947663,440.9968881416665
128,256,60.21272053630692,528097,78280,33005568,29850488,1.0747913443257286,0.07018788082359546,0.8919235432518853,128,0,1,1,494.43351,0.8724942267143924,0.09107675620392658,440.9968881416665
