cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,208.34323526112863,382993,71643,38907904,30024808,0.6923832315012914,0.21929148601847356,1,1024,0,1,1,555.7053927000001,0.7580267530177187,0.10658157538261963,835.238675902913
1024,128,281.08453828445033,528301,58483,32743424,29859528,0.25042974674221763,0.043459199972191484,0.39462662781765356,1024,0,1,1,2116.528934,0.8569443122449842,0.049401987046274506,835.238675902913
1024,1536,121.09703093457793,341593,48728,58183680,45081008,0.8361142580645031,0.34810724686083444,1,1024,0,1,1,358.45647005000006,0.7062153180294068,0.10881295839328751,835.238675902913
1024,2048,144.82731765477973,336638,43025,59232256,44584880,0.5743862426227818,0.2218240296773145,1,1024,0,1,1,463.8513397500001,0.6859643309503526,0.16158649223775848,835.238675902913
1024,256,376.3616487394772,377450,64347,32481280,29797912,0.30729812807821766,0.0746148379581757,0.5336873197192955,1024,0,1,1,1565.0337661052636,0.8826717585197731,0.04816013331640725,835.238675902913
1024,512,268.31156454933057,467273,50108,36151296,29650736,0.4674351657403359,0.1032790889746132,0.8242122703547508,1024,0,1,1,1013.3781138,0.853272035994779,0.06456529552306368,835.238675902913
128,1024,210.6395734436023,413240,53339,42577920,30350632,0.6499994931998005,0.1792326020482654,1,128,0,1,1,604.9579604,0.7714836918000938,0.08210444418201002,835.238675902913
128,128,717.9142340738741,385369,65711,38248448,29621096,0.38710804303295165,0.2368737503585061,0.513894957538024,128,0,1,1,1625.3101215555555,0.8379467529480559,0.09039717461368305,835.238675902913
128,1536,153.16210759233581,343186,33804,44806144,31032656,0.8304912482576796,0.35794394521597905,1,128,0,1,1,386.0226906500001,0.6800336649649666,0.129826043028827,835.238675902913
128,2048,133.6789063607272,253694,58078,44806144,30219864,0.6176265557802381,0.25577049759575915,1,128,0,1,1,420.71828165000005,0.7278198826571007,0.1272533543871669,835.238675902913
