cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,118.56994716466494,270295,40601,39432192,30087720,0.5319732915360758,0.2346393649963483,1,1024,0,1,1,442.9917170500001,0.7292828131799907,0.13747397122770097,681.3047675833332
1024,128,933.7328446272322,278459,72766,32219136,30031976,0.3116990343768009,0.20820069190421872,0.41354920292411695,1024,0,1,1,1647.4575764285714,0.9159111530869344,0.011097277441663828,681.3047675833332
1024,1536,168.70325968917956,280684,29053,49262592,30669936,0.5642083511513942,0.29098737591034496,1,1024,0,1,1,392.4971961,0.6417707663219268,0.1317280029576676,681.3047675833332
1024,2048,143.5000032783865,222395,46516,50311168,30018168,0.49921907746674343,0.2847455071835451,1,1024,0,1,1,417.58675509999995,0.5937148205888784,0.17735643039841914,681.3047675833332
1024,256,349.76109945197896,260917,30146,32743424,29762184,0.31824198213931637,0.12120786625422839,0.6634105825912858,1024,0,1,1,1026.9730171052631,0.8933621500506398,0.07650962161171564,681.3047675833332
1024,512,225.6053102361786,308665,40166,33267712,30183688,0.41325757623241166,0.1021415507438837,0.951507128902595,1024,0,1,1,716.0269712,0.8723539778024019,0.07654337319020134,681.3047675833332
128,1024,117.10856996355537,259830,26455,37335040,30554136,0.4007150327686452,0.14758216868566323,1,128,0,1,1,552.47788635,0.7479076342337252,0.11035560732964715,681.3047675833332
128,128,1410.2166174429583,258058,34940,32481280,29790752,0.27682222133917456,0.19307038231147636,0.37971390204162103,128,0,1,1,1794.2581610000002,0.922088349617832,0.008709904869729179,681.3047675833332
128,1536,150.91628120588996,300461,25607,50049024,30061192,0.46291707541650123,0.23410182815792915,1,128,0,1,1,439.39749240000003,0.6081781189643776,0.17473146893893948,681.3047675833332
128,2048,111.55135823724963,269707,51395,49786880,30144720,0.49757243794074746,0.28931562736228117,1,128,0,1,1,381.21231190000003,0.5666832163145241,0.16461749964095113,681.3047675833332
128,256,361.78656967520976,271312,36169,32481280,29843824,0.24849551920336718,0.0861102149422442,0.5398999896719892,128,0,1,1,1261.9092065500001,0.8973124966504666,0.06624043746443696,681.3047675833332
128,512,190.86463557689422,246676,29862,31956992,30041232,0.40569049159188175,0.1436634609367497,0.9512501142575379,128,0,1,1,716.2204318,0.8719358400810504,0.0754866411583107,681.3047675833332
1536,1024,182.1339925896487,280966,72457,29200384,15528744,0.5753915763972202,0.2546658002809343,1,1536,0,1,1,439.2696852,0.719419848511397,0.15472201603232075,681.3047675833332
