cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,199.7228192677839,157607,30194,40218624,30801976,0.9572020873172878,0.3892107176499694,0.7623606808752411,1024,0,1,1,248.76264224999994,0.781705380100125,0.11340782813357053,189.64685732203398
1024,128,362.61989469276847,280790,53217,33005568,30226872,0.957557569420449,0.45639173208986966,0.5459861433852096,1024,0,1,1,347.34738164999993,0.8814555351992114,0.05834593932507672,189.64685732203398
1024,1536,45.85057232415334,261389,53425,51097600,30084104,1.2531508942222884,0.24015834891929738,1.0,1024,0,1,1,115.23962919999997,0.783825609058663,0.09970579900844319,189.64685732203398
1024,2048,25.796519490926798,219884,51062,50573312,30048080,1.5756415758674773,0.16381898821637805,1.0,1024,0,1,1,79.57950375,0.7178425797367989,0.10182282283820823,189.64685732203398
1024,256,64.13145785734888,253305,70701,33267712,30221744,1.0070304866473665,0.18841064211782385,0.8300369011549003,1024,0,1,1,228.4800315,0.8764963908890389,0.06550349750021064,189.64685732203398
1024,512,75.47459971446791,283063,48669,33529856,30084360,0.9728497226496607,0.18360612535628248,0.860636672807487,1024,0,1,1,220.35646785,0.8867650738054277,0.058513816708181524,189.64685732203398
128,1024,82.53809384078244,262781,60698,39956480,30569848,1.0377778620500293,0.2387913146298884,1.0,128,0,1,1,184.35734860000002,0.792693443359633,0.08514447755200968,189.64685732203398
128,128,247.46490000489078,254796,38455,33005568,29773944,0.9656209050820566,0.44161117572497255,0.6252169851776632,128,0,1,1,303.3296628499999,0.873669080063674,0.09105249914565093,189.64685732203398
128,1536,52.71538005962725,263233,29674,50835456,30030376,1.415363049355543,0.23903465430932552,1.0,128,0,1,1,112.87528209999998,0.7239259873150636,0.1536810190448219,189.64685732203398
128,2048,28.309995090148284,279713,46266,50573312,30601088,1.5522611489742073,0.13344739805224504,1.0,128,0,1,1,78.78625634999999,0.7497722737199126,0.09539403442284354,189.64685732203398
128,256,76.70409280501465,290263,40544,33005568,30122640,0.9961907024618475,0.18239934995746604,0.8309453574632165,128,0,1,1,228.23023874999998,0.8898196095872499,0.04693380417148049,189.64685732203398
128,512,58.57566528341536,289805,41070,33267712,30288168,0.9534568551540078,0.19319524742473498,0.8073459804862241,128,0,1,1,234.90159350000005,0.8705085714855386,0.07447859340665199,189.64685732203398
1536,1024,75.72663848414747,246109,26817,38121472,30466136,0.9682132637020034,0.17888294073827427,0.9866914971962826,1536,0,1,1,192.20481565,0.7765807112765469,0.10750289606237337,189.64685732203398
1536,128,270.1565478332422,293373,37050,33005568,29918792,0.9968967955204823,0.3331659830666062,0.6504530218660975,1536,0,1,1,291.56119035,0.9092115778012649,0.034234537003101945,189.64685732203398
1536,1536,57.614356796314915,233595,33447,51097600,30047392,1.3910353610798718,0.2017235902488665,1.0,1536,0,1,1,104.8883462,0.7402218628882186,0.10029547401870574,189.64685732203398
1536,2048,30.7430654978422,259609,60757,50573312,30547192,1.6150840268303668,0.18725082151639202,1.0,1536,0,1,1,78.1818305,0.7163881424421575,0.13007821987529283,189.64685732203398
1536,256,53.857807920249584,262298,27599,33005568,30059672,1.055673601545852,0.10533610500423199,0.8981013596134461,1536,0,1,1,211.16420245,0.8787687015521289,0.06899370164950153,189.64685732203398
1536,512,71.9904637872742,301983,35696,32743424,30291360,0.8585988220634727,0.1312644989005237,0.692076931568671,1536,0,1,1,274.025688,0.8794814068874175,0.05665947163761601,189.64685732203398
2048,1024,126.01299749373123,246506,39480,37597184,30239296,0.7247254315524889,0.1389721545714494,0.6685848334575165,2048,0,1,1,283.65414205,0.8011187355490907,0.0911980076098406,189.64685732203398
2048,128,78.98084216956896,276969,63821,33267712,29977552,1.0004794051787402,0.18327028618386157,0.7852007307619082,2048,0,1,1,241.526593,0.876878064875059,0.05668805683228093,189.64685732203398
2048,1536,42.512162274258074,247548,31933,51097600,30036488,1.3381613833267003,0.21370664874552991,1.0,2048,0,1,1,105.71640714999998,0.7324399033554284,0.10274408449130525,189.64685732203398
2048,2048,27.830558272199113,282944,36771,50573312,30438552,1.6199565574132957,0.17386247954878511,1.0,2048,0,1,1,78.31053985,0.7662210978726527,0.10501476476391394,189.64685732203398
2048,256,68.75650712440333,241759,44409,32481280,30083072,1.0643577603769345,0.17142768838265698,0.8664683590353446,2048,0,1,1,218.87337875000003,0.8661059429838043,0.07516932809767363,189.64685732203398
2048,512,53.15896039218289,271033,20464,33267712,29795056,1.0329048803935774,0.17567396048742426,0.882127408531685,2048,0,1,1,214.98805670000002,0.8852058055964982,0.053570922893706054,189.64685732203398
256,1024,66.09904227872919,256420,39959,37335040,30397416,1.0067066535568483,0.21368596094008813,1.0,256,0,1,1,188.50794589999998,0.8141353642835851,0.06948571707324952,189.64685732203398
