cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,45.618528778135186,122873,491,26054656,15263504,0.9028142000127941,0.07905236604696135,0.8622297374048525,1024,0,1,1,71.2064162,0.6658314226220241,0.0673249375352145,61.39628954166664
1024,128,36.80835558228753,45966,0,25493504,21368880,0.8389292307173388,0.11838139660795576,0.7712886060160044,1024,0,1,1,79.6022255,0.8582698944821356,0.017621519213632662,61.39628954166664
1024,1536,25.555945664032727,102627,3862,38871040,24954208,0.948772915324928,0.07428893492010924,1.0,1024,0,1,1,55.58926544999999,0.6114938244080153,0.10516778637035075,61.39628954166664
1024,2048,21.42635293104957,37640,2,34312192,16494272,1.0090286620395408,0.03262894207575223,1.0,1024,0,1,1,44.2896979,0.5423453288266514,0.050806642108851344,61.39628954166664
1024,256,27.896618214192742,42940,7776,25231360,21046864,0.9679830737333214,0.09790014575660305,1.0,1024,0,1,1,55.08905924999999,0.8618261962611106,0.012569236714446482,61.39628954166664
1024,512,42.62720572024041,43346,25,25231360,21127752,0.8900880221545486,0.20397424340782686,0.9807545885148704,1024,0,1,1,62.60107295,0.8674261712338047,0.0159357635885378,61.39628954166664
128,1024,45.7631192149475,29082,3403,25530368,15131784,0.873147052993164,0.15151193960728804,0.8594372236529448,128,0,1,1,71.43778259999999,0.6749971041718444,0.059048307064476925,61.39628954166664
128,128,47.71227556586684,98267,4522,24707072,21497272,0.7213271220249252,0.16438997822244478,0.6660679855234073,128,0,1,1,92.17721144999999,0.8637228994587078,0.01647740683721417,61.39628954166664
128,1536,16.109505363959656,62820,37,34312192,15260432,0.941325217426613,0.1134901017206696,1.0,128,0,1,1,50.49265985000001,0.5263069233524751,0.04351343032798596,61.39628954166664
128,2048,24.09842387944887,66596,5068,34574336,15276664,1.00395134837121,0.07364597874894054,1.0,128,0,1,1,31.403330600000015,0.5498507794914701,0.05633394683263363,61.39628954166664
128,256,44.36092043465164,108700,723,24969216,21174216,0.8010071731317749,0.15946790393816812,1.0,128,0,1,1,59.44298260000001,0.8642647227451326,0.011088947577363149,61.39628954166664
128,512,42.92620748667616,63998,21,24707072,21150744,0.8989145884422779,0.11007612728149223,1.0,128,0,1,1,59.697715149999986,0.8597688972491682,0.012378204125014884,61.39628954166664
1536,1024,28.852648511398417,58533,4,26316800,16257544,0.8967718785062132,0.10845442565095531,1.0,1536,0,1,1,60.16137605,0.6735405485210062,0.07395066421327953,61.39628954166664
1536,128,42.682448214101065,64889,2741,24444928,20804248,0.7924393197157797,0.16543783222805572,0.6679406163716587,1536,0,1,1,91.91878445,0.8665158336641721,0.015368762911689282,61.39628954166664
1536,1536,26.651580572341054,80655,4043,39133184,24699104,0.9067130459057113,0.08537686138056798,1.0,1536,0,1,1,56.59815685000001,0.5259542233694682,0.05276675883493072,61.39628954166664
1536,2048,20.847692620882963,13798,310,39133184,24699496,1.000735588883622,0.04061224010710072,1.0,1536,0,1,1,38.67359075000001,0.5334027186853456,0.06262052850850272,61.39628954166664
1536,256,35.16495767463442,108469,240,24969216,21124016,0.9305169547880172,0.06415585794564459,0.8805783902008697,1536,0,1,1,69.7226848,0.8706329203575953,0.017298220189510986,61.39628954166664
1536,512,27.15011379753895,83397,8561,25231360,21132440,0.8929168880493084,0.09938819020596878,1.0,1536,0,1,1,59.454227100000004,0.8657081747725816,0.016751065711372033,61.39628954166664
2048,1024,39.77408566169409,85052,3366,26054656,15179736,0.8765130245449623,0.13732823085862142,0.8410106948309982,2048,0,1,1,73.00298310000002,0.6521562393490732,0.04052796580598303,61.39628954166664
2048,128,43.35869501142895,99470,4,24707072,21162296,0.78875838628103,0.10720590197122247,0.6584458545260385,2048,0,1,1,93.2442495,0.8621420925196608,0.015608611287473956,61.39628954166664
2048,1536,32.564193234340756,47173,420,34312192,15095032,0.9541675546291856,0.15025870179653092,1.0,2048,0,1,1,50.427103249999995,0.5307488603467828,0.047182051195326126,61.39628954166664
2048,2048,20.23923361382923,45529,320,38871040,24740000,1.0346910680412038,0.06671459522785793,1.0,2048,0,1,1,34.626112899999995,0.5466327748580412,0.062135284279690825,61.39628954166664
2048,256,34.00969874497248,47056,3927,24969216,21095816,0.8363285796537216,0.14909528412451573,0.8715041334701554,2048,0,1,1,70.44864985,0.8636660152198873,0.012073722712541436,61.39628954166664
2048,512,59.29385219997506,81996,31,25231360,21066416,0.8185444817121137,0.19694786531953096,0.7749096805907958,2048,0,1,1,79.23025234999999,0.8595352393817939,0.013440009792356577,61.39628954166664
256,1024,43.93457460232046,44022,8644,26054656,15144952,0.8919191842459119,0.0970723383136827,0.9056729757488028,256,0,1,1,67.79079334999999,0.6610300264985753,0.0643081258341363,61.39628954166664
256,128,41.791147779713285,26587,2797,24969216,21145680,0.7088045370098559,0.15648482491380317,0.6555299184032206,256,0,1,1,93.65901970000002,0.8666847483712976,0.01699386484829178,61.39628954166664
256,1536,25.446856785510597,17700,4,34574336,16490040,1.018003201311641,0.06221015723920206,1.0,256,0,1,1,45.418233650000005,0.5190658871099832,0.05161224990976442,61.39628954166664
256,2048,22.504185244443935,60113,9526,34574336,15373480,0.9740850222336357,0.04380949092059262,1.0,256,0,1,1,48.69919385,0.5544284159001786,0.06920695675059346,61.39628954166664
256,256,28.70713483563423,116199,0,24707072,21307744,0.9610120016945414,0.07221538850105015,1.0,256,0,1,1,55.91217905,0.8571425924487533,0.018013164353739737,61.39628954166664
256,512,31.930071070296467,37118,338,25755648,23208720,0.8930773323598358,0.08322418940248617,0.9870055604753858,256,0,1,1,62.2046035,0.8619833547173638,0.015903093771537744,61.39628954166664
