cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,59.89576985107465,136051,58127,49221632,39164368,1.0147116853738312,0.08268894753840524,0.9447811492386972,1024,0,1,1,147.7234188,0.758282409515105,0.05716772265214862,139.56630138333335
1024,128,57.10703032907661,147549,24943,32473088,28195672,1.0075001201154683,0.15905603834807477,0.9326984564406391,1024,0,1,1,149.63710985,0.8797566836202115,0.021230891733708016,139.56630138333335
1024,1536,45.20726030370819,242714,12706,73265152,55478048,1.043098226833649,0.10561702048604185,1.0,1024,0,1,1,109.64797345,0.6657177988576402,0.05537941356460526,139.56630138333335
1024,2048,31.291049689674093,52180,8016,43515904,28063384,1.1678392966270315,0.20236057695192897,1.0,1024,0,1,1,88.74901135000002,0.6694075293739175,0.06461438218735645,139.56630138333335
1024,256,95.92945546374766,223511,19826,32473088,27932904,0.8913138871701426,0.1727367148225286,0.7561527405653761,1024,0,1,1,184.57421879999998,0.8874297065328296,0.01556836441657458,139.56630138333335
1024,512,63.90570305790874,75966,9275,32927744,28180952,1.0752349156241572,0.09898263683946372,0.8885833586299321,1024,0,1,1,157.06607605000002,0.8912599006279625,0.016404625827561314,139.56630138333335
128,1024,74.19614393149894,174991,42539,48697344,37799456,0.8816789803939699,0.10494897905223252,0.7568030096207301,128,0,1,1,184.41562679999998,0.762122582171668,0.04708527083004329,139.56630138333335
128,128,85.44881790383359,50452,13661,32063488,28445472,0.8690864766685891,0.09617746244914498,0.7205950722828578,128,0,1,1,193.68200914999997,0.890874076553543,0.018960657672181917,139.56630138333335
128,1536,46.21601782753741,133949,35522,66609152,47173928,1.0037401802215036,0.11647405181414236,1.0,128,0,1,1,108.98412375000002,0.6458551765435957,0.040925165329330236,139.56630138333335
128,2048,30.70044904537849,95839,37763,54386688,34995744,1.168288435069739,0.17474056319737738,1.0,128,0,1,1,76.36617225,0.6575545538111053,0.047566360653388894,139.56630138333335
128,256,72.31652039292034,70358,984,32403456,28276504,1.189138938461704,0.16975368597475188,0.9163112547912076,128,0,1,1,152.31320215,0.8907944312812675,0.022772372029028015,139.56630138333335
128,512,39.3490013765876,113283,26,32268288,28107288,1.2234657641934947,0.17167405029607924,1.0,128,0,1,1,123.14587864999999,0.886047599572225,0.02195767111984542,139.56630138333335
1536,1024,62.85374648142414,185550,39092,73154560,61810720,0.9042491921116712,0.12440647565352049,0.7670195448424663,1536,0,1,1,181.95925035,0.7623203573456798,0.044920656606035544,139.56630138333335
1536,128,74.70645428590399,146216,29825,36851712,32511320,1.0175812131484165,0.10427016150773523,0.7658557818658882,1536,0,1,1,182.23574815,0.8856523908360827,0.02269757708826268,139.56630138333335
1536,1536,34.392749700413574,100145,24742,51773440,34022992,1.0447766031781778,0.10929057707811757,1.0,1536,0,1,1,123.50921785,0.6674106193951509,0.05491768317155937,139.56630138333335
1536,2048,30.670801746067667,82791,26894,52035584,34017256,1.1398426941014153,0.11374119899062375,1.0,1536,0,1,1,97.08027485,0.651253771953407,0.04399385815451871,139.56630138333335
1536,256,60.36011186714146,94388,16374,32141312,28246328,1.1006643548785668,0.14289444247684685,0.9331664708525259,1536,0,1,1,149.56206179999998,0.8936495978732909,0.02213009973665762,139.56630138333335
1536,512,91.44510663418913,195222,27438,31948800,28117416,1.018711985659427,0.11276116586284504,0.7232645266504205,1536,0,1,1,192.96715964999999,0.8857436157882637,0.02115192416100902,139.56630138333335
2048,1024,45.159237577322,130563,13837,40214528,30187216,1.0182362362924597,0.1046523562370369,1.0,2048,0,1,1,139.13067805,0.773707052436537,0.05180548414763487,139.56630138333335
2048,128,102.5659744017998,243828,23639,31948800,28216880,0.8559910665987769,0.17668931320875092,0.6543780645323308,2048,0,1,1,213.2808371,0.8872746263255792,0.023574171852603427,139.56630138333335
2048,1536,50.36572059955555,74284,31705,52035584,34025392,1.0215752847779387,0.1427804260958284,1.0,2048,0,1,1,128.26811425,0.6622915307903909,0.05290340913061501,139.56630138333335
2048,2048,39.25230696952535,85984,24554,45379584,25617280,1.1322544132263097,0.13166079584629953,1.0,2048,0,1,1,105.70860109999998,0.6839539266162017,0.04534839994991478,139.56630138333335
2048,256,56.63934787565587,42246,15752,32403456,28269096,1.1273837917733682,0.1874974702936459,1.0,2048,0,1,1,110.96538209999999,0.8807573826400498,0.024323100407468948,139.56630138333335
2048,512,37.09709821083643,124554,15295,51191808,46824752,1.3019612971357901,0.23686308418120322,1.0,2048,0,1,1,110.543534,0.8954690027508722,0.02083201458054248,139.56630138333335
256,1024,41.6441071867261,98957,30589,39952384,30054248,0.9615417878576947,0.12012309150411275,0.9858560208602952,256,0,1,1,141.56864535000003,0.7694522442766529,0.05217859554365998,139.56630138333335
256,128,53.201406408061324,79996,3850,31879168,28289064,1.0829225529670943,0.10620398172730043,0.9567077055748314,256,0,1,1,145.88186189999993,0.8735664769842322,0.025272835161317227,139.56630138333335
