cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,908.332926983752,2246142,148975,58126336,50670848,0.8863830349485887,0.09403122431147358,1,1024,0,1,1,751.47040275,0.8617246652464262,0.06537254255351042,2251.3029918942307
1024,128,1640.786594106072,2354592,306876,51437568,47375728,0.5214095911986638,0.1790787593547075,0.41824037316490786,1024,0,1,1,5382.796918571429,0.9281470922574215,0.0288768982867167,2251.3029918942307
1024,1536,572.3336427705025,1766091,172374,75034624,50794352,1.073730755360549,0.21602847089913965,1,1024,0,1,1,457.02951755000004,0.7765273882800756,0.09149693242616948,2251.3029918942307
1024,2048,373.1778454005647,1706018,123881,61927424,51389264,1.2263421817346407,0.2608659714722617,1,1024,0,1,1,274.71982205,0.8009378922974084,0.07856113791845382,2251.3029918942307
1024,256,3793.0222785078167,2176303,179647,50388992,47139784,0.3215132458797439,0.16080564036645906,0.32618978349607247,1024,0,1,1,6901.819449294118,0.9363046440608511,0.021112980027606455,2251.3029918942307
1024,512,2196.294975478785,2085852,151972,50126848,47939120,0.43785900457394067,0.06371914746140961,0.901127840597712,1024,0,1,1,2498.3169873,0.9215703312483436,0.05501122625896187,2251.3029918942307
128,1024,945.8992359571143,1928117,176561,58650624,47779032,0.9016343652417931,0.16571766170393518,1,128,0,1,1,759.63117455,0.8325130544870362,0.06676596614099185,2251.3029918942307
128,128,1708.7632901648428,2256911,273189,51175424,47750040,0.4091789189092435,0.11825799750861592,0.3253992654259785,128,0,1,1,6918.586582999999,0.9460346813008133,0.005990601769578799,2251.3029918942307
128,1536,627.5824362370918,2073751,167476,64548864,48311960,0.995998809692216,0.1275099885145769,1,128,0,1,1,510.0440844500002,0.7723491844704654,0.09604946881360721,2251.3029918942307
128,2048,361.8270120086064,1832937,157271,67694592,47668696,1.179624717857203,0.31805952098661866,1,128,0,1,1,282.4016474,0.8032221840061539,0.08003466230050074,2251.3029918942307
