cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,596.9385446205476,1991268,182893,45535232,32990136,1.1652285466588075,0.21530560847543584,1,1024,0,1,1,465.36376825000013,0.8398930683589867,0.0649840764632845,1475.4163974519238
1024,128,1553.2150372943147,2483256,238754,51437568,47893784,0.48513964338809384,0.14104726908677628,0.2594661705663301,1024,0,1,1,5686.353616857144,0.945174273151905,0.01101389490631405,1475.4163974519238
1024,1536,391.98553269234344,1877507,120466,67956736,48502480,1.361252343227781,0.24348025195203554,1,1024,0,1,1,278.7993681499999,0.7981560431314604,0.0793445051751913,1475.4163974519238
1024,2048,247.9556009547728,1806918,186744,68743168,47852448,1.5503196114679567,0.23239345607319595,1,1024,0,1,1,149.22411350000004,0.8078978829678786,0.07681366376179762,1475.4163974519238
1024,256,2850.7550491795832,2409171,196195,50126848,47576680,0.44147903902052144,0.21176556376216124,0.36814988982865793,1024,0,1,1,4007.651335,0.9209679780411414,0.0524810320801998,1475.4163974519238
1024,512,1617.311370794429,2316050,180778,51699712,47822320,0.6219982926503128,0.09458069500624967,0.9339709996486733,1024,0,1,1,1579.7239935789473,0.9397994366335058,0.03150132841257204,1475.4163974519238
128,1024,581.8544601306388,1922739,159111,59174912,47546704,0.9773973615418493,0.18884738308032983,1,128,0,1,1,508.64118214999996,0.8100849489113549,0.08750910608464728,1475.4163974519238
128,128,332.703616159387,2383487,249019,50126848,47764776,0.5636652520825739,0.04272425772088815,0.31407569286061654,128,0,1,1,4697.645920999999,0.9381464135085108,0.01841263306334562,1475.4163974519238
128,1536,350.6008210008126,1699062,140823,58249216,33184128,1.3569754929152928,0.317924035561905,1,128,0,1,1,252.88469034999997,0.7727488815107613,0.09544943784132903,1475.4163974519238
128,2048,222.9823598325244,1742408,77684,63238144,52461672,1.5162335813029675,0.20806458396360508,1,128,0,1,1,150.88713869999998,0.8035989843244187,0.06831292871415275,1475.4163974519238
128,256,3967.7402479606067,2097786,220054,50126848,47704408,0.37020811441058726,0.13499867676155294,0.26069797150068413,128,0,1,1,5659.485530166666,0.9256013096730756,0.04983639431324566,1475.4163974519238
128,512,1546.8190189394638,2058769,185459,38584320,32752568,0.6651214351817512,0.3014394500300273,0.912689207230209,128,0,1,1,1616.5594879000002,0.9246076277016796,0.04604743678115403,1475.4163974519238
