cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,621.716293400515,2097072,173615,59699200,47353728,1.019829327182011,0.2464680155050321,1,1024,0,1,1,468.61982199999994,0.8564210413984554,0.09206869289770298,1749.8840184519233
1024,128,3361.1979880802555,2261256,235774,49864704,46977176,0.4009369738080153,0.1666846940527081,0.23162644697651602,1024,0,1,1,7554.767779300001,0.9362494192109587,0.011681760127995511,1749.8840184519233
1024,1536,339.3470572576134,1605181,136767,67432448,47242048,1.2195348682811815,0.18289209832179665,1,1024,0,1,1,254.1647106500001,0.8144766992721427,0.06674440911162814,1749.8840184519233
1024,2048,223.25420023286762,1628836,159277,63762432,51398896,1.505084785494573,0.2372645482882331,1,1024,0,1,1,153.24449855000003,0.8001784898538595,0.0702707644050888,1749.8840184519233
1024,256,3515.90604036275,2211952,199841,51175424,46995368,0.4589014949159518,0.15598853934033904,0.4010353316954198,1024,0,1,1,4363.416088687501,0.9133234648871726,0.061736923274967236,1749.8840184519233
1024,512,1541.9354238653998,2176342,184869,50126848,47232144,0.5898750792860266,0.06850252624223774,1,1024,0,1,1,1510.4374754500002,0.9361862707647024,0.039898052801342246,1749.8840184519233
128,1024,596.987319887231,2034641,130713,56815616,47064464,1.0119093159082364,0.17927540883437257,1,128,0,1,1,465.8463557,0.8857280088726693,0.057664906886983364,1749.8840184519233
128,128,370.268689,1892737,180518,50126848,46895632,0.4024982638812521,0.020431613592327952,0.3318955715836925,128,0,1,1,5272.393392,0.9300935431334044,0.005445671301143706,1749.8840184519233
128,1536,385.3865491572225,1963505,124380,62713856,50768176,1.2693438422126024,0.21603325122810846,1,128,0,1,1,284.35276915000003,0.8208609737578006,0.061563588464402755,1749.8840184519233
128,2048,221.2970567527901,169855,31001,63500288,49486312,1.5528029087127755,0.30119355791977115,1,128,0,1,1,147.78076039999996,0.7838562489952535,0.07816373950444187,1749.8840184519233
128,256,3947.838282362569,2055714,230080,49864704,46940656,0.3615297543971531,0.12018612998265109,0.3168651506561732,128,0,1,1,5522.48808311111,0.9340700034948279,0.023690007171171906,1749.8840184519233
128,512,1528.6422329505506,2088206,169445,50388992,47414240,0.5711471361564796,0.10222581735697125,1,128,0,1,1,1605.390889842105,0.9285684478598482,0.040177993854102194,1749.8840184519233
1536,1024,569.6879133013737,1869812,143911,56291328,49307464,1.0677936450325372,0.17192014182566137,1,1536,0,1,1,450.8951128,0.8517376960030647,0.07511052905801245,1749.8840184519233
1536,128,2080.3451110531832,2444799,238220,49864704,46985656,0.5088238271919827,0.1741342231026991,0.31695733755976974,1536,0,1,1,5520.881869857143,0.9379764509354788,0.00696561882403934,1749.8840184519233
1536,1536,348.8181202501992,1584141,132917,61403136,50348280,1.270824573076746,0.19181763850165168,1,1536,0,1,1,264.3031801000001,0.8194030873205757,0.05065380380074654,1749.8840184519233
1536,2048,204.62572549114412,1445654,112931,62713856,50678072,1.5592750866683458,0.2610056671333727,1,1536,0,1,1,143.14819075000003,0.7995538656319386,0.07948027087167024,1749.8840184519233
1536,256,3692.7271627385767,2176882,152980,50913280,46989688,0.3617542353822589,0.13920473769636027,0.32895015130422556,1536,0,1,1,5319.602412444445,0.9258568558492427,0.04924714584943882,1749.8840184519233
1536,512,1574.9662348725476,2174147,133401,49602560,46915056,0.6284016213018223,0.11761432082116362,1,1536,0,1,1,1601.1574596315786,0.929518361710322,0.04176598206091789,1749.8840184519233
2048,1024,608.2140301750683,1773286,174693,58912768,47187464,1.0416896800951252,0.20675555116315283,1,2048,0,1,1,475.2686420500001,0.8667134278716272,0.07542117949300764,1749.8840184519233
2048,128,140.9582805,1888003,233601,51699712,47397800,0.764709108294853,0.03986996526468706,0.6299373294350823,2048,0,1,1,2777.8700145,0.9290564145229947,0.012266007644132493,1749.8840184519233
2048,1536,343.0103099960776,1722995,151217,68743168,50815184,1.1721942558343412,0.1840677054669234,1,2048,0,1,1,287.20798185,0.8002841306984978,0.04554106466699492,1749.8840184519233
2048,2048,224.88574497229519,1543491,140691,62976000,51210552,1.513617475446428,0.256749371495499,1,2048,0,1,1,147.6600788,0.790609608251278,0.06831647728680958,1749.8840184519233
2048,256,3555.6074315361816,2422741,157622,50126848,47311088,0.32874899380938877,0.059344985091937516,0.32971620056204326,2048,0,1,1,5307.243063789475,0.9335788611651651,0.023532070714765013,1749.8840184519233
2048,512,1555.7025602033918,2192344,146586,50126848,46917560,0.6007007730309004,0.08914639196598483,1,2048,0,1,1,1541.90224195,0.9034010341196244,0.07158185299129986,1749.8840184519233
256,1024,653.2796774459309,2155704,187632,56815616,50456104,1.0840026140919228,0.17812422237897066,1,256,0,1,1,469.33758042105256,0.8833481675737398,0.04134442758089974,1749.8840184519233
256,128,383.17242518204773,2306929,248068,50126848,47113080,0.41431164091489603,0.02596603969310224,0.27863652733982086,256,0,1,1,6280.167339,0.9330806690237206,0.011677180512109081,1749.8840184519233
256,1536,373.91392260767645,1713434,144699,63500288,51594416,1.3436634422696163,0.19420136055334464,1,256,0,1,1,253.99946760000003,0.8053365367555673,0.05851660786618424,1749.8840184519233
256,2048,212.02471141823386,1541906,134698,67432448,49994920,1.6237070243578842,0.3612246228771913,1,256,0,1,1,132.84807540000003,0.7599385107013936,0.11523735019901482,1749.8840184519233
256,256,3597.4096296342186,2092431,244728,50126848,46876816,0.31575159188582685,0.06755817827531986,0.30713507994503636,256,0,1,1,5697.441069789474,0.9273090104647176,0.04230133103112672,1749.8840184519233
256,512,1553.2684357839498,2095349,205480,50126848,47278048,0.6692704171502393,0.19229977983653163,1,256,0,1,1,1513.6209774,0.9330940556271617,0.03927044472476265,1749.8840184519233
512,1024,630.2211485385741,2097183,145556,57077760,50468688,0.9917116273403394,0.1667005846062158,1,512,0,1,1,519.2873206842104,0.8582501464975766,0.06383850629275407,1749.8840184519233
512,128,1611.154183493429,2439974,247800,50126848,46995864,0.2909460577682416,0.07962404136730254,0.18726352252036232,512,0,1,1,9344.500172272727,0.9399313225224376,0.0071179777641365285,1749.8840184519233
512,1536,364.1202456867942,1838007,168051,62713856,50874016,1.3094062961795072,0.18501978128466995,1,512,0,1,1,250.53640945,0.8308903726235801,0.03744137861906531,1749.8840184519233
512,2048,195.4528014836957,1479001,105705,62713856,50310976,1.5857338899206557,0.3068798284380643,1,512,0,1,1,146.66739109999997,0.8113918128782723,0.06432317218169523,1749.8840184519233
512,256,4031.661581175148,2460171,263913,52224000,46863688,0.346705171103415,0.12456718410504931,0.33345622742818676,512,0,1,1,5247.717314947368,0.9419249618235995,0.017515655588911806,1749.8840184519233
512,512,1602.972613963905,2104395,176551,50126848,46858616,0.6078748397954721,0.046840759667463934,1,512,0,1,1,1711.1848497647056,0.9241175042048243,0.03888488941233776,1749.8840184519233
