cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,359.83849534219075,1922113,185609,97030144,86042576,1.4666967475129369,0.2620427010652124,1,1024,0,1,1,387.40574359999994,0.8508394652984572,0.0608101104934562,1124.396658721153
1024,128,2976.9970753223283,2454213,271537,51429376,46128272,0.6111298021842232,0.41767331058145096,0.230751077977876,1024,0,1,1,4872.768823333333,0.9341488081339228,0.02010861866412906,1124.396658721153
1024,1536,232.73849371411612,1844366,152953,71614464,57106720,1.7291428131486495,0.33652720525616736,1,1024,0,1,1,198.24677455,0.7962381995848717,0.07930141788764572,1124.396658721153
1024,2048,225.07944967777738,1758499,183352,91459584,71124120,1.6133039371039355,0.25281482195884264,1,1024,0,1,1,210.66251924999997,0.7859251823895635,0.06499357588387782,1124.396658721153
1024,256,2240.913541354602,2295165,181687,67788800,64487312,0.4584264350222565,0.0407340745000863,0.359990198535922,1024,0,1,1,3123.409090842105,0.9194031637284255,0.026062298435711718,1124.396658721153
1024,512,848.4245983169651,2180502,146557,57561088,54557512,0.8773407295113799,0.10598155527757686,1,1024,0,1,1,986.1196928500001,0.9262806846037384,0.03632676583522678,1124.396658721153
128,1024,390.7239393090818,2139174,127384,82669568,74317648,1.2581520583075945,0.36448695506071693,1,128,0,1,1,452.23943935000005,0.8585938649583058,0.06766272190289986,1124.396658721153
128,128,2742.8984348899817,2000763,212233,77135872,73196824,0.7894376591791532,0.47884616079581654,0.24876851432360875,128,0,1,1,4519.85116275,0.9260423588023381,0.02041469830387935,1124.396658721153
128,1536,220.7597158583892,1800236,134754,77160448,59761864,1.734602614373863,0.29696819856288814,1,128,0,1,1,223.78245195000005,0.7968465191225858,0.043878890232633985,1124.396658721153
128,2048,210.11956297089455,1575003,134762,101044224,58290752,1.6629004590643361,0.3376886248339079,1,128,0,1,1,198.63779904999998,0.7554813811286387,0.07251000880608642,1124.396658721153
128,256,2132.3511202709783,2153345,236741,62865408,57899704,0.46986661980005795,0.08578173303193884,0.3333579575771961,128,0,1,1,3372.9408078125,0.9184683260138139,0.03054471517814319,1124.396658721153
128,512,846.7476011083721,2128407,166381,67731456,64122832,0.8279463541978178,0.0864121439245938,1,128,0,1,1,1067.9708932,0.9269203130446122,0.032487823724543764,1124.396658721153
1536,1024,357.9636795348961,1825099,155956,61571072,49361024,1.328468930690551,0.15906977273541256,1,1536,0,1,1,402.75482935,0.8432672761689133,0.05949724505015539,1124.396658721153
1536,128,883.5850334737105,2432243,250542,63651840,58850800,0.7473459688958977,0.17271281163868019,0.30334139740844557,1536,0,1,1,3706.7036294,0.9257776863076485,0.01603562924277449,1124.396658721153
