cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,243.67960187393155,1586400,150484,57339904,47942872,0.6038024495802414,0.3099334379245924,1,1024,0,1,1,491.4036662,0.7389323337889053,0.1194056783839968,529.2540126724138
1024,128,520.8714021622434,2105138,189711,51699712,47138040,0.7634535563429928,0.37662214547582507,0.8291498909941114,1024,0,1,1,638.3092109411765,0.904457168002907,0.053693465947361525,529.2540126724138
1024,1536,239.0085996951672,1796310,156730,69267456,47239360,0.7395000204984798,0.38715788898479214,1,1024,0,1,1,408.74016130000007,0.6600405789236785,0.13113687631634688,529.2540126724138
1024,2048,307.2869389816994,1736588,197257,67432448,47493992,0.5517042171607186,0.36491094494670917,1,1024,0,1,1,501.5931924,0.7036685662556892,0.12735093851490942,529.2540126724138
1024,256,449.06985811148485,1788554,168942,50913280,46792944,0.8256614803073953,0.3371478727505874,0.9334131531165527,1024,0,1,1,567.0093794000001,0.8792043035743496,0.07061094735989162,529.2540126724138
1024,512,389.60268999236047,1892273,159296,51437568,46984224,0.71810930992553,0.3847948016490631,0.83844212631898,1024,0,1,1,631.2349964999999,0.8993222678593611,0.07028634024253673,529.2540126724138
128,1024,384.17311038313943,1882766,177235,58388480,47031000,0.5373409645113877,0.24103822618932463,1,128,0,1,1,485.70833125,0.7390466044622724,0.10700225389150232,529.2540126724138
128,128,480.7545629411641,2000257,137755,50913280,47313848,0.7396751485729284,0.3360924630782915,0.7732947624297103,128,0,1,1,684.4143247647058,0.9118946114689527,0.06197132620344999,529.2540126724138
128,1536,213.47971045638442,1499621,148925,64286720,48048968,0.6604000882368947,0.3937803468975948,1,128,0,1,1,410.244201,0.6923489980011844,0.12904296746549096,529.2540126724138
128,2048,276.0643600980144,1576385,125771,55365632,32863000,0.611472459195231,0.32744731293048995,1,128,0,1,1,442.71043554999994,0.6602278347730245,0.12914007051223972,529.2540126724138
128,256,343.0224030544895,1831847,162842,50913280,46847832,0.7961436222628405,0.3231025859998712,0.9651700199617408,128,0,1,1,548.35314165,0.874441743323945,0.07228834286236044,529.2540126724138
128,512,432.967362070102,1754395,142729,50126848,47061792,0.8833301676664748,0.2906468483175422,1,128,0,1,1,510.88566310000004,0.8838706822702592,0.07075104203853186,529.2540126724138
1536,1024,208.12226266522384,1698773,136565,58650624,48198712,0.5910601528879373,0.35281507959711145,1,1536,0,1,1,495.752494,0.7378984003531894,0.10844224880455154,529.2540126724138
1536,128,420.59714054128693,1797110,194933,50913280,46818472,0.7800497781631693,0.39369477011795545,0.8660466358161585,1536,0,1,1,611.114910888889,0.8696972958738203,0.07398042568241568,529.2540126724138
1536,1536,233.47004434667147,1673201,145653,67694592,47302496,0.7303426506352415,0.42872400474508193,1,1536,0,1,1,430.61726675,0.67947829100113,0.12904807074499472,529.2540126724138
1536,2048,280.54807025421593,1632851,167396,56152064,32886672,0.5804466926840248,0.4216867020836281,1,1536,0,1,1,480.0116654,0.6742550079759805,0.12634481891461025,529.2540126724138
1536,256,435.797844121713,1831585,142660,51175424,46815240,0.6971865982462734,0.2797179930140407,0.8979786555773935,1536,0,1,1,589.38373355,0.8765846255785774,0.06707585263307661,529.2540126724138
1536,512,430.9262445703091,1862708,125618,51437568,46809312,0.8903587801004104,0.3068035373949723,1,1536,0,1,1,518.2468809500001,0.882876245348938,0.07014976491851894,529.2540126724138
2048,1024,247.53576725308892,1507858,174617,55767040,49202432,0.6104059056937388,0.3579556972516537,1,2048,0,1,1,470.16864860000004,0.7312601196116225,0.11063869292497173,529.2540126724138
2048,128,708.1866829639259,2274670,258159,51961856,46823392,0.6343028256548637,0.2708687436049746,0.5977709877572017,2048,0,1,1,885.3792229999999,0.9062761479542794,0.05835322028762573,529.2540126724138
2048,1536,235.75857350467524,1809274,145427,68481024,47309552,0.7682438407834797,0.41898495137578473,1,2048,0,1,1,390.0505994,0.6816541559708004,0.12961977522465898,529.2540126724138
2048,2048,276.92495599183985,1762325,121213,68481024,47321160,0.6007689426183644,0.35463662806511737,1,2048,0,1,1,444.4193753999999,0.6911169554280259,0.1263422676764001,529.2540126724138
2048,256,379.4012159986199,1845369,135239,49864704,47046816,0.7451076348735282,0.3048613123377643,0.846469840233947,2048,0,1,1,625.24851745,0.8656314329507456,0.0799546996387511,529.2540126724138
2048,512,390.969666620898,1689583,156142,50913280,46842416,0.7544176900674764,0.38566164066700925,0.9112809277044481,2048,0,1,1,580.7803022999999,0.8924112769888474,0.07132265019820039,529.2540126724138
256,1024,258.18568278535776,1561030,142583,57602048,49177096,0.6816385594817029,0.35071762074429225,1,256,0,1,1,401.1984995,0.7323585348781267,0.10566439654363713,529.2540126724138
256,128,848.3704930441614,2033085,194828,51437568,46883512,0.63986054194819,0.24643019839131394,0.5887505580836457,256,0,1,1,898.9443923333333,0.8909039939670562,0.0698025952404583,529.2540126724138
256,1536,271.0582658947582,1727047,187782,65073152,47597304,0.6597032336214551,0.3082797275330687,1,256,0,1,1,434.16728720000003,0.6674547453236317,0.134402093825596,529.2540126724138
256,2048,311.0208151787657,1734649,94671,68481024,47514520,0.7634750495767739,0.33453118949113725,1,256,0,1,1,390.25905785,0.6754397037568153,0.1315688644939216,529.2540126724138
256,256,397.4346533426888,1827504,133002,50126848,46949976,0.7355545610797412,0.2560701898632981,0.8827407411084174,256,0,1,1,599.5577048,0.8712521710097036,0.07925485579930279,529.2540126724138
256,512,366.34050179457626,1946814,150162,51175424,47471528,0.7094227719028243,0.34574688665899034,0.8674471903630182,256,0,1,1,610.1282228499998,0.8947371646215467,0.06597784648195444,529.2540126724138
512,1024,311.4256693530956,1769435,124956,58126336,47079424,0.6856036966528886,0.39154644139793254,1,512,0,1,1,422.78858405,0.7487315670277388,0.10664782628386267,529.2540126724138
512,128,434.288935063168,1882147,134971,51175424,46809000,0.735651186853492,0.29711358627460954,0.7660772104291068,512,0,1,1,690.862494625,0.8706091319819771,0.07880571133108322,529.2540126724138
512,1536,283.23583242226385,1640916,118251,64024576,49047208,0.5901943604231814,0.2389909083672054,1,512,0,1,1,461.2640842000002,0.6627868599044555,0.1196536392098247,529.2540126724138
512,2048,249.53026966118838,1557432,161531,67694592,47165720,0.6197466538710373,0.4351515424574256,1,512,0,1,1,449.26600270000006,0.7150471743627175,0.14211388718040865,529.2540126724138
