cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,197.98756039639375,34545,3,43438080,35948400,1.2219124196767335,0.522657547521381,1,1024,0,1,1,81.59294939999998,0.8155727505443995,0.05123330535875479,162.25848633333322
1024,128,380.4563460520117,133347,2275,37273600,34859712,1.0406016460490595,0.15113928855310757,0.8762663227106906,1024,0,1,1,185.17028684999997,0.9360064256934347,0.01063186793676803,162.25848633333322
1024,1536,189.07024960889188,1354034,126361,52482048,39230416,1.089259943925201,0.16955836062254995,1,1024,0,1,1,95.34993979999999,0.7549973448615322,0.03732828216249135,162.25848633333322
1024,2048,185.60698289723658,1310847,101998,51695616,35617504,1.1840451817196382,0.2600211871624164,1,1024,0,1,1,83.80521824999998,0.718383718701308,0.04972307047364527,162.25848633333322
1024,256,540.9654216853291,1781068,109172,36225024,33087808,0.915998358499176,0.17231982752566757,0.5209650934846073,1024,0,1,1,311.4575014,0.925335472286984,0.012098182001489724,162.25848633333322
1024,512,549.1708121691573,1732323,121115,35962880,32891728,0.8577302453543251,0.18181514013180486,0.5665531165227026,1024,0,1,1,286.39589405,0.9318327700397374,0.00913685853642455,162.25848633333322
128,1024,331.13731325574037,1440983,110809,42651648,36409736,1.009977482504503,0.23135287956629927,0.9108184680655902,128,0,1,1,178.14580185000005,0.8306541704175086,0.03478288337712185,162.25848633333322
128,128,990.8798785921165,1808043,199658,35700736,33161704,0.7298749159456656,0.29405711298051174,0.28512866191978414,128,0,1,1,569.0711177222223,0.9276564077918406,0.011655268201085985,162.25848633333322
128,1536,199.78579728457703,1389516,138652,53006336,35209088,1.1299885093920907,0.3357651526599122,1,128,0,1,1,76.89585439999999,0.7457519744462952,0.03933957344060431,162.25848633333322
128,2048,207.34293211490046,1440046,117469,52482048,41277680,1.106813934650443,0.2577180927418451,1,128,0,1,1,93.98260005,0.7398228499392216,0.06625476817705417,162.25848633333322
128,256,548.7788305496462,1606361,152954,36225024,33415704,0.8995681992141525,0.21360618053107155,0.5318997883810207,128,0,1,1,305.0546171999999,0.930365963347476,0.010402308991701503,162.25848633333322
128,512,560.7312887116666,1706106,166948,35962880,33302432,0.8878128130109968,0.19725905924695727,0.5109880781887253,128,0,1,1,317.5386927,0.9257679317563181,0.010627848688657232,162.25848633333322
1536,1024,346.1856996038475,1476043,121625,43438080,37213304,1.0501575007347,0.18260631085775958,1,1536,0,1,1,159.98738005,0.8506352453689402,0.028200305581678523,162.25848633333322
1536,128,1047.2495316588806,1715087,215473,35962880,32477160,0.8731944641207388,0.2524156187252768,0.2742638380409039,1536,0,1,1,591.6145835789474,0.9302518587448646,0.014025728464919686,162.25848633333322
1536,1536,193.6110008989026,94640,7128,53792768,37829280,1.102641858261935,0.1472035966537062,1,1536,0,1,1,84.55106275,0.734269124815929,0.0493069428008024,162.25848633333322
1536,2048,195.5418570496803,1330677,126879,51957760,40617960,1.1025299300889577,0.1888422441254954,1,1536,0,1,1,83.49485839999997,0.7274320979399957,0.07611460087641356,162.25848633333322
1536,256,361.9191267060023,1587771,131664,37011456,32037832,1.0960702871656758,0.19365397017347177,0.9179489448074382,1536,0,1,1,176.76199450000004,0.9228954286929474,0.019591189698499052,162.25848633333322
1536,512,365.48694223973905,1552080,136417,35962880,32369544,0.9821114657640247,0.17930392083276,0.8708219821631743,1536,0,1,1,186.32796330000002,0.9357269811513996,0.013944890723225689,162.25848633333322
2048,1024,192.92578236533672,1317434,121478,43700224,34236520,1.1671301723137175,0.1963029783672438,1,2048,0,1,1,74.77979379999996,0.7846814577571889,0.062264035126686455,162.25848633333322
2048,128,552.1767963477166,1656508,188275,35962880,33312024,0.9076244395485717,0.19950831837119934,0.524463482583972,2048,0,1,1,309.37995060000003,0.9279124422193374,0.009957620879434711,162.25848633333322
2048,1536,189.68905215380363,1374287,129411,52482048,35858472,1.1046043901727438,0.16074252664967908,1,2048,0,1,1,93.30230554999999,0.7518272680834707,0.046817126495240446,162.25848633333322
2048,2048,189.35102355419838,1308345,101766,51695616,41209784,1.1423685962681493,0.17665631411608387,1,2048,0,1,1,86.31458689999998,0.7298246745400838,0.0792366143315614,162.25848633333322
2048,256,390.0403211300575,1625346,149172,35962880,32870784,1.0435414349663827,0.17059050137678888,0.8762902276931338,2048,0,1,1,185.16523544999998,0.9333307345550411,0.01114485207326354,162.25848633333322
