cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,844.0667269743764,1790210,132150,43438080,34602296,0.8057756663097712,0.12909984349663653,1,1024,0,1,1,550.2656532500002,0.8407946603085371,0.03890921903839298,2921.929708820513
1024,128,2343.2174240871946,2272558,156919,37535744,34982584,0.1844473343277954,0.027391377976123104,0.21688304898934366,1024,0,1,1,13472.374731157894,0.9276926596748394,0.008310585109115753,2921.929708820513
1024,1536,598.23565447946,2096141,117058,53792768,40912760,0.878638667273664,0.19605839189502247,1,1024,0,1,1,421.02763375000006,0.7492556716011869,0.04799246366143701,2921.929708820513
1024,2048,379.1146086747548,1661756,125741,53006336,40874168,1.008939779547347,0.15777027686830075,1,1024,0,1,1,258.177718,0.7466979806732753,0.05804249534408736,2921.929708820513
1024,256,3353.137832085263,2085779,137655,37535744,34349752,0.31585811037415507,0.1694025639128185,0.4676840217068759,1024,0,1,1,6247.657762941177,0.9229560403141183,0.02932335534928076,2921.929708820513
1024,512,1951.261956013666,2147605,165943,37273600,34771152,0.49488075063968195,0.11451685285274794,1,1024,0,1,1,2045.3570300000001,0.9045551062580076,0.04985314326490074,2921.929708820513
128,1024,839.0284562476803,1866971,170446,43438080,38386680,0.7342009741510949,0.1678572965167672,1,128,0,1,1,594.11701725,0.8253422585771618,0.03766766878007731,2921.929708820513
128,128,1551.6517330927602,2374764,192973,37797888,35653072,0.17712683555342307,0.020269111811163705,0.20785919789726645,128,0,1,1,14057.254807,0.9332367639950541,0.010452928125624284,2921.929708820513
128,1536,609.2330413817103,1809812,121563,52744192,43236136,0.8587994860642485,0.14408834969353435,1,128,0,1,1,402.4810407,0.7321045302363433,0.05452898083995302,2921.929708820513
128,2048,384.97143016526877,75247,19301,53530624,43353712,1.0352899713831936,0.21268697715105822,1,128,0,1,1,224.42756440000002,0.7402639118341632,0.05666238627881737,2921.929708820513
128,256,2738.0015710484513,2406671,185173,38322176,35636056,0.2282857185238637,0.010990906951284407,0.3095071901168845,128,0,1,1,9440.587495615384,0.925031715501122,0.01095334588138475,2921.929708820513
