cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,437.71233638707224,1558204,101080,42651648,36270344,0.2026215819617862,0.232849448128051,1,1024,0,1,1,757.4442343000001,0.83411440270308,0.02982536205850809,777.5553887916665
1024,128,905.8996558707221,1761905,215389,36225024,32603656,0.2770505484486117,0.25987542923565243,0.7612857485572406,1024,0,1,1,1021.3712659999999,0.9226881823259359,0.01598549458263551,777.5553887916665
1024,1536,254.4590987611417,1343424,88126,51957760,37079928,0.1571131265431715,0.2162780421179627,1,1024,0,1,1,581.1727041500001,0.7262453580947528,0.0471697113408529,777.5553887916665
1024,2048,313.6306481271521,1414594,92577,52219904,36825600,0.13783147407663507,0.18755981919826656,1,1024,0,1,1,722.5411792000001,0.7090113823259372,0.07325094701337764,777.5553887916665
1024,256,312.60129199222416,1594689,144793,36749312,32174784,0.22792165655522417,0.33635932848780414,1,1024,0,1,1,673.62789035,0.9277769597725177,0.016309482294590595,777.5553887916665
1024,512,570.5485240914805,1795272,146110,36487168,33004312,0.2480801835064141,0.2749596530549767,0.860799373592048,1024,0,1,1,903.29455695,0.9326465244578888,0.013016541271864574,777.5553887916665
128,1024,450.7395418541356,1600956,157116,44486656,35869016,0.23797170832790662,0.2731195698555097,1,128,0,1,1,740.3829308500001,0.7860197678315016,0.05519317202942712,777.5553887916665
128,128,811.9484839047207,1838558,176592,36225024,33354328,0.25300383616361816,0.2660499860563945,0.7601638310585673,128,0,1,1,1022.8786967000002,0.9296309222632884,0.011394291367590995,777.5553887916665
128,1536,276.5198263329599,1363976,104285,52219904,34249936,0.14747236878473113,0.23412617971723362,1,128,0,1,1,725.2492327,0.6960788540043904,0.0484909852160646,777.5553887916665
128,2048,287.0160702878073,1302101,96749,51695616,35571072,0.15413526781705567,0.17495289822410695,1,128,0,1,1,689.60445625,0.6892028307620153,0.05751213395682624,777.5553887916665
128,256,446.24835313152516,1583590,101737,35700736,32499712,0.23106360124114186,0.30832774018958126,0.9752402472245384,128,0,1,1,797.2962467499999,0.9303109728658638,0.01398569477609883,777.5553887916665
128,512,546.1756838414464,1935061,95931,36749312,33155488,0.22666143519336365,0.2944584903510708,0.8745997335088351,128,0,1,1,889.04141975,0.9193430938272614,0.016386747718605096,777.5553887916665
1536,1024,446.69789249755127,1622756,97604,43438080,36043112,0.17167429182480318,0.2542484574527347,0.9850808903150065,1536,0,1,1,789.3315122000001,0.8365888274823374,0.027169474187318406,777.5553887916665
1536,128,553.8635302831167,1683570,193559,35962880,33139544,0.24740861233084632,0.2891618544062078,0.8468903585989971,1536,0,1,1,918.1299337,0.9298384238764317,0.009352730769420094,777.5553887916665
1536,1536,309.9458686793573,1392048,128752,52744192,39155912,0.15230728347066005,0.17292625980012094,1,1536,0,1,1,683.2179493499999,0.704730541898346,0.0680026624741931,777.5553887916665
1536,2048,267.44117252703,1373088,65837,51957760,32905824,0.16355613232760596,0.19896912221807542,1,1536,0,1,1,671.5351583500002,0.7347391777273435,0.04811633116262707,777.5553887916665
1536,256,526.6940136821223,1640374,150152,35962880,33145176,0.2916017652849382,0.29421419186736525,1,1536,0,1,1,734.8048668,0.9356428135061732,0.009154995073326396,777.5553887916665
1536,512,514.7309641574592,1805809,98051,36487168,33448760,0.232828614864007,0.3082546180839858,0.8977680231293154,1536,0,1,1,866.0983336000002,0.9271065112968155,0.009031848422373086,777.5553887916665
2048,1024,429.39636127628563,1526125,148590,43700224,33939048,0.18832731724658616,0.2794371903296932,1,2048,0,1,1,745.606766,0.8314121892433268,0.0282138483199215,777.5553887916665
2048,128,532.7354893536843,1676916,158896,36225024,33200152,0.25342994218900017,0.29157833025830254,0.9538843050935197,2048,0,1,1,815.1464330000001,0.9260644921815893,0.013023293083672487,777.5553887916665
2048,1536,276.54237834909156,1503166,99607,53006336,35312976,0.1465871728921883,0.2409188567414666,1,2048,0,1,1,696.0965980999998,0.6909282774061533,0.03739724324269219,777.5553887916665
2048,2048,267.4139564643255,1465898,119485,52482048,41087816,0.16406970164366924,0.22929632357635252,1,2048,0,1,1,686.5527974500001,0.7059268972270747,0.06561012731986544,777.5553887916665
2048,256,522.1389244619251,1674777,133053,35700736,32649320,0.23103650124299618,0.3031549810268553,0.8785513950754027,2048,0,1,1,885.0425748,0.9313459637811838,0.012469584568615216,777.5553887916665
2048,512,626.6675845047964,1842858,135083,36487168,32877848,0.2532779923404024,0.27701469757557856,0.894372249921023,2048,0,1,1,869.38675575,0.932660447533423,0.011187022667344747,777.5553887916665
256,1024,418.83321998026156,1606628,85044,43700224,35125848,0.17730016514050023,0.26210394157447087,1,256,0,1,1,768.18206605,0.8288010781772004,0.02242249846646802,777.5553887916665
256,128,687.9976642021993,1680270,197246,35962880,32783648,0.25599129102699747,0.285486497751533,0.9386090267402034,256,0,1,1,828.4124343999998,0.9267947681402186,0.011330638758880142,777.5553887916665
256,1536,291.8918997015552,1369907,143748,53268480,38428400,0.1607754234220618,0.22260521074895948,1,256,0,1,1,672.9194634,0.6921984299714005,0.047590278893260694,777.5553887916665
256,2048,235.59706930864596,1310075,126238,52482048,40512016,0.1556806103155272,0.21910611839814892,1,256,0,1,1,712.9280114999998,0.6924802355570152,0.06944064938724072,777.5553887916665
256,256,630.7602950764283,1860179,142989,36225024,33287120,0.21737700014438635,0.26317246874135025,0.8414333968516996,256,0,1,1,924.08429675,0.9294512059666158,0.009453154302864652,777.5553887916665
256,512,636.3259532454371,2050115,127983,36487168,33452000,0.2552511385975898,0.26460601331053696,0.8715885017086209,256,0,1,1,892.11294925,0.9305242201995583,0.010204281975284902,777.5553887916665
512,1024,468.08575963952035,1589213,150889,44224512,36488792,0.1982330580754741,0.23730612882691618,1,512,0,1,1,704.5779476499999,0.8181065603373232,0.04810920068057904,777.5553887916665
512,128,599.9563135134139,1648189,103183,36225024,33386200,0.2804902034977936,0.3112151339601643,0.8427604950480468,512,0,1,1,922.62913765,0.9280971472018125,0.00869614240916596,777.5553887916665
512,1536,311.1175362100663,1377597,102251,52219904,40108480,0.15057905568011606,0.18864700491264003,1,512,0,1,1,675.1837561000001,0.6832682092442807,0.057154333438513776,777.5553887916665
512,2048,288.998731623053,1583680,129518,51695616,39718824,0.1377287312076036,0.23869800417840606,1,512,0,1,1,611.6438817999999,0.722140081186832,0.037871990462086336,777.5553887916665
512,256,420.10284871214054,1498536,141938,36749312,31733576,0.18185770164953322,0.2674091357545135,1,512,0,1,1,743.9228314000001,0.9288163083658982,0.018621829589368654,777.5553887916665
512,512,550.349498681275,1772445,168794,36487168,33479888,0.21294238991402376,0.2837888376917599,0.7718630698890568,512,0,1,1,1007.3747781499999,0.9338466651169057,0.010260004506492384,777.5553887916665
