cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,318.13248024537705,1467748,107294,49078272,40776392,1.1418083448507095,0.2546848913327765,1,1024,0,1,1,260.40594789999994,0.8478277199642811,0.024856880071125027,318.49826805042034
1024,128,1181.4960359985528,1847831,235297,53178368,49714432,0.9187940585194972,0.26953942031349387,0.33817522697273555,1024,0,1,1,941.8143100000001,0.9114018506509066,0.02302713887964518,318.49826805042034
1024,1536,200.8439932089156,1565234,97896,69091328,49233480,1.2556921840709934,0.27537542081205824,1,1024,0,1,1,143.676672,0.7414905863082913,0.04821130327515304,318.49826805042034
1024,2048,191.3365259034762,1374033,107682,71770112,53852048,1.17755555220571,0.24886042189145058,1,1024,0,1,1,146.41315245000004,0.7529215497854335,0.05407381137128611,318.49826805042034
1024,256,330.9452062117255,1740773,110302,53178368,50046240,1.2773761491285711,0.2113574339647439,1,1024,0,1,1,269.32167899999996,0.9132487178562828,0.021367320266049254,318.49826805042034
1024,512,538.3778467372678,1860333,193066,53710848,49247544,1.0075509447066542,0.14407925963180415,0.687114368077434,1024,0,1,1,463.53021105,0.9139582839027337,0.022034968488236974,318.49826805042034
128,1024,330.74031106736635,1628911,133068,64950272,53664664,1.012107189295837,0.21591023164286877,1,128,0,1,1,276.09959985000006,0.8432472387432839,0.026900440756603416,318.49826805042034
128,128,688.2308298092723,1723033,192171,43524096,40255088,0.8788756134779083,0.25029981280235436,0.5398237018980445,128,0,1,1,590.004230882353,0.9203972412415816,0.017747979284995632,318.49826805042034
128,1536,189.4405071899261,1330140,160781,60375040,47575720,1.16241675028045,0.21104176851025624,1,128,0,1,1,141.4011853,0.7494790115946548,0.03169630145370945,318.49826805042034
128,2048,191.7304609996374,1398537,120141,72294400,53908312,1.1998304517159977,0.24670135985794814,1,128,0,1,1,154.06607835000005,0.74356925362631,0.05317620330214116,318.49826805042034
128,256,371.7629679106213,1900617,126798,62709760,59296744,1.3426342868873298,0.2523280940645386,1,128,0,1,1,284.77729740000007,0.920217494576816,0.021636264524368364,318.49826805042034
128,512,495.5781673505904,1744233,173305,53178368,49604024,1.0158432499486172,0.20088571928175547,0.7173108683029354,128,0,1,1,444.01706724999997,0.9251577129843589,0.02042757983551339,318.49826805042034
1536,1024,373.2677620666106,1589563,155835,67260416,57503840,1.122428825927552,0.25580201344646747,1,1536,0,1,1,253.69524659999996,0.8435645046137579,0.026542954949829584,318.49826805042034
1536,128,1090.935372326431,1812142,238250,43397120,40057976,0.808140594613965,0.10930644887020691,0.3354190565355914,1536,0,1,1,949.5532881764707,0.923106800646848,0.01711287788138925,318.49826805042034
1536,1536,213.54011960703616,1627813,113786,73080832,55007792,1.2149638344178637,0.27823538256387353,1,1536,0,1,1,150.88407630000003,0.7436013451883061,0.0387266656535169,318.49826805042034
1536,2048,204.03183140002437,1497095,111796,60899328,47511280,1.1822492136306029,0.2508905052572853,1,1536,0,1,1,142.42787405,0.7680164867471645,0.04058443861881024,318.49826805042034
1536,256,312.8925166727944,1627765,123934,43397120,39970960,1.258024431571431,0.270228242137674,1,1536,0,1,1,245.31753105,0.9298719619805681,0.011259171513608996,318.49826805042034
1536,512,527.0448061905986,1918241,155829,53972992,49967248,1.0091773127749901,0.1943779883067128,0.6670448633702072,1536,0,1,1,477.47653199999996,0.9170571205785825,0.01988531349556982,318.49826805042034
2048,1024,313.08900968358006,1437292,153562,49340416,41247232,1.172742876956979,0.20561310049880582,1,2048,0,1,1,224.90924610000002,0.8457372318149654,0.02431911265932373,318.49826805042034
2048,128,726.2762707568226,1834021,136584,43659264,40513496,0.9990505887518776,0.12058676295361326,0.5982330000232225,2048,0,1,1,532.3983599,0.9254239889112338,0.01391179104132731,318.49826805042034
2048,1536,213.51391906983017,1545058,149232,87773184,69674512,1.1692808154057177,0.2324685449912847,1,2048,0,1,1,143.8776816,0.750578267322217,0.044098726840846286,318.49826805042034
2048,2048,177.60013869485113,1304383,99327,59588608,47356616,1.1936667364365676,0.25682609875993284,1,2048,0,1,1,143.20992884999998,0.7522877404659292,0.03574049042710651,318.49826805042034
2048,256,513.5579944408559,1838582,155383,62971904,57978328,1.0243083428629163,0.1838201307237573,0.6809647935326996,2048,0,1,1,467.71620365,0.9187853581073545,0.01748458600050812,318.49826805042034
2048,512,540.305162526021,1665760,190255,40079360,36090136,1.0841344859755626,0.18019891963294293,0.7663976183209079,2048,0,1,1,415.5783635499999,0.9086105109033632,0.022467733896082486,318.49826805042034
256,1024,346.9502289908143,1615025,126310,55300096,43281912,1.0467327933855508,0.22529935829193243,1,256,0,1,1,270.0115233,0.8316003615704313,0.025586402562949903,318.49826805042034
256,128,640.5188323554298,1910161,171195,53886976,50696232,1.085709864141302,0.31674160039105825,0.7156578870629796,256,0,1,1,445.042629736842,0.9300723854593143,0.013626819118150968,318.49826805042034
256,1536,189.90643615561618,1366147,137511,74960896,56996016,1.1610684969351772,0.2480841256498801,1,256,0,1,1,146.5579812,0.7463367184207035,0.04475854775666918,318.49826805042034
256,2048,208.1839731824171,1459838,148896,59928576,45961480,1.1661170431192551,0.25202533797498133,1,256,0,1,1,143.78876389999996,0.7497297065203019,0.05537280368129711,318.49826805042034
256,256,532.5083648272719,1817485,133209,42921984,38422920,1.1042705360887572,0.12254517699598673,0.7422736491965226,256,0,1,1,429.08470265000005,0.9266786512048594,0.015483561627331235,318.49826805042034
256,512,572.4012881496508,2146922,135741,66981888,62522672,0.946296961857635,0.1709667319282323,0.659647204164627,256,0,1,1,482.8312256000001,0.9275946348433584,0.015401152805098914,318.49826805042034
512,1024,352.1810674965124,1730483,148445,61186048,50198264,1.1412927140530609,0.2600784838371112,1,512,0,1,1,256.79402355,0.8417434526325515,0.034747591466632144,318.49826805042034
512,128,697.2238092875845,1828627,203046,52916224,49737824,0.9781148636476804,0.20393141949557198,0.6032845618667266,512,0,1,1,527.9403587999998,0.9241405429085425,0.018438259369035277,318.49826805042034
512,1536,215.82034641804822,1683779,140476,86102016,67956552,1.2179204981937337,0.24402166367257977,1,512,0,1,1,162.28598555,0.7511450682899623,0.04430429193005229,318.49826805042034
512,2048,208.74545178961216,1522794,110312,84779008,66957728,1.0363403044637702,0.17750187359146052,1,512,0,1,1,147.21461055,0.7494373968217541,0.03670150009360584,318.49826805042034
512,256,304.7109227736704,1530359,108429,43134976,39959440,1.3143155375384412,0.20154552573123763,1,512,0,1,1,269.2312666,0.9190703251166072,0.019943025816011813,318.49826805042034
512,512,448.4899389052282,1969955,159822,54497280,49274376,1.110067170390869,0.27469741090385547,0.7896246829519921,512,0,1,1,403.353992,0.9184167861577743,0.014518337806383801,318.49826805042034
