cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,21.405257987238933,20488,1021,33902592,28380976,0.53573356452493,0.1601175594619664,1,1024,0,1,1,33.9213224,0.6699542358533849,0.07835733466803345,47.88610361344541
1024,128,32.334957559532654,21351,3393,28258304,24899824,0.39583247506441893,0.16127278596727715,0.6583768305753153,1024,0,1,1,72.7335796,0.8782400997246143,0.0095683295346752,47.88610361344541
1024,1536,21.900615667113826,66450,6570,34836480,14842384,0.8756903641676704,0.265968272428865,1,1024,0,1,1,23.32989285,0.5381917997631701,0.07110656798246745,47.88610361344541
1024,2048,11.219715664364752,63711,6986,34312192,14981416,0.9317515958131597,0.3192752236087436,1,1024,0,1,1,17.516093249999994,0.5326590053722736,0.060754701305205834,47.88610361344541
1024,256,48.964547714033316,18029,4427,27996160,24478528,0.38913056339849234,0.3072227573012134,0.6056502082157812,1024,0,1,1,79.06561075,0.877728588775193,0.011403709521912296,47.88610361344541
1024,512,34.212066750406514,27046,38,28258304,24919808,0.4590182027980793,0.25738856897884577,0.8174665230944824,1024,0,1,1,58.57867235000001,0.8792827805838179,0.012089447375039914,47.88610361344541
128,1024,42.85099950262327,16974,4181,33902592,28290400,0.6743685355129762,0.22530171903870314,1,128,0,1,1,44.28611639999998,0.6802012584195938,0.07825657099142132,47.88610361344541
128,128,70.1870162677652,21083,5917,27734016,24473128,0.3314170353167795,0.21886256724576522,0.4143187092128705,128,0,1,1,115.57794168749997,0.8762830658085377,0.010607576980861086,47.88610361344541
128,1536,9.88537279341152,8428,7994,41897984,29578880,0.8923265255012117,0.17440082467244028,1,128,0,1,1,20.32765305,0.5429219018533499,0.07394441555700033,47.88610361344541
128,2048,17.060034938805114,37091,4980,34312192,15154472,0.9422313372398927,0.214258952293371,1,128,0,1,1,19.2814691,0.5373099419888318,0.05801775404051672,47.88610361344541
128,256,82.28257195016538,18275,5532,27996160,24900624,0.29045141692824894,0.18614696962723215,0.3557837599337108,128,0,1,1,134.59328110526317,0.8769575476709804,0.012295980484314566,47.88610361344541
128,512,47.24283981144384,22296,4458,27996160,24507168,0.5157393461272044,0.2976825300142299,0.7439998195711186,128,0,1,1,64.36305809999998,0.8812607355455737,0.013606135136855733,47.88610361344541
1536,1024,27.604868565593133,17778,4375,25792512,15053984,0.6620530000326935,0.22437965873253654,1,1536,0,1,1,30.882655300000003,0.6652625375606547,0.061280125233600644,47.88610361344541
1536,128,53.71117760758411,18241,4429,27996160,24844208,0.3746457577905228,0.2032756387314312,0.5447126463780283,1536,0,1,1,87.91076163157895,0.8760953756765674,0.010522292417402462,47.88610361344541
1536,1536,21.46409291020571,43456,14331,42160128,28831680,0.8597561582782115,0.27209724384397366,1,1536,0,1,1,25.194714550000004,0.5371252413770693,0.07742591504627444,47.88610361344541
1536,2048,15.651139991360985,47631,6241,42946560,28079592,1.0223667651251949,0.38489827856148967,1,1536,0,1,1,17.621499949999997,0.5441326478287845,0.05604035829526183,47.88610361344541
1536,256,43.784928561606804,21885,2868,27996160,24883896,0.4249614742787089,0.31006474564332603,0.7210781057393749,1536,0,1,1,66.4090384,0.8793391637518171,0.012812048184301043,47.88610361344541
1536,512,34.3372248383361,19022,6804,27996160,24264072,0.49784548919041915,0.3032175410440429,1,1536,0,1,1,43.95367259999998,0.8782174855729469,0.009406422471684103,47.88610361344541
2048,1024,35.585055927062065,20841,4170,25792512,15028128,0.6902738488825367,0.23010336899376255,1,2048,0,1,1,31.714916649999992,0.6520071924897983,0.07028307082628045,47.88610361344541
2048,128,152.03656024190727,25684,4648,27996160,24548840,0.36233191251495817,0.25725113649472053,0.38603115886365935,2048,0,1,1,124.04724985000003,0.8744073236931087,0.012700646994944156,47.88610361344541
2048,1536,22.465039991190707,17543,4316,42422272,28407208,0.7575088431722038,0.27662411449407437,1,2048,0,1,1,26.192652099999997,0.5605037532768066,0.09242468432327268,47.88610361344541
2048,2048,10.278035320255368,32520,8171,34312192,15196200,0.9299203567339527,0.25717410350151554,1,2048,0,1,1,13.976778400000004,0.5400552640627658,0.05659215508397202,47.88610361344541
2048,256,28.716858329213824,25607,438,28258304,24774304,0.6154351866876352,0.2824440438181348,1,2048,0,1,1,43.84955831578947,0.8775872653660777,0.010642142953967792,47.88610361344541
2048,512,50.17773577698898,27173,0,27996160,24918272,0.5649348163807498,0.34787901544450434,1,2048,0,1,1,47.33363909999999,0.8837828952467129,0.012488510860483368,47.88610361344541
256,1024,18.90274180689636,24661,24,33902592,28354032,0.637299976521756,0.20538275101972608,1,256,0,1,1,31.422624300000006,0.6580595291694692,0.06017158035473014,47.88610361344541
256,128,68.26724272794121,21624,1149,27996160,24859368,0.3198152847921081,0.21543539465397543,0.4027939803527291,256,0,1,1,118.88485416666668,0.8775781866211818,0.010199108261827893,47.88610361344541
256,1536,20.143790988299983,11446,11893,42684416,28120328,0.8101017351564049,0.3369875090389968,1,256,0,1,1,28.9473056,0.545291731536252,0.07177777054770992,47.88610361344541
256,2048,18.897623663290112,9351,7422,42422272,28067000,0.857513329130431,0.17929673007411928,1,256,0,1,1,24.252250650000004,0.5371949903234954,0.061030135593782425,47.88610361344541
256,256,57.20963220275299,12381,13362,27996160,24833832,0.2968285571152065,0.21468654292620357,0.3906464453613746,256,0,1,1,122.5816955,0.8806684659581339,0.009142824156637093,47.88610361344541
256,512,53.932975980783986,21558,3515,27996160,24288520,0.43569876109166816,0.2934931519170524,0.5466258478255218,256,0,1,1,87.60307220000001,0.8780911724535363,0.014016089362889648,47.88610361344541
512,1024,56.46751098180846,14620,7707,25792512,15048568,0.5348928555456315,0.19961210083162453,0.8158685363446887,512,0,1,1,58.69340645,0.658343244440483,0.07758740848829743,47.88610361344541
512,128,89.82890042417438,25402,139,27996160,24893416,0.2863166765215717,0.23358624820213697,0.34753980899065456,512,0,1,1,137.7859525,0.8794176374992502,0.007746884908582122,47.88610361344541
512,1536,15.097992733806507,16788,169,42160128,28916904,0.7333337889469305,0.23422879384216197,1,512,0,1,1,23.265477800000003,0.5693885622363595,0.0808353886607554,47.88610361344541
