cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,83.7088405282107,102950,41837,49811456,38799312,0.6867024969209636,0.11759024461307528,1,1024,0,1,1,178.90006115,0.7640428199183678,0.044535073216368945,237.15816765765763
1024,128,227.81323260804285,50150,4942,35557376,31559896,0.5935721872671504,0.3154870126241891,0.7333566570474994,1024,0,1,1,323.387216,0.8876361859722228,0.026906274077338546,237.15816765765763
1024,1536,43.17589372812897,26345,24374,48111616,30922608,0.8463518996607217,0.1495543327592203,1,1024,0,1,1,113.95593935000002,0.6480618086808737,0.047362681730752684,237.15816765765763
1024,2048,35.829587981923886,33677,574,50315264,40342328,1.0152509205292055,0.12052990223351757,1,1024,0,1,1,78.3319216,0.6784908851414342,0.07529009602459984,237.15816765765763
1024,256,285.24593672165634,138004,22949,36327424,32618120,0.3416904183491166,0.18162628178698415,0.47554634815886065,1024,0,1,1,498.70673715789474,0.892944714078207,0.02125213027427674,237.15816765765763
1024,512,166.1865060402917,33666,18490,35692544,31693840,0.5811104455059748,0.24520423249764492,0.9074506415000541,1024,0,1,1,261.34552868421054,0.8782169679374285,0.02676630018229572,237.15816765765763
128,1024,73.54016415867765,94435,33917,39690240,28287984,0.7829989867736613,0.1517790932520269,1,128,0,1,1,158.78114730000004,0.7708300137850681,0.04484019597748213,237.15816765765763
128,128,428.8336686829164,104588,18734,27058176,23375312,0.3108594324659967,0.12189490986473939,0.3810001000704834,128,0,1,1,622.4622188124999,0.8805233621101296,0.02979219188896132,237.15816765765763
128,1536,35.366298996448855,155356,34951,71938048,51967592,0.9473376002367955,0.16296142350026357,1,128,0,1,1,105.27589029999999,0.6531544501477625,0.046458110325141924,237.15816765765763
128,2048,33.058296322931874,108682,16113,49070080,29198864,0.9694006441209744,0.1508955842800351,1,128,0,1,1,87.81508575,0.6572397793664353,0.06418221381478623,237.15816765765763
128,256,284.3930839149746,104278,23332,27058176,22980808,0.32877192390242127,0.14783759031019522,0.5343841185899041,128,0,1,1,443.79718522222225,0.8814832906090567,0.026182905911588707,237.15816765765763
128,512,186.38789048338143,102293,20617,27058176,23376856,0.5200587736580653,0.17852559891726155,0.7719857643333864,128,0,1,1,307.2053639,0.887198633048196,0.0253286772328192,237.15816765765763
1536,1024,65.65224391805616,172577,40213,61444096,49773840,0.7159087326761683,0.1507103597598949,1,1536,0,1,1,187.73053199999998,0.7667759972764897,0.05056091855460395,237.15816765765763
1536,128,170.26651349282426,123232,31572,31948800,28364776,0.530540447947452,0.25349347783876275,0.7610553228974437,1536,0,1,1,311.6175138947369,0.8854314136602768,0.02826677790573107,237.15816765765763
1536,1536,38.63594371023347,130034,26364,51798016,35241912,0.8236482452162868,0.17030640366355707,1,1536,0,1,1,124.37674055000002,0.6609771946979912,0.04964249424338333,237.15816765765763
1536,2048,45.76519469533804,59805,34083,54386688,34574264,0.9922577868477995,0.15930484002917183,1,1536,0,1,1,91.04264320000001,0.6548212749207281,0.046859805048084985,237.15816765765763
1536,256,273.309999999589,31767,13262,35430400,31743008,0.45864390443173725,0.2614546519239867,0.6016954694427391,1536,0,1,1,394.1498311052631,0.8904834861364016,0.021098104723330843,237.15816765765763
1536,512,212.58055347887333,28242,16252,35430400,31750312,0.5232953552103558,0.16935827404804077,0.619632208369955,1536,0,1,1,382.74021985,0.8956341131726336,0.01592882326931531,237.15816765765763
2048,1024,65.77320958126795,138795,32702,51122176,39955096,0.7509650215083331,0.18439160851831585,1,2048,0,1,1,158.31500963157896,0.7511926334474555,0.04119397231130786,237.15816765765763
2048,128,158.45767565514592,213823,59604,37212160,33553144,0.5119897825422102,0.18464945593656154,0.8170807822910632,2048,0,1,1,290.25057595,0.8965012032663315,0.016329346827071635,237.15816765765763
2048,1536,73.48838131409461,33692,16386,47587328,30786048,0.7790807575998593,0.1577467004383417,1,2048,0,1,1,129.2173987,0.6588399859240488,0.05871552256051595,237.15816765765763
2048,2048,28.89830190016991,76820,20186,54386688,34568064,1.0476681893009732,0.14368505273608995,1,2048,0,1,1,77.3717703,0.6735879258946051,0.06538859157205673,237.15816765765763
2048,256,190.10345743782742,118550,23804,36589568,33001536,0.5128583752311815,0.21708187631330622,0.753712585508942,2048,0,1,1,314.6533204000001,0.8896068991690343,0.01745811872353035,237.15816765765763
2048,512,207.3025142816923,178404,48749,37212160,32947520,0.42331117025448106,0.11929462701148914,0.5742167367668346,2048,0,1,1,413.0115903499999,0.8931771443198713,0.016740807772890467,237.15816765765763
256,1024,53.144681031294475,36568,12122,41414656,33421000,0.749664278422381,0.1719092949012381,1,256,0,1,1,164.64445444999998,0.7803254151231502,0.03494164584605634,237.15816765765763
256,128,251.07031351899448,161801,47980,37998592,32826976,0.43682638755669856,0.25934437227238216,0.6556679196653845,256,0,1,1,361.70469919999994,0.8926926876357332,0.020937116860549637,237.15816765765763
256,1536,37.044097878427515,129518,29197,52322304,32655808,0.9895900373880864,0.13613036009918053,1,256,0,1,1,94.90784740000001,0.655398884428732,0.04784805379522285,237.15816765765763
256,2048,33.60951064477562,87367,13344,54386688,34562992,1.0370971931090351,0.12249564223780623,1,256,0,1,1,97.52475235,0.6797126001083476,0.05332497172802152,237.15816765765763
256,256,211.8569898338848,80583,38708,27058176,23051744,0.37059010417258864,0.2535763127612476,0.5328620039957634,256,0,1,1,445.064887117647,0.8837049416783305,0.024036999133040447,237.15816765765763
256,512,191.5423925883019,92916,35285,27582464,22986976,0.46902276995305203,0.2924015733632535,0.7277913603852805,256,0,1,1,325.86010300000004,0.8857542754096109,0.026412466780029224,237.15816765765763
512,1024,51.902451376697265,126307,29411,48959488,37377752,0.7838198000909277,0.13080405086861213,1,512,0,1,1,120.90737350000002,0.7437707534570317,0.05239045537895176,237.15816765765763
512,128,283.40430646473374,43926,1247,35430400,31759480,0.4530831393604948,0.2771315979130448,0.5330236565973182,512,0,1,1,444.9299101875,0.895243445830567,0.0231036016511018,237.15816765765763
512,1536,40.03720422223067,96727,33029,64331776,46352816,0.8598258380772281,0.2895823760288201,1,512,0,1,1,97.90716164999999,0.6646794347301492,0.06241230892894944,237.15816765765763
512,2048,31.38251491291703,45678,2551,42205184,27251824,1.0489816369035716,0.14283734918977864,1,512,0,1,1,70.0907782,0.6678869602135515,0.05271967658978896,237.15816765765763
512,256,350.3082846786672,225001,41675,37736448,33152960,0.5500826083147965,0.33226545996218526,0.5545118129910732,512,0,1,1,427.68821529411764,0.8977532997269355,0.020514198918057742,237.15816765765763
512,512,201.50354997041578,30559,4432,35295232,31591784,0.5087912988947426,0.21893414219776908,0.8868092951854221,512,0,1,1,267.4285993,0.8894983585180594,0.023778893354515725,237.15816765765763
