cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,91.69489285474717,266948,37357,37859328,30779552,0.8607476354218555,0.16015975841032415,1,1024,0,1,1,256.607,0.7611591992381281,0.11131527482966473,394.1874229252334
1024,128,616.9970895963429,330012,72131,33267712,30673960,0.3990754412914883,0.2763701181954056,0.3172862028393674,1024,0,1,1,1242.37177475,0.922188079202045,0.004886247601521773,394.1874229252334
1024,1536,94.65443502885901,345937,44643,50311168,30394568,1.0905253941231599,0.17233623880803126,1,1024,0,1,1,171.05721320000004,0.690009558359482,0.1491755524790936,394.1874229252334
1024,2048,46.887295158445546,180966,27370,110632960,95641056,1.3239911664367245,0.20206638928905635,1,1024,0,1,1,112.7555554,0.7318738362087027,0.0964557435260822,394.1874229252334
1024,256,301.02265574474984,311873,37610,32743424,30285944,0.6082845342417875,0.2851377447560365,0.6492251915134896,1024,0,1,1,607.1659388421052,0.9250208533297165,0.013119710764127834,394.1874229252334
1024,512,147.82287340635887,350227,44890,33005568,30213832,0.5716130183843436,0.19727639287345378,0.7967783197836248,1024,0,1,1,494.72659224999995,0.899371305553327,0.056850663686122994,394.1874229252334
128,1024,87.34759935485083,236316,34560,38121472,30570064,0.8159501925224577,0.1532097047020114,1,128,0,1,1,256.63764734999995,0.781220559261359,0.09955477956313011,394.1874229252334
128,128,1438.638771943579,267418,58964,33005568,29897912,0.1613516004617035,0.10639576252839834,0.12806106657690675,128,0,1,1,3078.120723666667,0.9157353804326185,0.00842136849238046,394.1874229252334
128,1536,50.40995762999273,251659,42420,73134080,55742088,1.4049137103153033,0.2854045703288319,1,128,0,1,1,109.86235089999998,0.7323120829133913,0.12775405413061974,394.1874229252334
128,2048,30.498550832115214,236763,55070,51097600,30573368,1.6533340531474867,0.269750519374118,1,128,0,1,1,81.07655604999998,0.6987105686997857,0.11547042638743103,394.1874229252334
128,256,604.2561722212264,270466,40524,32743424,30137320,0.3854652394143303,0.22457644233626517,0.36435764639522566,128,0,1,1,1081.8694950555555,0.9064623645477123,0.0521196253796523,394.1874229252334
128,512,171.88332359621432,269890,48329,32481280,30162688,0.4344706797866401,0.07266971571107483,0.6033426115911829,128,0,1,1,653.3392724999999,0.8954952919429161,0.06287108524608238,394.1874229252334
1536,1024,119.76098807931967,259236,39154,37597184,30773704,0.8187367705293418,0.15675313347610995,1,1536,0,1,1,269.58077375,0.7656418673698362,0.10837657923228097,394.1874229252334
1536,128,427.901061860378,334992,87208,33005568,30513776,0.5261138550081785,0.24617234929231271,0.4218837061102014,1536,0,1,1,934.3509057499999,0.9158541599340291,0.008949985838032566,394.1874229252334
