cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,116.4553825686006,333979,42087,37597184,30873680,0.807562905855191,0.14472920203647205,0.7792197595781901,1024,0,1,1,314.94674735,0.8001351770310864,0.08128202773821037,245.41272874999999
1024,128,191.66941364936557,327024,40234,33005568,30225240,0.9218913200256701,0.3316372809118706,0.6874716845703476,1024,0,1,1,356.9786716428572,0.8847256458150591,0.04984669290381297,245.41272874999999
1024,1536,59.62179844935277,307340,53344,72716288,55528080,1.3609386856642247,0.2184868360656005,1.0,1024,0,1,1,160.98773779999993,0.7010929760662604,0.13911211749406635,245.41272874999999
1024,2048,34.85976810745633,255520,58969,50573312,30564888,1.608497401501306,0.3003319557990405,1.0,1024,0,1,1,112.99281715000002,0.6994982512310814,0.12324221612806285,245.41272874999999
1024,256,62.05813666379094,340309,32630,32743424,29741384,0.9718074781645598,0.16176835855097246,0.9595288240530339,1024,0,1,1,255.7637901,0.8782836657446816,0.0604803533752948,245.41272874999999
1024,512,84.93917330451549,264304,37896,33267712,29856632,1.0856110786718993,0.11650938275023402,0.9643781885812767,1024,0,1,1,254.47768485,0.9002708644172792,0.049355820905791985,245.41272874999999
128,1024,78.47423326912417,303886,23727,37597184,30549888,1.0656955195271274,0.20330545623390162,1.0,128,0,1,1,224.620113,0.7925637002739379,0.0662880856483705,245.41272874999999
128,128,483.0939530949105,307939,31842,32743424,29909184,0.6836666512541771,0.3533587374971768,0.403253118677275,128,0,1,1,608.5823453888889,0.8770589588168931,0.06315623004726255,245.41272874999999
128,1536,58.31104913569158,338628,32563,50049024,30479272,1.2857692790029325,0.2630746336457703,1.0,128,0,1,1,154.17841199999998,0.7264651135614248,0.12884733598724396,245.41272874999999
128,2048,33.83894476357492,275459,49947,50311168,31046904,1.4883410507012709,0.2732898022298803,1.0,128,0,1,1,109.8641838,0.6696819352310086,0.11310929563368484,245.41272874999999
128,256,77.05271379129388,301596,46943,33005568,29734624,1.0515085272087745,0.1319938851301923,0.9762977991873846,128,0,1,1,251.37076919999998,0.862696012559136,0.06198509382267114,245.41272874999999
