cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,85.56240718339994,293100,17888,39694336,29923768,1.1043933692450563,0.19983256998385052,1,1024,0,1,1,177.13514199999997,0.766645401952571,0.10722004746606914,192.23823620338985
1024,128,208.40241500184223,204614,22071,34054144,30507384,0.8444513863405421,0.21180567123193436,0.6543190631418088,1024,0,1,1,293.7989232352941,0.8831398405055539,0.05251727505377584,192.23823620338985
1024,1536,41.04186548677502,187034,45350,72220672,55250152,1.285626523716187,0.29394992277706755,1,1024,0,1,1,107.15038039999999,0.7747980581503161,0.11366431402104755,192.23823620338985
1024,2048,26.613897233187004,240470,28490,50311168,30156728,1.623014838951439,0.25997489504553134,1,1024,0,1,1,74.0709067,0.6526299801160944,0.13399002365072213,192.23823620338985
1024,256,52.14724172312431,232020,26514,33267712,30095016,1.4386863473244005,0.2703305873824398,1,1024,0,1,1,133.95149055,0.8990904754814739,0.05576379130055282,192.23823620338985
1024,512,67.73824169769932,231402,36340,33005568,30330928,1.0185679589688645,0.14449306349552665,0.8987434934236433,1024,0,1,1,213.89666530000005,0.885162221246989,0.056306439444615795,192.23823620338985
128,1024,69.98008805460374,227177,29524,39432192,30041744,0.9542551877926263,0.221212722486677,1,128,0,1,1,186.1174064,0.7813524328497149,0.10253798400251753,192.23823620338985
128,128,715.3641323561109,291897,38075,32743424,30408720,0.5509458423805069,0.24729286529275857,0.2778925736406882,128,0,1,1,691.7717651999999,0.8880109691177301,0.05437335252235587,192.23823620338985
128,1536,51.2339154294922,231354,48706,39292928,15780656,1.0066119292811293,0.1781365740909731,1,128,0,1,1,151.13141760000002,0.6538333158161109,0.1308543501884573,192.23823620338985
128,2048,54.86843191930916,244738,37092,50311168,30160128,1.4817280588443027,0.23553700628055707,1,128,0,1,1,102.05829339999998,0.7241432633748286,0.11373948022063658,192.23823620338985
128,256,55.94218145546384,225677,26710,32743424,30007064,1.0272970869923226,0.17043759825908236,0.9346211885348997,128,0,1,1,205.68572440000003,0.8743825534706314,0.057819163104117395,192.23823620338985
128,512,56.42793059388004,230336,27777,32743424,30398528,1.0642280863552493,0.16760768009613494,0.8982405477240665,128,0,1,1,214.01643099999995,0.8503642978189522,0.08302974009155588,192.23823620338985
1536,1024,72.88624507034744,203300,38411,38645760,30577816,0.99144464385161,0.13701582193342732,1,1536,0,1,1,173.50306965000001,0.7949378499973917,0.08348651708149682,192.23823620338985
1536,128,269.7951292695858,259155,59614,33005568,30418032,0.8121989817525985,0.24862892245387594,0.5146220558286626,1536,0,1,1,373.55226816666664,0.8521003651902196,0.07863604158679603,192.23823620338985
1536,1536,48.60820580476321,305090,41718,48738304,30127040,1.16199403971499,0.27463446937479474,1,1536,0,1,1,126.49610325,0.7150193352614431,0.10589402196298058,192.23823620338985
1536,2048,24.589873746701823,234525,39773,50573312,30110352,1.6103377103744472,0.17122936567177888,1,1536,0,1,1,73.35031169999999,0.614074193010124,0.1249625428820889,192.23823620338985
1536,256,39.2243771079344,223109,22612,33529856,29874328,0.9893959803573285,0.11088249135344813,0.8899400131915877,1536,0,1,1,216.01257765,0.8942874367321988,0.04508197386237078,192.23823620338985
1536,512,69.74720109086883,219830,27099,33005568,30074944,1.0238837323930352,0.1366203389068509,0.9213585917663405,1536,0,1,1,208.64649,0.8929167506627989,0.048579512549935804,192.23823620338985
2048,1024,81.96205839456256,280117,30781,39694336,30959616,0.9922680283190279,0.17892580037788203,1,2048,0,1,1,179.03029444999999,0.8047176440936671,0.08850847700012918,192.23823620338985
2048,128,115.4590331766806,257360,45506,32743424,30436672,0.9075730647800887,0.23727700359742507,0.6990404324271443,2048,0,1,1,275.0030288461539,0.8829111178501827,0.06291939709630039,192.23823620338985
2048,1536,41.785595338199634,203011,45860,73269248,55253640,1.3078755815216951,0.2101439957590484,1,2048,0,1,1,104.78151740000001,0.6825589021255233,0.12302312491051232,192.23823620338985
2048,2048,29.746741389749808,268646,43190,50573312,30918920,1.6443352906838662,0.18246316197744972,1,2048,0,1,1,71.38116914999998,0.7078334099187512,0.13471599706382092,192.23823620338985
2048,256,60.545643611995416,271789,33968,32743424,30501952,1.0356240370026195,0.2045677496023095,0.8667614854301093,2048,0,1,1,221.78908435000002,0.8761511771777231,0.05881566081879034,192.23823620338985
2048,512,72.5171533974362,265292,35853,32219136,30210288,0.833169560550784,0.1210990926081183,0.7342937261088806,2048,0,1,1,261.8001889000001,0.9053830944428359,0.04215489284500693,192.23823620338985
256,1024,207.1217691389195,302003,32097,39432192,30760984,0.7809438435201697,0.2947464689196361,0.5563290741941613,256,0,1,1,345.54770749999994,0.7671656774531443,0.12282755345211084,192.23823620338985
256,128,332.8695737387415,295046,67012,33005568,30318288,0.7377611233539836,0.23858666165562564,0.47250577867257737,256,0,1,1,406.8484342,0.8726601424367806,0.06497005864088916,192.23823620338985
256,1536,45.86864030626624,205729,31163,72744960,55236192,1.5045352407857862,0.34953747347360753,1,256,0,1,1,95.60436684999999,0.77248761274648,0.09580186710868642,192.23823620338985
256,2048,28.457012503304412,288462,26825,50573312,31436664,1.5368090139627069,0.22300351924230224,1,256,0,1,1,76.35208395000001,0.650890527215089,0.13570128379715687,192.23823620338985
256,256,42.762736733776705,253652,36182,32743424,30197512,1.3814314236307896,0.242131607100331,1,256,0,1,1,137.950982,0.8648328719775391,0.07521598597333526,192.23823620338985
256,512,52.08805082489925,280550,24670,33005568,30131336,1.0275530008911464,0.15711107084439946,0.887033177205394,256,0,1,1,216.72045775,0.872150521719125,0.05946528941358401,192.23823620338985
512,1024,67.24950231392086,278259,28992,40218624,30224792,0.9838928596613201,0.23723349719918047,1,512,0,1,1,187.9253789,0.7768392533040062,0.09743695131041359,192.23823620338985
512,128,214.44716737553156,271714,35623,32743424,29952408,0.6976584928612379,0.28985186996420803,0.47144234982285177,512,0,1,1,407.7661590555556,0.8729468246164378,0.08020502493485812,192.23823620338985
512,1536,42.716032635738934,236404,35581,72744960,55368424,1.4005149842994897,0.26952514563587704,1,512,0,1,1,97.92234984999999,0.7207796223586951,0.11653333350583418,192.23823620338985
512,2048,28.6007776520583,247725,69878,50573312,31518064,1.6022895337984757,0.23715032753259097,1,512,0,1,1,80.06902529999999,0.6543155881314454,0.13359246824768561,192.23823620338985
512,256,60.21942355672861,226396,48588,33005568,30496856,1.0420105530931922,0.204290626698569,0.9102755612886589,512,0,1,1,211.18685854999998,0.895340826094922,0.0587646205443956,192.23823620338985
512,512,50.12059115629048,279160,18975,21725184,15476264,0.9697750924872709,0.12668743145760836,0.8763285146255961,512,0,1,1,219.36777475,0.8789207193248879,0.06032413102157124,192.23823620338985
