cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,0.3733395399350938,2192,9,26316800,14893960,1.3420212048665268,0.2730631328468024,1,1024,0,1,1,1.3243084499999997,0.6685131033490744,0.07559853019964093,3.9581259833333373
1024,128,15.106155775786828,2561,529,27828224,24224688,1.3622191864556412,0.8961168132404338,0.43749305946952627,1024,0,1,1,9.047288631578947,0.8645984596557161,0.006960646300213077,3.9581259833333373
1024,1536,0.39138555367073463,2982,0,42516480,27454040,1.3007859129901909,0.28230099436357914,1,1024,0,1,1,1.3865864500000002,0.5793072992871304,0.10374448160901042,3.9581259833333373
1024,2048,0.3433858837226132,105,1681,42254336,27534808,1.2966202797350372,0.3066154536458888,1,1024,0,1,1,1.1858752,0.6331009332641493,0.09616391537732438,3.9581259833333373
1024,256,5.296966130086388,2143,470,28352512,24085232,1.0262418912619122,0.7833534616608228,0.7063732805507957,1024,0,1,1,5.60344805263158,0.8642339861579935,0.01856331632439581,3.9581259833333373
1024,512,7.156557390647644,152,2925,28352512,23878872,1.240425926578957,0.49150682154281417,1,1024,0,1,1,3.6777106499999994,0.8732614190556058,0.013592803108592564,3.9581259833333373
128,1024,3.62594811417368,1704,5,25792512,15507192,1.2296766183020522,0.46591756487212277,1,128,0,1,1,2.362383263157895,0.7024515147840187,0.09630874656606041,3.9581259833333373
128,128,23.68937231655439,3630,27,28352512,23916232,0.6890521515269998,0.7333334033568066,0.22943411858464274,128,0,1,1,17.251688666666666,0.8641668439618707,0.007497402685138011,3.9581259833333373
128,1536,1.1153330873405252,1788,473,42516480,27496992,1.2168632650510283,0.4551349241702835,1,128,0,1,1,1.69182995,0.5462212095091054,0.08503993870034919,3.9581259833333373
128,2048,1.121946329636008,2829,34,42778624,27459184,1.2308310979924402,0.339996901921698,1,128,0,1,1,1.4961186999999998,0.5259240076271927,0.07293599411954892,3.9581259833333373
128,256,42.62743670383133,2215,411,27828224,24320056,0.7180352518715868,0.8098965186248981,0.14880360334865383,128,0,1,1,26.599664888888892,0.8682120269741173,0.005775089118952712,3.9581259833333373
128,512,1.923167581380582,167,2878,27828224,24281920,1.238364807932403,0.6635126931986058,1,128,0,1,1,2.484548388888889,0.8665345226040196,0.015617344746770094,3.9581259833333373
1536,1024,1.8931929967444014,2823,30,33734656,27825520,1.2891646628506703,0.6384580673546448,1,1536,0,1,1,1.98681145,0.6781610057574956,0.08422336086215752,3.9581259833333373
1536,128,19.39958695989576,9224,1060,27828224,24172208,1.147833004279886,0.949828441714028,0.29484377565847,1536,0,1,1,13.424485473684213,0.8621346457707126,0.00875714400779983,3.9581259833333373
1536,1536,0.44475672718704035,2361,569,42254336,27465456,1.2527822529105033,0.2804182921037614,1,1536,0,1,1,1.31093815,0.5504489275892633,0.08438323721159,3.9581259833333373
1536,2048,0.5464049051705406,2044,441,42254336,27412520,1.3431347566949259,0.3546202260479478,1,1536,0,1,1,1.1722551499999998,0.5182085495994779,0.06490414755853,3.9581259833333373
1536,256,4.849977523758526,162,3195,27828224,24183464,1.3369914454530238,0.6700989793719986,1,1536,0,1,1,3.737017473684211,0.8629781398150804,0.012977435123063224,3.9581259833333373
1536,512,1.8444053260712916,2459,496,28352512,23917848,1.1931769418157894,0.530636656904226,1,1536,0,1,1,2.4946389499999997,0.8698290760642982,0.01789234362640077,3.9581259833333373
2048,1024,5.158380475527734,2109,582,33734656,27706088,1.0671916543218047,0.4812366336939765,1,2048,0,1,1,3.50282385,0.6896088395154477,0.10197451440752851,3.9581259833333373
2048,128,11.016201498496269,5086,609,27828224,23862104,1.461643824286847,0.8697557133532613,0.48946514629797633,2048,0,1,1,8.086635000000003,0.8601923316632071,0.011609305848541526,3.9581259833333373
2048,1536,1.5669139587885834,910,226,42254336,28343672,1.1066622239260306,0.4738672794605399,1,2048,0,1,1,2.0774253,0.5770968922317006,0.08672624302665276,3.9581259833333373
