cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,2.1367199124985308,3173,32,33734656,27794144,1.0964020486659012,0.3435010149789189,1,1024,0,1,1,3.12310735,0.6525931872864558,0.09020631894162058,6.089837904761904
1024,128,8.666336810734155,168,3970,27828224,24179280,1.0208753422930366,0.5987159635842113,0.7527305585626218,1024,0,1,1,8.090329049999998,0.8625858004614813,0.010713349091017859,6.089837904761904
1024,1536,0.9252927837759501,3229,33,41992192,27970600,1.3176524621686379,0.5135387929543178,1,1024,0,1,1,2.2395074499999996,0.5557210207732466,0.10636104997892187,6.089837904761904
1024,2048,1.354417544521275,3569,25,42254336,27478648,1.094025052262686,0.2527402310378087,1,1024,0,1,1,2.4406525999999995,0.5061278333319637,0.05646729044759048,6.089837904761904
1024,256,20.846592185486088,4255,35,27828224,24327488,0.5786611628964392,0.5574649375783246,0.3290660802801823,1024,0,1,1,18.50642855555556,0.8679231779096995,0.012536489854360448,6.089837904761904
1024,512,6.95807747809014,4529,127,27828224,23929416,0.9394496470490031,0.49760426033573346,0.9944236340720656,1024,0,1,1,6.1239875,0.8787295822810435,0.021868061962363905,6.089837904761904
128,1024,8.537821765803555,3878,30,34521088,26290464,0.7879101463587604,0.521826982058623,0.7981435116494845,128,0,1,1,7.630003647058825,0.6852224118282464,0.08893655040313515,6.089837904761904
128,128,14.249351929006,4344,27,27566080,23880984,0.5929109815537741,0.6236600538740079,0.37817666070835154,128,0,1,1,16.103156375,0.8658281790474733,0.007953888280195923,6.089837904761904
128,1536,1.6677383324687032,1977,471,42516480,28146824,1.0605286060106098,0.321991535403735,1,128,0,1,1,2.7876541,0.5177384419439379,0.0796736485933784,6.089837904761904
128,2048,1.685131801653586,132,3290,42254336,27695472,1.039138354354333,0.31556244927295596,1,128,0,1,1,2.7787268000000003,0.5514508763859456,0.08875022619742519,6.089837904761904
128,256,14.776814717207383,166,3499,28352512,24160960,0.6951987755526782,0.6191981798572737,0.39815322282577437,128,0,1,1,15.295211882352945,0.8671511435496553,0.011127360687495045,6.089837904761904
128,512,7.489642780652962,318,3384,27566080,23887016,0.9133120602239855,0.5884561813888292,0.8316275615196446,128,0,1,1,7.322794705882353,0.8744532677326123,0.021953796694760032,6.089837904761904
1536,1024,3.2994856509682733,1845,405,25530368,15348608,0.9263367968773594,0.42616365910606946,1,1536,0,1,1,4.14921065,0.6660799921502824,0.09291899161459377,6.089837904761904
1536,128,13.452372623266882,167,3581,28090368,23846512,0.9247274095144413,0.5915832711847149,0.5834375799161521,1536,0,1,1,10.437856789473685,0.8594581647535644,0.009825095115837639,6.089837904761904
1536,1536,2.12438293808882,139,3667,42254336,27485184,1.0447792484635419,0.32625002258483576,1,1536,0,1,1,2.83765575,0.512848542747719,0.07141141772999944,6.089837904761904
1536,2048,1.365275221971687,2875,23,42516480,27625424,1.0917284993249028,0.2950841022355543,1,1536,0,1,1,2.4355236000000002,0.532184513488713,0.08051629807205461,6.089837904761904
1536,256,5.900503025132806,108,3395,28090368,24296152,1.1236214320579634,0.5602779415766048,1,1536,0,1,1,5.561234099999999,0.8659765349263019,0.014559867727852149,6.089837904761904
1536,512,6.268787351381646,170,4001,27828224,24216544,1.0824769459911838,0.45580638839992055,1,1536,0,1,1,4.6058673,0.8742415279141553,0.017439009263150562,6.089837904761904
2048,1024,1.5657495507856583,24,2101,33734656,28494296,1.1361660270057334,0.34108424680574995,1,2048,0,1,1,2.5979661000000003,0.7161080832075735,0.10386384689201869,6.089837904761904
2048,128,21.960561230141664,976,3461,27828224,23838000,0.8853580996506653,0.6310888464750374,0.43711109360220035,2048,0,1,1,13.932014066666664,0.863902741647296,0.008233352942293132,6.089837904761904
2048,1536,1.572338955002816,2714,24,42778624,27430128,1.1140530870016014,0.3058358401803383,1,2048,0,1,1,2.41675695,0.5264658292457647,0.07439042127195859,6.089837904761904
2048,2048,2.8970851540834697,6235,508,42254336,27476000,1.1340062821072667,0.26022108201800853,1,2048,0,1,1,2.7238306,0.5136037169043671,0.06634666400794657,6.089837904761904
2048,256,9.14614831077421,3660,696,27828224,24317096,0.8147232351356737,0.6317478413360217,0.5705408960909216,2048,0,1,1,10.67379735,0.8664704148745177,0.013344784378139664,6.089837904761904
2048,512,4.956000437277367,161,3761,28352512,23994688,1.034151670788906,0.4687403072700645,1,2048,0,1,1,4.400457600000001,0.8713015621533206,0.01588189739218653,6.089837904761904
256,1024,2.764971987946011,3963,28,33734656,27886360,0.9921107655350657,0.39751554933077765,1,256,0,1,1,3.7816484666666668,0.6571307009033003,0.08874961955787165,6.089837904761904
256,128,8.870300761871384,2634,25,28352512,23878616,1.3164910578789182,0.5235906842631636,1,256,0,1,1,5.827701263157894,0.8629287651497005,0.010211559327914921,6.089837904761904
256,1536,2.206538757852952,2870,749,41992192,27972488,1.1013332504077764,0.32869392812943576,1,256,0,1,1,2.6089592631578946,0.5244268490318218,0.06983171145380067,6.089837904761904
256,2048,1.1004075677831588,104,2475,34312192,14693272,1.1214199739879458,0.3442242790293675,1,256,0,1,1,2.4603729500000004,0.49115919726255947,0.04411561792539876,6.089837904761904
256,256,22.98760343382675,4518,57,28090368,23928432,0.6536295676331386,0.520328533436457,0.36264034693675073,256,0,1,1,16.793051176470588,0.8694520939537606,0.012258239304651227,6.089837904761904
256,512,3.5456300437706405,1742,3510,27828224,24185640,0.8763493322213578,0.6279172680952468,1,256,0,1,1,5.848158266666667,0.8700415263670566,0.013072383036419838,6.089837904761904
512,1024,2.351079034651095,4148,47,33734656,27678768,1.0700589131416065,0.8465336359768383,1,512,0,1,1,3.959521842105264,0.7108795901064409,0.10512355905729852,6.089837904761904
512,128,25.011829677690102,4074,41,27566080,23840952,0.6361922902683841,0.6093169893236137,0.2869362490398469,512,0,1,1,21.223661789473685,0.8637741575321561,0.012482344566370405,6.089837904761904
512,1536,2.8575138933782194,3532,39,42516480,27477728,1.0411805689788725,0.31352476034115645,1,512,0,1,1,3.1139874999999995,0.5133548463926121,0.07643748289776531,6.089837904761904
512,2048,0.6639035434922004,0,2753,42516480,28069464,1.1672320910714598,0.25173447831372886,1,512,0,1,1,2.046843,0.511138008566973,0.06575704992219616,6.089837904761904
512,256,7.761605577658256,3792,756,27828224,23837520,0.865415935177801,0.6214328249819253,0.7124596732202064,512,0,1,1,8.547624705882352,0.8644509493835016,0.013385073841518538,6.089837904761904
512,512,8.171534860501096,3802,700,28614656,23821960,0.905925693412718,0.46712918735854303,0.9321963773014951,512,0,1,1,6.532784350000002,0.8731483592321204,0.014920116778031789,6.089837904761904
