cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,161.28501788385566,200811,32306,38645760,30077728,0.44199387459862827,0.21386122352217227,1,1024,0,1,1,415.70608974999993,0.8169952948372229,0.0838332382758523,651.5149916571429
1024,128,650.2339858249867,262478,34773,32481280,29606536,0.36469375098316664,0.192731219736243,0.5711898517704541,1024,0,1,1,1140.6277433636362,0.9125425380955481,0.009263592935059088,651.5149916571429
1024,1536,154.04491323702695,223999,64086,71974912,55138256,0.3817541966003962,0.20412106242907602,1,1024,0,1,1,434.44249869999993,0.739497461061702,0.14136224849146667,651.5149916571429
1024,2048,119.9288889879831,220367,37655,50049024,29954712,0.4491634138971559,0.2550715362687008,1,1024,0,1,1,367.14655540000007,0.7247234998056677,0.12855332067288827,651.5149916571429
1024,256,338.94136574671234,282089,51973,32743424,30082728,0.34928434773597394,0.18542407535522043,0.6959611147650382,1024,0,1,1,936.1370597222223,0.9061188713648796,0.016852609924423504,651.5149916571429
1024,512,211.8607067319511,247199,40065,32481280,29887560,0.37742824406281106,0.10148448495127663,0.8692626308164632,1024,0,1,1,749.5030484,0.8774163367962778,0.05776832520597276,651.5149916571429
128,1024,181.82772212852936,275354,32858,39956480,29858040,0.5267030408521995,0.26912066703337806,1,128,0,1,1,420.8876326499999,0.8077241716418933,0.07443879078819668,651.5149916571429
128,128,2199.9642644562687,301476,62338,32481280,29783984,0.19618657316211474,0.12552370395535314,0.2469552981820521,128,0,1,1,2638.1899738666666,0.9140139380854554,0.007338624815033025,651.5149916571429
128,1536,141.71822896960344,200316,27762,73285632,55237648,0.3989275433562905,0.19852159797904986,1,128,0,1,1,357.75401155,0.72632954707802,0.10661861337051992,651.5149916571429
128,2048,147.54526238171425,235796,36888,50573312,30031616,0.4043990558681155,0.2465796573452827,1,128,0,1,1,362.2431496999999,0.7156915889392302,0.12745984365223417,651.5149916571429
128,256,450.27719566841796,304783,26459,33005568,29996048,0.2995659284449259,0.15659948070600327,0.5803803678846127,128,0,1,1,1122.5655237647059,0.9021588907641376,0.03424362788333682,651.5149916571429
128,512,237.25732902311705,243764,48363,33005568,29799144,0.3766277328533946,0.12090192271774083,0.8934145784779604,128,0,1,1,729.2415048421052,0.890057565429638,0.041893178652942085,651.5149916571429
1536,1024,195.67665086743008,293457,48928,39694336,29835136,0.49108993780607546,0.3265216859099333,1,1536,0,1,1,435.820697,0.8309826793676921,0.09061694423867847,651.5149916571429
1536,128,404.76850391897284,276334,73309,32743424,29810048,0.13679942872150175,0.02485177350583474,0.2693894570707576,1536,0,1,1,2418.48734075,0.906660606335721,0.007463035219860741,651.5149916571429
1536,1536,161.0173994224686,214185,40364,72499200,55063560,0.366824835383924,0.1627095956608345,1,1536,0,1,1,393.42468435,0.7125691000800594,0.13992773996195612,651.5149916571429
1536,2048,121.74045712816807,213566,42754,50573312,30162176,0.34575009498923115,0.1954239095658752,1,1536,0,1,1,375.76069400000006,0.6934689612610849,0.13475747582676162,651.5149916571429
1536,256,298.35486826891207,333034,35571,32743424,29784416,0.3320544237542351,0.11795140710515206,0.7091324038224806,1536,0,1,1,918.7494297894739,0.9094996277852893,0.0296813755647634,651.5149916571429
1536,512,213.97526988766595,353126,32585,33005568,29774656,0.4291018731763815,0.18855334433271714,0.992602240230914,1536,0,1,1,656.37066415,0.8861026540070961,0.04385587921287883,651.5149916571429
2048,1024,179.53932226130274,207721,66628,39694336,31573584,0.46947047567341765,0.20246278445434854,1,2048,0,1,1,463.86082995000004,0.8015530993718001,0.09423565639659154,651.5149916571429
