cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,747.0352522333892,1741184,143112,42913792,33807344,0.4019361848122685,0.3168203163692499,1,1024,0,1,1,797.5023188500002,0.836062728790759,0.026193580652502244,2182.939166037736
1024,128,2223.7613601493363,2024682,230949,35700736,32313456,0.294268043459635,0.05936470412228234,0.2684213783538895,1024,0,1,1,8132.508593111113,0.9178778818047955,0.008807708883566287,2182.939166037736
1024,1536,560.2344222357791,1521350,113822,51171328,38292928,0.3658852522418904,0.30399852158553614,1,1024,0,1,1,568.18076645,0.7264130840197205,0.05588380368729202,2182.939166037736
1024,2048,369.0623642858803,1608372,137221,51433472,36421592,0.31231933209489315,0.32363481339474476,1,1024,0,1,1,474.92501905,0.7607234744868859,0.03481214142938045,2182.939166037736
1024,256,3206.2679081428823,1942644,173286,36225024,33402632,0.25751297157361636,0.075734765870513,0.3502650211814503,1024,0,1,1,6232.24996511111,0.9233597806343656,0.009747044794106093,2182.939166037736
1024,512,1430.389111326802,1854017,125183,35962880,32951528,0.42711626097655636,0.2975271642689529,1,1024,0,1,1,1427.8520058,0.9254924389166913,0.012485118939853351,2182.939166037736
128,1024,709.1388112535925,1622051,134838,42651648,35611000,0.42527515882531997,0.2926902415330959,1,128,0,1,1,744.0458049,0.8340968532001016,0.027929678386296137,2182.939166037736
128,128,816.6435370335225,1896988,233877,35438592,32705368,0.26617509048530286,0.02152353796289921,0.2635419182068651,128,0,1,1,8283.0814198,0.9184441802832957,0.007750326375109945,2182.939166037736
128,1536,502.38455472015534,1688097,120112,52482048,37800120,0.46447786401388147,0.4166048907986874,1,128,0,1,1,502.40683150000007,0.7362249949569384,0.04750564713328535,2182.939166037736
128,2048,362.9258776206102,1556812,147627,52219904,39552264,0.3924436889647553,0.38423064600822626,1,128,0,1,1,424.2361447,0.7646514531755467,0.045921740997812176,2182.939166037736
128,256,4458.133445542072,2113035,186383,36225024,33332928,0.18512121427615874,0.034384551828605996,0.24240777953182405,128,0,1,1,9005.235600333333,0.9214546942720596,0.005872283520277695,2182.939166037736
128,512,2003.0260436282233,1990000,159073,35962880,33001088,0.33235435094837895,0.1431169149641674,1,128,0,1,1,2083.09833795,0.9253515997084636,0.009130949014721708,2182.939166037736
1536,1024,751.4527851530227,1811218,112325,43962368,36415376,0.3348447527066092,0.3169569743238142,1,1536,0,1,1,796.4244455999999,0.8468452202544476,0.021631826549269515,2182.939166037736
1536,128,2532.687990244462,2154724,218553,36487168,33131928,0.3752912710070844,0.08071807597663809,0.3310848634640669,1536,0,1,1,6593.291953,0.9227155367880832,0.009982489840396064,2182.939166037736
1536,1536,559.0510853765911,1493429,117414,52219904,39006512,0.3536704640130142,0.28105694406334814,1,1536,0,1,1,591.12641565,0.7369691004597986,0.05010930290396317,2182.939166037736
1536,2048,387.1570299351754,1641845,95662,51433472,41109784,0.30246098742381183,0.3140967029747869,1,1536,0,1,1,422.4634378999999,0.7439580501361314,0.05037615309580648,2182.939166037736
1536,256,3237.755694447706,2095270,157075,36225024,33110480,0.31336942037477195,0.15698979076514138,0.3809175642446656,1536,0,1,1,5730.7390652,0.9227660034483218,0.007785858071126036,2182.939166037736
1536,512,1814.2984129991287,1999356,150447,36487168,33433664,0.3591972867741159,0.12992287194075566,1,1536,0,1,1,2050.83662975,0.9298677155932605,0.011346763377434637,2182.939166037736
2048,1024,792.7327615648547,1784153,136734,43438080,36787200,0.43021276065813463,0.27219498292246347,1,2048,0,1,1,753.39053295,0.8336240106052856,0.043651112991478114,2182.939166037736
2048,128,3921.9334674664337,2147304,296850,36487168,33809984,0.5034959894426455,0.28337722413786137,0.32951079823023144,2048,0,1,1,6624.7879516,0.9191308816502408,0.013992811585970398,2182.939166037736
2048,1536,507.1742730637221,1597551,124492,52744192,39029664,0.3446225181301722,0.3109329347963758,1,2048,0,1,1,504.13983855000004,0.7365607816401195,0.039433643804744976,2182.939166037736
2048,2048,404.63626624292874,1485999,112933,51171328,39208952,0.33706134595456033,0.3290724978839125,1,2048,0,1,1,464.08898165,0.7562325539676311,0.0435349652900053,2182.939166037736
2048,256,2826.779187788779,1955491,194918,36487168,32927888,0.2901002738226482,0.10374154679039325,0.40783155307534225,2048,0,1,1,5352.550948000001,0.9194665942327186,0.009611793737606367,2182.939166037736
2048,512,1577.832197640024,1891829,147541,35962880,32598536,0.4178447548732006,0.25182200899669005,1,2048,0,1,1,1631.64480995,0.9307233828514662,0.014183111653786256,2182.939166037736
256,1024,672.0579710225574,1628478,173577,42913792,34912720,0.4055435728141024,0.30218798651143963,1,256,0,1,1,713.1607225500002,0.8258987980257864,0.03778104117905229,2182.939166037736
256,128,1725.8701402492059,1917931,196005,36225024,33121272,0.28739885958399175,0.06251315691479421,0.283104942257933,256,0,1,1,7710.70666809091,0.9247779334055882,0.00873827194084029,2182.939166037736
256,1536,340.36636138421994,1563332,149196,51957760,37256640,0.3370154558843731,0.34984518162988254,1,256,0,1,1,471.9629358,0.7235876001796927,0.045052233214838165,2182.939166037736
256,2048,199.45315604234585,1354706,125489,51171328,39699400,0.2899330689929735,0.3228124811041497,1,256,0,1,1,308.69204605,0.7165301089953857,0.04835202463183545,2182.939166037736
256,256,3389.2993069192,1888070,152166,35962880,32977344,0.24054887730147811,0.058437249579299626,0.3746644385524367,256,0,1,1,5826.384736357143,0.925121585109057,0.007498709537134331,2182.939166037736
256,512,1225.2782080541615,1924830,183828,36225024,32934040,0.4313661751812135,0.28381018350675813,1,256,0,1,1,1371.4127159000004,0.9253068822779916,0.012299700384901385,2182.939166037736
512,1024,729.1759744391336,1752551,183147,43438080,36586312,0.4767798873333019,0.2964443930822253,1,512,0,1,1,714.21239175,0.8431984678946488,0.026249516264986318,2182.939166037736
512,128,1004.5537457491286,2115285,242314,36749312,33888360,0.2563513471178368,0.028350467129906666,0.25684668985616754,512,0,1,1,8498.996686545455,0.9183289344844315,0.009014419246957213,2182.939166037736
512,1536,335.91184456133277,1470798,141528,51171328,41536024,0.3352612583616898,0.3337122804888621,1,512,0,1,1,475.18270839999997,0.723171692138971,0.05169839115213834,2182.939166037736
512,2048,270.5381650896452,1363835,107180,52744192,39062032,0.22258503055496245,0.2579747126156249,1,512,0,1,1,386.35506970000006,0.7581247437765072,0.04133196232939353,2182.939166037736
512,256,2809.235248526509,1867256,187106,35962880,32610032,0.25772323042365025,0.06522317930689464,0.4138349720457682,512,0,1,1,5274.902590388889,0.9219977827143764,0.011538940635608572,2182.939166037736
512,512,1637.9556788823388,1992616,194723,36487168,33831256,0.4317388117088095,0.24258985210926298,1,512,0,1,1,1661.5137228000003,0.9293801499998352,0.009632827364367555,2182.939166037736
