cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,97.17022082175413,378877,38127,39170048,30373160,1.0523778360053813,0.17756595480335532,1,1024,0,1,1,253.05064749999997,0.8036181285347761,0.056936941163841445,291.60305531092433
1024,128,229.2250596412073,456794,94423,32481280,29633904,0.8896777170896586,0.22146414641507506,0.6167904655445213,1024,0,1,1,472.7749075263158,0.9091366818041796,0.01896916099490442,291.60305531092433
1024,1536,53.87257567980748,318839,51009,36147200,15543152,1.3145934629315765,0.1377526884663863,1,1024,0,1,1,182.2919238,0.6797551600390567,0.09868474115061093,291.60305531092433
1024,2048,43.56630252433642,228457,65233,61153280,49605032,1.5699051581496213,0.15546074987386882,1,1024,0,1,1,135.62188155,0.7287198172369646,0.08663048436352815,291.60305531092433
1024,256,49.82384075901636,290116,73611,32743424,29637928,1.301015063376156,0.15341314371689552,1,1024,0,1,1,241.30603630000002,0.8983489425402024,0.032695297005602975,291.60305531092433
1024,512,90.49425855782953,268765,36090,33005568,29645648,1.0895322595851966,0.14256324726830386,0.886674434716658,1024,0,1,1,328.87274505,0.9122188491752301,0.017975496102990207,291.60305531092433
128,1024,65.92900461329282,390103,77915,36810752,30106648,1.0538614902263517,0.21694067918311283,1,128,0,1,1,291.1849425499999,0.8156614744494727,0.056204881429790264,291.60305531092433
128,128,319.5513608170305,295538,48520,32743424,30263128,0.8108199121321245,0.29313324664552076,0.521817234571257,128,0,1,1,558.8222005555556,0.9094268967130711,0.013013378342821154,291.60305531092433
128,1536,46.542024106959396,279995,57038,37457920,15543544,1.2632911648080092,0.14730871479742813,1,128,0,1,1,203.68082335000003,0.6869082568590305,0.07991227337222849,291.60305531092433
128,2048,39.912522895295375,273016,43764,44019712,30831440,1.552620025865906,0.18074879891125784,1,128,0,1,1,121.88500205,0.7408912949281865,0.06655027502021578,291.60305531092433
128,256,108.58730077228782,457541,92495,32219136,29674816,1.0515040713974286,0.18273068376991675,0.858355357997962,128,0,1,1,339.7229977,0.9125048546051593,0.013479069560322198,291.60305531092433
128,512,106.46657274915555,359322,78694,33005568,29723424,0.973897121944214,0.11354038068372044,0.7977730974301152,128,0,1,1,365.5212945263158,0.9098773229382854,0.026363965985586577,291.60305531092433
1536,1024,98.13482167437215,379326,81321,39694336,29759904,1.0653173544341117,0.16981150073228465,1,1536,0,1,1,284.53612765,0.817238620769755,0.046627527172355014,291.60305531092433
1536,128,154.52343242755822,385872,88529,32743424,30272520,0.8444217638092546,0.19251849014409111,0.6459349288181137,1536,0,1,1,451.4433920526315,0.9115944749955777,0.01514004357277121,291.60305531092433
1536,1536,57.11420267087621,252428,62569,59056128,47974944,1.251806438020112,0.17518834879169287,1,1536,0,1,1,192.48808099999997,0.7490465376390605,0.0942734512208609,291.60305531092433
1536,2048,36.235995682294025,262542,28680,47165440,31119496,1.52450941256994,0.18571814657090358,1,1536,0,1,1,132.89356364999998,0.7204592128808754,0.0808974795928071,291.60305531092433
1536,256,89.58539600312295,346323,19490,32743424,29845064,0.9983697474628002,0.15447014765912,0.8784257117877702,1536,0,1,1,331.9609745,0.9101704005734866,0.022769155019175355,291.60305531092433
1536,512,105.87504734027621,412042,81429,32743424,29767192,0.9867565654212032,0.11630876968438769,0.8004734916647326,1536,0,1,1,364.28820985,0.9069924933219884,0.03097790726277501,291.60305531092433
2048,1024,80.19032836244884,410985,70772,39432192,29762992,1.0450728352834944,0.11015618847490101,0.970649972545195,2048,0,1,1,300.42040236842104,0.8337087646768507,0.037088835078580816,291.60305531092433
2048,128,225.04857578343876,368968,67220,32219136,29690568,0.9389575823046099,0.21359711534106332,0.7021955465587347,2048,0,1,1,415.2732906666667,0.9135832643782434,0.01862001925225269,291.60305531092433
2048,1536,63.2130098746786,308165,51808,36409344,15542248,1.2754224359789108,0.13410339045023423,1,2048,0,1,1,180.47222075,0.7049358572279663,0.09745872642784542,291.60305531092433
2048,2048,40.976399394625766,372942,74963,48738304,29891944,1.6520070979324206,0.17677358037031562,1,2048,0,1,1,138.463365,0.7001067882045106,0.10093960319071121,291.60305531092433
2048,256,82.16890804017784,331844,42633,32481280,29680144,1.0531325974424752,0.14709225763722625,0.9067072973463086,2048,0,1,1,321.60660465000007,0.9104181317121961,0.013452076900980664,291.60305531092433
2048,512,73.85321587466127,338900,76009,33005568,30221472,1.0978309451379895,0.109289932841524,0.947084556201865,2048,0,1,1,307.89548134999995,0.9023690533186606,0.02677392705147769,291.60305531092433
256,1024,75.82237809133844,337542,80129,39694336,29679952,0.9558893972871509,0.12499398497754434,1,256,0,1,1,288.54033200000003,0.802235460844037,0.07956205835461617,291.60305531092433
256,128,554.3602517416721,312209,80943,32743424,29619312,0.6106610020737664,0.22878239853181948,0.3749761243812168,256,0,1,1,777.6576596499999,0.9100066828617711,0.01098765916470364,291.60305531092433
256,1536,86.04202478715058,329341,62158,60104704,48286696,1.0662087073136095,0.17353895288328816,1,256,0,1,1,239.71551914999995,0.7389933200698401,0.07307810225156061,291.60305531092433
256,2048,58.08804850948467,298832,77253,35360768,15543232,1.278126700067061,0.14417574793611476,1,256,0,1,1,197.06740084999998,0.6969751573087766,0.09996317346388087,291.60305531092433
256,256,84.26681428756491,364398,47939,32481280,29981056,1.008046907766525,0.10875042825653561,0.8026618129202193,256,0,1,1,363.29503985,0.9165493151240183,0.015431645954523825,291.60305531092433
256,512,77.34568962400073,402219,72741,32219136,29651560,1.0764417951257366,0.14145421234242667,0.839246034969039,256,0,1,1,347.4583652,0.8995306140641162,0.043296010923801295,291.60305531092433
512,1024,94.56831723076964,299811,58014,64819200,56160160,1.0659494949919384,0.14869585499198787,1,512,0,1,1,269.06600199999997,0.7944625601419644,0.08569249980705498,291.60305531092433
512,128,409.45528843144666,312360,55528,32219136,29617584,0.8054403838439683,0.31626844657289793,0.5288112604511087,512,0,1,1,551.4312517894738,0.9154783687227926,0.015307080674075966,291.60305531092433
512,1536,61.76812434240071,301458,61503,43757568,30820936,1.3447375272673021,0.15207384741422,1,512,0,1,1,156.9016132,0.7281354297508587,0.08914867000374246,291.60305531092433
512,2048,43.40504807325173,262542,78060,36671488,15550032,1.581784071290778,0.1599964709704413,1,512,0,1,1,135.6363597,0.6749961058559549,0.10596600584671066,291.60305531092433
512,256,96.4644074620982,340344,41890,33267712,29587928,1.066814734640558,0.14872507081253572,0.921084144936903,512,0,1,1,316.58677105,0.91259141147896,0.01744333772658154,291.60305531092433
512,512,81.98716870615279,418713,73885,33267712,30061896,1.1387016708142315,0.11740824050199795,0.8451359881018305,512,0,1,1,345.03684545,0.9107648112987935,0.010105885935321444,291.60305531092433
