cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,180.98080327985483,270983,38110,39956480,30124224,0.4837394916241998,0.17858258233302682,0.9599248123318194,1024,0,1,1,428.28260865000004,0.8200506563699932,0.0702516033416049,411.1191027333333
1024,128,168.42813751270057,230147,39243,33267712,29890464,0.5031173910977002,0.195423373830807,0.7817111309228701,1024,0,1,1,525.9220272941177,0.8881502648669365,0.07067005067786988,411.1191027333333
1024,1536,174.57838568164604,289154,32291,43233280,31574312,0.42543435038869487,0.18029467601531418,1.0,1024,0,1,1,355.8927296,0.7389106203400628,0.09435002192704339,411.1191027333333
1024,2048,141.22508707318465,264974,60200,50573312,31040432,0.40667376454383486,0.18920169030407133,1.0,1024,0,1,1,345.10597580000007,0.7255279344992687,0.12346042427952138,411.1191027333333
1024,256,150.8073997839464,240176,43135,33005568,30097352,0.5940450038630191,0.23356379719726741,1.0,1024,0,1,1,406.44147675,0.8846624968221095,0.0556910576435062,411.1191027333333
1024,512,155.1878787631535,263394,34571,33267712,30101480,0.5738256417238936,0.2232509406020629,1.0,1024,0,1,1,382.48961589999993,0.8997944108769722,0.05601789365018639,411.1191027333333
128,1024,123.44995782475375,336249,26273,39694336,31215056,0.47831592151830593,0.22796559745830428,1.0,128,0,1,1,396.78052160000004,0.8009844380417747,0.10516561132293385,411.1191027333333
128,128,313.0238483766288,240920,12457,33005568,30043632,0.4717361144364302,0.1602290658115107,0.7124960185798379,128,0,1,1,577.0124913157895,0.8732793771132372,0.06290854049891625,411.1191027333333
128,1536,143.94502691501555,274674,39524,50835456,31235808,0.43944677213223626,0.23779998670534616,1.0,128,0,1,1,345.80442845,0.7455886542223322,0.113003722286333,411.1191027333333
128,2048,131.0299759092054,205777,48621,68677632,51516912,0.4752922836891676,0.26067523860370523,1.0,128,0,1,1,298.98380775,0.7524444247047911,0.10063873101737132,411.1191027333333
128,256,141.7583182903063,252664,20024,33005568,30127928,0.47996250119259154,0.15390570448290566,0.9118592439920872,128,0,1,1,450.85807425,0.9083605141218902,0.022015194708848863,411.1191027333333
128,512,165.23198397873165,265442,25051,33267712,30010472,0.5671411350626671,0.2288957918639739,0.9653381757693487,128,0,1,1,425.8809120499999,0.8689906556383544,0.08028990572496746,411.1191027333333
1536,1024,154.7278629845992,216862,40694,38645760,31058464,0.4533969710998201,0.21455832927898974,0.9854471531271077,1536,0,1,1,417.1904109,0.7703248191722842,0.11702084111117068,411.1191027333333
