cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,151.49451554283758,72603,11768,25530368,15092944,0.18602393755241445,0.18061906280497161,0.8461419140831552,1024,0,1,1,395.20780240000005,0.6780446095547985,0.0657087153798092,334.4018863833334
1024,128,140.3555230478528,14022,4261,25112576,21276344,0.16992032450417466,0.07498303985877093,0.9301243216050625,1024,0,1,1,359.52385999999996,0.8637156509089163,0.014481815174688337,334.4018863833334
1024,1536,121.20721467462658,137037,5673,34574336,15215784,0.18334907600567235,0.1159723690752745,1.0,1024,0,1,1,328.2630688,0.5449379575393165,0.05091032889761475,334.4018863833334
1024,2048,141.4836084569715,91467,9504,34836480,15091416,0.23153603633465236,0.19071838355616075,1.0,1024,0,1,1,282.51873985,0.543809133414168,0.056363240273124345,334.4018863833334
1024,256,105.63283823944941,79722,16,25112576,21169064,0.2068588575732569,0.132538705503575,1.0,1024,0,1,1,271.1715805,0.8689187256809434,0.013812849668498836,334.4018863833334
1024,512,158.36496155442282,36460,4101,25374720,21142272,0.24961014056489428,0.1884241323503674,1.0,1024,0,1,1,334.35132575,0.865130323476361,0.015453132350486537,334.4018863833334
128,1024,144.85701144352808,92352,4444,26054656,14958248,0.30457812581775523,0.22705000816359586,1.0,128,0,1,1,301.49212175,0.6651739750204968,0.0645761195914743,334.4018863833334
128,128,137.8816304177405,52125,28,25112576,21151296,0.22909762342323226,0.14324020052661998,1.0,128,0,1,1,311.6292295499999,0.8619582025764764,0.012775941135055733,334.4018863833334
128,1536,164.27740370885235,24306,9786,34312192,15206984,0.2006156125174249,0.14297877454149188,1.0,128,0,1,1,332.96995000000004,0.5455516919466993,0.05119176110383084,334.4018863833334
128,2048,129.19756532689104,86121,6607,34312192,15086800,0.19005872107632685,0.10175704682589554,1.0,128,0,1,1,324.32654229999997,0.5522112023621224,0.057116940172569686,334.4018863833334
128,256,143.70289879579093,44994,26,24850432,21282344,0.1845095720244713,0.11527885349454438,0.9051780250715006,128,0,1,1,369.43217480000004,0.8581031484126717,0.012442992483636079,334.4018863833334
128,512,121.28944446819155,18042,308,25112576,21294296,0.2062280445553973,0.16785564351257012,0.9122672973785291,128,0,1,1,366.56129989999994,0.8667618903919987,0.013396381110873743,334.4018863833334
1536,1024,156.43353016471332,81367,30,25792512,15089072,0.23305031129275416,0.12413545925454948,0.9226873517372775,1536,0,1,1,362.4216650999999,0.6614471677149156,0.0430984271356928,334.4018863833334
1536,128,136.61954402441143,41861,3559,24850432,20862384,0.22041720340403867,0.14566501371541124,0.8708199254621968,1536,0,1,1,384.00807860000003,0.8675703120674264,0.016604275916088786,334.4018863833334
1536,1536,136.20669450569252,88139,8014,34836480,15213440,0.19227012783495515,0.13326080288783118,1.0,1536,0,1,1,325.92725605,0.5424211457262295,0.05482148415990461,334.4018863833334
1536,2048,129.85696611864066,55677,8646,34836480,15486256,0.1859498500849231,0.11864390431558863,1.0,1536,0,1,1,310.8010026,0.5500572757881829,0.0614507436421131,334.4018863833334
1536,256,149.8483179327077,67078,4536,25112576,21162744,0.15739649370343442,0.12000317874834049,0.8995176838224437,1536,0,1,1,371.75687860000005,0.8709816878114222,0.01492129340127719,334.4018863833334
1536,512,103.10825947092957,100050,0,25374720,21180464,0.24246259682140442,0.18823782904946218,1.0,1536,0,1,1,312.49301994999996,0.8680159561551687,0.014694491713241553,334.4018863833334
2048,1024,145.19816507797162,17917,535,30494720,25168816,0.23522307128139558,0.15743724900876346,1.0,2048,0,1,1,330.60830805,0.682887336589829,0.06291779402952563,334.4018863833334
