cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,763.5725927259738,1876545,134884,58912768,53076432,0.6586874820183841,0.22320208075675166,1,1024,0,1,1,875.8542142999999,0.8346985905432494,0.07878969403840902,2188.755716634615
1024,128,1295.1030440308643,2253259,259945,38060032,36085040,0.4302704720026175,0.09118077433494226,0.3679382717829354,1024,0,1,1,5948.703585599999,0.9463623113626548,0.008504093058288725,2188.755716634615
1024,1536,633.2942068931782,1832931,176719,56152064,37264184,0.6662345262167909,0.2914453964096349,1,1024,0,1,1,687.79664355,0.7708110116768658,0.07500527757089596,2188.755716634615
1024,2048,379.63308210112274,1803900,122800,53268480,42620360,0.6178565162592192,0.3214930868811089,1,1024,0,1,1,537.9281748500001,0.7662302295559866,0.10390844683331046,2188.755716634615
1024,256,2594.4323911198207,2271741,211623,45924352,34475824,0.35200934964305897,0.1378013796450797,0.36601014664457443,1024,0,1,1,5980.0410909375,0.8904775406337609,0.07660922450308597,2188.755716634615
1024,512,1971.810996447554,2407356,232343,37535744,34583008,0.41792056223346685,0.10755909255814909,0.846008513870982,1024,0,1,1,2587.15566185,0.9258544478282562,0.03867545654196244,2188.755716634615
128,1024,768.4241769329875,1842428,148316,44748800,37504344,0.6524304862939572,0.21160069157550113,1,128,0,1,1,896.0931629000003,0.8306446471240235,0.08595458402918614,2188.755716634615
128,128,2251.292853720581,2088972,228008,37273600,35272304,0.4994933710080579,0.25663453839976846,0.37562419057758323,128,0,1,1,5826.9828502499995,0.9315110180732917,0.009719498748120498,2188.755716634615
128,1536,359.33950611329345,1848526,167637,61657088,39084032,0.6549176768326836,0.3542677140802778,1,128,0,1,1,510.7419787,0.7765858106882446,0.09353744361206176,2188.755716634615
128,2048,263.90157518791153,1477084,131138,51957760,40665592,0.7704803043747535,0.37793605532374575,1,128,0,1,1,313.27785889999996,0.8139447365348781,0.0687309997233123,2188.755716634615
128,256,3922.843207752604,2171773,172002,37535744,34881896,0.22637669394346244,0.08559721892574099,0.21654000273184423,128,0,1,1,10107.858543555556,0.9181233506219102,0.047118614147071726,2188.755716634615
128,512,2088.8296009460264,2358249,207968,38060032,35842632,0.4663518133137045,0.061834622170650604,0.8272935966446326,128,0,1,1,2645.6819266,0.9308023353828352,0.029403742729522744,2188.755716634615
1536,1024,764.2840088397406,1852698,161405,58650624,51730592,0.6728296013522819,0.22723244608726306,1,1536,0,1,1,915.4446621999999,0.7988807071410022,0.10666286930752411,2188.755716634615
1536,128,692.946445463815,2006344,284822,40681472,33455952,0.5379828865167572,0.09863354849558392,0.519862719140804,1536,0,1,1,4210.25712375,0.872696554311212,0.06573026364193188,2188.755716634615
1536,1536,384.1356474911894,1780495,142609,65064960,40776072,0.6224929291392023,0.3481119359507442,1,1536,0,1,1,505.70146384999987,0.7643663071815378,0.09006728664140823,2188.755716634615
1536,2048,298.9823132266309,1708897,89461,53268480,38841768,0.5443119300050026,0.3261806923298187,1,1536,0,1,1,492.66515704999995,0.7915432861594309,0.06043525407431747,2188.755716634615
1536,256,3538.0529375286224,2130489,200612,37797888,34729288,0.3804818148212574,0.23814018100245646,0.3424364245753929,1536,0,1,1,6391.7140805,0.9317881998899379,0.015196410876831533,2188.755716634615
1536,512,1591.998402606407,1973406,203954,37535744,34899096,0.47498112352387556,0.11326479549368905,0.9797680511780099,1536,0,1,1,2233.95293815,0.9151588137747642,0.055829720474058056,2188.755716634615
2048,1024,845.4760302006857,1920069,135552,42913792,36548240,0.6807288633054883,0.24065883251207734,1,2048,0,1,1,872.6127210499999,0.8451683147504854,0.08267603967973228,2188.755716634615
2048,128,5757.120083894652,2377675,239177,37797888,35081216,0.4066489453958857,0.18562455791857038,0.2559381226896933,2048,0,1,1,8551.8940814,0.9415256865024183,0.013134093142110108,2188.755716634615
2048,1536,613.6751753304793,1976033,130362,64278528,34165544,0.6806908405111606,0.3068119167253431,1,2048,0,1,1,698.6010058500001,0.7527443322905365,0.09614511839196233,2188.755716634615
2048,2048,373.09766180173057,1623076,173497,52744192,39845376,0.6249494534739449,0.31295699650856007,1,2048,0,1,1,527.8916159999999,0.7711647379729653,0.07849198668580902,2188.755716634615
2048,256,3228.0444954516524,2059211,189416,46972928,34501896,0.37371838324455875,0.12801612924512057,0.38303275636240514,2048,0,1,1,5714.278166235295,0.8972815234923934,0.07433667098652458,2188.755716634615
2048,512,2002.5177961466552,2097013,199608,37273600,34441704,0.4282026093602241,0.0786171966441884,0.8889987451723448,2048,0,1,1,2462.0459011000003,0.9335572317599109,0.022307882393657236,2188.755716634615
256,1024,807.8821181062583,1923856,155059,58912768,51046520,0.7036726666297223,0.24568521780786004,1,256,0,1,1,927.8332382499999,0.7824973172573391,0.10339779010185411,2188.755716634615
256,128,4808.963026154308,2541592,288251,37797888,36015592,0.3492436212110232,0.20332466620964865,0.22443026663416327,256,0,1,1,9752.497956090909,0.9191885586630384,0.04850536385201094,2188.755716634615
256,1536,445.5912746960698,1878784,145792,53268480,37854248,0.5746377551619781,0.3245982606638326,1,256,0,1,1,577.38499685,0.7904728077164843,0.09902641888654391,2188.755716634615
256,2048,232.2810244781102,1506507,141278,53792768,39257592,0.589970575809782,0.3172564831726669,1,256,0,1,1,427.87118215,0.8099208176814384,0.07310539233808601,2188.755716634615
256,256,3380.470345724795,2068240,262724,42516480,32984384,0.3909729556439471,0.10708025137824564,0.440099555501944,256,0,1,1,4973.3195348,0.929323005618932,0.04583196905673097,2188.755716634615
256,512,2696.0290480287276,2183269,212131,37011456,34273976,0.4683280754831247,0.2679357875116652,0.7971989053404577,256,0,1,1,2745.5578551000003,0.9113076097239293,0.06089300829480748,2188.755716634615
512,1024,775.4968615867413,2028266,182893,51040256,36719368,0.6793431990709238,0.2859102509181296,1,512,0,1,1,895.2301947,0.8012730276100684,0.09443836167193301,2188.755716634615
512,128,3004.078181046946,2172628,208082,45924352,33844448,0.47906174985109884,0.1911670144707185,0.34602779367786035,512,0,1,1,6325.375465857142,0.8738609828211886,0.0909794188569364,2188.755716634615
512,1536,573.5097322836351,1925983,159905,72937472,59037912,0.5775169809352951,0.27293158991178246,1,512,0,1,1,698.0055666999999,0.7773218736398507,0.08442588306175378,2188.755716634615
512,2048,367.5186539474303,1701915,148985,64802816,39047968,0.6536903094305488,0.3996361076269855,1,512,0,1,1,546.4701372999999,0.7830552695515609,0.08604497281471005,2188.755716634615
