cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,181.11941084394923,476179,47966,41267200,31489280,0.6292707793744662,0.1542122313620586,1,1024,0,1,1,579.9121325000001,0.7603361715604084,0.12890552678519693,842.6318460769229
1024,128,474.7061693538858,446967,75389,34840576,29730824,0.38274023608899,0.16574298299203444,0.5479970632544636,1024,0,1,1,1537.6575945000002,0.9016721200470733,0.023040311209558316,842.6318460769229
1024,1536,151.10324818806026,339364,71148,59756544,45610912,0.6127038209758918,0.28272261363178847,1,1024,0,1,1,509.47077525000003,0.7599182018844277,0.09712733160931325,842.6318460769229
1024,2048,128.49831387495723,318153,53644,60805120,44871312,0.6358482907055445,0.28730166754744096,1,1024,0,1,1,409.35407024999995,0.7139636820208181,0.13810946716411268,842.6318460769229
1024,256,488.3260080692486,389550,60646,42704896,29799280,0.37713313715924435,0.16613649860775925,0.6156724072084157,1024,0,1,1,1368.6366908947368,0.8449804059600781,0.08393223984318687,842.6318460769229
1024,512,270.79260834977225,511369,78536,47169536,44048336,0.39704277785758496,0.07270350541391371,0.7138104788092825,1024,0,1,1,1180.4699862105263,0.8869169642173254,0.07760392005023412,842.6318460769229
128,1024,237.56243441660465,415207,54696,54120448,44210992,0.6626576987602973,0.2652598543256341,1,128,0,1,1,587.0071845,0.7875150449296291,0.10703534344827212,842.6318460769229
128,128,673.2469674255959,351919,84694,35102720,29673072,0.25700207886644416,0.0770070090825265,0.43085386938289943,128,0,1,1,1955.7253768749997,0.867139692377111,0.06667950105185676,842.6318460769229
128,1536,164.7211044852326,315528,34119,56872960,45771432,0.7615451815802755,0.42129011770388936,1,128,0,1,1,418.8296156,0.720205025123956,0.1592420327281147,842.6318460769229
128,2048,131.6902424516512,335977,53289,58970112,46027720,0.5680665141609422,0.2088293660090873,1,128,0,1,1,434.7816462999999,0.7020916974827813,0.1458710521278639,842.6318460769229
128,256,455.70479286118774,441565,68454,32743424,29736440,0.27356932941259143,0.08550112026685187,0.4333681696012604,128,0,1,1,1944.378718105263,0.8946804611767613,0.05087916787004184,842.6318460769229
128,512,215.8744431214341,429939,41230,32481280,30204360,0.4515664532595071,0.07897981881308931,0.8433005645768646,128,0,1,1,999.2070223500001,0.915701332339772,0.023900943395299856,842.6318460769229
1536,1024,198.37525733339095,465731,51108,54644736,44279984,0.6185917867322183,0.187896924555674,1,1536,0,1,1,574.8113917999999,0.7546422442062498,0.11372413581047319,842.6318460769229
1536,128,496.78495986777403,495332,54824,46645248,44550440,0.5067680085970955,0.1919490157473558,0.7106196050210968,1536,0,1,1,1185.770615,0.8755742666962372,0.08473082986218097,842.6318460769229
1536,1536,148.38597658024648,353691,67647,58437632,30551032,0.5986002645196387,0.23115513449296324,1,1536,0,1,1,493.68091944999986,0.744056615900578,0.1278900400718969,842.6318460769229
1536,2048,137.74293725129155,342785,67652,59232256,44933152,0.6167651580385954,0.3017598333251331,1,1536,0,1,1,404.3410413,0.751160116438678,0.1563853534017243,842.6318460769229
1536,256,505.072463085602,347581,83873,35627008,30190664,0.41482696071452935,0.23501391379271222,0.6163059448221723,1536,0,1,1,1367.2297876666667,0.8757233680777792,0.04499952903339532,842.6318460769229
1536,512,181.0321752269675,429273,65015,37199872,29620272,0.413916000956588,0.08906296388742245,0.8041012425668729,1536,0,1,1,1047.9176022499998,0.8545746391027793,0.07574427496265282,842.6318460769229
2048,1024,201.74485311129902,383123,63922,41529344,30347088,0.6484500397921815,0.21371212813845225,1,2048,0,1,1,557.04832965,0.7445044884475035,0.11043982036995464,842.6318460769229
2048,128,758.2419387525675,438111,89096,33267712,29947088,0.4357469529323808,0.2087986817910298,0.5717241578475469,2048,0,1,1,1473.8433465000003,0.8450997317431217,0.062269090580662025,842.6318460769229
2048,1536,147.2625578459697,371873,54964,54775808,45330912,0.7615859105470524,0.4111838395088129,1,2048,0,1,1,385.46919075,0.7631050510359512,0.12098401133091946,842.6318460769229
2048,2048,118.86209905183168,305373,31366,44806144,30568920,0.6217684590891192,0.28024190970627827,1,2048,0,1,1,407.9559116,0.7110633496061355,0.17380589798386306,842.6318460769229
2048,256,439.9864602480329,541247,51638,32481280,29710992,0.4508757588439303,0.20465479728820768,0.6979044811222499,2048,0,1,1,1207.3741735,0.8665930401625509,0.06391758100032646,842.6318460769229
2048,512,302.1152207991383,376908,41128,32219136,29681376,0.4361101860028548,0.10151385920886714,0.8107934013642174,2048,0,1,1,1039.2682582999998,0.8803048436841531,0.04620336972964412,842.6318460769229
256,1024,196.0950728454451,403524,32661,47296512,30099952,0.6345354722327404,0.25509333712376553,1,256,0,1,1,588.8068105499999,0.7859959556974442,0.11332423697580667,842.6318460769229
256,128,1010.4212021417217,451528,79108,33005568,29694392,0.24941001849524064,0.14110004361461764,0.3329333612480439,256,0,1,1,2530.932445214286,0.86254001536639,0.07176245202226572,842.6318460769229
256,1536,158.42978230474415,370019,61913,59232256,46139896,0.7559627787801815,0.34746692738547724,1,256,0,1,1,450.39552509999993,0.7214641063690166,0.16708237487170793,842.6318460769229
256,2048,218.01713507593132,364055,72553,61067264,44947720,0.6960129995519931,0.3403574136029471,1,256,0,1,1,429.71267165000006,0.7378861972699544,0.12528144685806977,842.6318460769229
256,256,340.0535151892756,403961,56151,33267712,29645072,0.2862494020481854,0.059952393588540175,0.49808120650816323,256,0,1,1,1691.755952777778,0.8865724780445239,0.05134094602654362,842.6318460769229
256,512,212.76971524023946,404795,71768,33005568,29633040,0.43602419504454304,0.08922702880999477,0.8162668385889854,256,0,1,1,1032.2994959999999,0.880489032040461,0.052597090360293794,842.6318460769229
512,1024,183.88347261485526,387716,52288,38907904,30360648,0.6534971426447971,0.18689217904387498,1,512,0,1,1,576.0469921000001,0.7316058978841607,0.11532677935343129,842.6318460769229
512,128,1321.7005067787481,427185,50482,33792000,29881184,0.21837815364813293,0.08621888524273444,0.3173834986343204,512,0,1,1,2654.9327539166666,0.894545419317418,0.0667039263259326,842.6318460769229
512,1536,158.58122860592778,333867,48903,45068288,31096640,0.5928178595757666,0.2451746291316295,1,512,0,1,1,486.5613593000001,0.7420367907598248,0.12563451769725617,842.6318460769229
