cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,182.9797510950234,429933,46848,49655808,31510152,0.676950101604913,0.17594622003727015,1,1024,0,1,1,511.8815458000001,0.8246980448274049,0.10353858519577168,832.035413174312
1024,128,362.8555609723856,429306,65342,32481280,29649728,0.5635300343536485,0.24192724613009614,0.7738527474377738,1024,0,1,1,1075.18570675,0.8700702897568592,0.03014946994973837,832.035413174312
1024,1536,138.6332445318177,337522,68495,58970112,44988104,0.6744269619660085,0.26472092828620225,1,1024,0,1,1,404.51509509999994,0.7483886661880623,0.11479178290606286,832.035413174312
1024,2048,128.81869313207014,308061,32321,44544000,31719848,0.5399621471650834,0.2650670501045136,1,1024,0,1,1,421.93825255,0.7100025865758226,0.16143624453991168,832.035413174312
1024,256,317.71013129992275,447875,56605,33005568,29764040,0.31693270767954124,0.09047027602229185,0.528951977140468,1024,0,1,1,1572.9885682105266,0.8559815564208243,0.07574944723617726,832.035413174312
1024,512,217.20030863085626,471826,54514,39297024,30288200,0.4883165884525814,0.12569210821406845,0.8833849584739246,1024,0,1,1,941.8718365000004,0.867093153417736,0.07889167997759865,832.035413174312
128,1024,206.11243142696185,437841,67363,42577920,30359272,0.6433143738350915,0.22366482827366882,1,128,0,1,1,575.2266427000002,0.7688254034306344,0.10292905401304994,832.035413174312
128,128,931.6165084486473,380638,53183,34054144,29612064,0.2571616661243598,0.10773933928253637,0.38152318757460213,128,0,1,1,2180.825282111111,0.894284923963739,0.03430702391962853,832.035413174312
128,1536,136.74572276652657,442104,34582,60542976,44545784,0.8164462702978964,0.40030249498246095,1,128,0,1,1,366.99414685,0.7512309416104495,0.13145288955328335,832.035413174312
128,2048,116.18740691546964,326818,50685,58970112,45388584,0.622787522699679,0.2755365897637413,1,128,0,1,1,394.25743804999996,0.7456680019941919,0.14138739143916387,832.035413174312
128,256,261.52526591259686,438714,54412,39821312,29624568,0.2370690393801067,0.026229137529154713,0.41729616295607463,128,0,1,1,1993.8726665500003,0.880989128166712,0.06854924712621066,832.035413174312
128,512,279.1474009382166,417514,45491,32219136,29875096,0.46989869044293525,0.1154778143006929,0.8327397014860972,128,0,1,1,999.1542515500001,0.8568484306365598,0.08196101171890803,832.035413174312
1536,1024,147.35829238759237,436915,70214,47820800,29836840,0.585827896769063,0.18010540695959268,1,1536,0,1,1,586.0942575,0.7588785754059051,0.11755857712016551,832.035413174312
1536,128,704.4938075636595,414919,88866,33005568,29808288,0.4135079166359243,0.14814981497015003,0.5957387630573648,1536,0,1,1,1396.6447456,0.9039621920823679,0.02022274188875399,832.035413174312
1536,1536,153.24021712588325,393537,81242,63164416,44321536,0.5465098870058273,0.2101731742606117,1,1536,0,1,1,471.7863071499999,0.7659703319668828,0.13245348108482682,832.035413174312
1536,2048,160.6166881884403,289342,82559,59232256,44880616,0.6288773162402286,0.3082029412485657,1,1536,0,1,1,419.59218515000003,0.7089108313335044,0.158948735149918,832.035413174312
1536,256,455.2651307317528,445858,65627,32743424,29567984,0.4103864478537796,0.22462924065196047,0.598666927167085,1536,0,1,1,1389.8135597894736,0.8596907931606912,0.054993128087170384,832.035413174312
1536,512,213.51970079333086,399118,63302,32743424,30270384,0.43925428058920823,0.1014692236716682,0.8012089027251066,1536,0,1,1,1038.4749974000001,0.8784094349561352,0.07421267081755258,832.035413174312
2048,1024,178.3239803821508,392232,42507,44150784,30376216,0.6573160475412332,0.26362077250798766,1,2048,0,1,1,547.9302415,0.7803110181336695,0.11993699247592567,832.035413174312
2048,128,556.7196594265425,442402,59949,32743424,30022424,0.5236173757892286,0.20296297606599276,0.6811818844924098,2048,0,1,1,1221.458515142857,0.8564104740158001,0.07419293661627413,832.035413174312
2048,1536,208.37814119385786,338089,56652,58445824,44529352,0.6116798670035333,0.23996873834341323,1,2048,0,1,1,500.4487853500001,0.7440677963545066,0.12515253027968778,832.035413174312
2048,2048,146.6709438517678,337027,66523,59232256,45445064,0.5675793836068633,0.27222373528699584,1,2048,0,1,1,478.4708720500001,0.7539436216534801,0.13165184165687405,832.035413174312
2048,256,390.19684466377004,399906,44755,46907392,44085424,0.43470482963417406,0.18990644692704023,0.6836511631452493,2048,0,1,1,1217.0467308888888,0.8907248776383416,0.061233145891069575,832.035413174312
2048,512,247.75293512077238,357970,58843,32743424,29784544,0.42447200668867363,0.07904229551804103,0.7557979505555483,2048,0,1,1,1100.8701632,0.8882425054164358,0.06859141536155455,832.035413174312
256,1024,180.058924796546,433390,41218,39170048,30784248,0.7034350554650242,0.22179739006229807,1,256,0,1,1,504.9969409,0.7596429111429501,0.11547815735187902,832.035413174312
256,128,559.9653435935412,499483,40678,32743424,30318192,0.2853241651710604,0.06774604797545775,0.4470095410583848,256,0,1,1,1861.3370336666667,0.8461700113996447,0.07269679465998204,832.035413174312
256,1536,127.38899736630769,325366,79292,64212992,44323368,0.6444197994780608,0.3041656575873291,1,256,0,1,1,441.05396695,0.7279749813244389,0.16458829646147805,832.035413174312
256,2048,141.04627986136717,360626,65608,58970112,46116776,0.7326293912972915,0.435321196496878,1,256,0,1,1,366.5456733,0.657293341957607,0.15321552080379747,832.035413174312
256,256,399.172640854628,363404,53233,32743424,29694232,0.2596075323320093,0.05080173174557121,0.4487379958036853,256,0,1,1,1854.1675119000004,0.890530599077071,0.04597094917320937,832.035413174312
256,512,178.32258495832713,389931,53196,35889152,29595840,0.44858905162584684,0.1122320050205204,0.8002243541371135,256,0,1,1,1039.75267545,0.8801703918816542,0.07461682187926963,832.035413174312
512,1024,161.52638385428583,403240,37396,50450432,44603064,0.6523044860527074,0.23352484429109405,1,512,0,1,1,544.8198403999999,0.7693936152153491,0.12126716012232898,832.035413174312
512,128,481.58134922785507,384862,103847,32743424,29625800,0.30986543615359335,0.10393114985087888,0.48224861927715823,512,0,1,1,1725.3246145555559,0.898312376065814,0.0413654287053536,832.035413174312
512,1536,140.859304485129,414294,40181,60280832,44860464,0.6705779872163327,0.34304714460594044,1,512,0,1,1,438.15246534999994,0.7469937995706474,0.13092437486384564,832.035413174312
512,2048,135.84649885025738,268367,55202,44806144,31695896,0.5419295416912325,0.29749813111086915,1,512,0,1,1,474.6625071999999,0.723385153600915,0.1366162088050947,832.035413174312
512,256,333.35933749606687,428376,71420,34840576,30194208,0.2878678139109498,0.05521847176172037,0.5025044840754719,512,0,1,1,1655.777091631579,0.8887603623905731,0.06073227995055721,832.035413174312
512,512,207.08651374083937,451062,43521,32481280,29834832,0.45614769891611073,0.08904145184145486,0.7992046970112896,512,0,1,1,1041.07923325,0.8715890963473489,0.07542656016103377,832.035413174312
