cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,788.0004708433394,1868272,150687,57077760,48997120,0.6116288140336233,0.21077153891990383,1,1024,0,1,1,895.2759982499998,0.8522628331912205,0.06412915651121318,2411.1602442424237
1024,128,1814.5944705000002,2209324,258119,51175424,46820856,0.764562891873083,0.3156242033012354,0.6549263320511398,1024,0,1,1,3681.5747455,0.9171672715403394,0.0022582714703057727,2411.1602442424237
1024,1536,417.94195672146816,1704264,158037,62713856,47541664,0.5312368463205476,0.30965446470693775,1,1024,0,1,1,521.6797945000001,0.7868205673924793,0.08478177538466636,2411.1602442424237
1024,2048,258.4434702254308,1697065,136712,67956736,47742904,0.4505138872778739,0.3010976717570273,1,1024,0,1,1,443.84009905000005,0.7975322670072182,0.07703110357477883,2411.1602442424237
1024,256,3495.999805471859,2023590,205133,50913280,47521144,0.43789867178082315,0.24356241303957687,0.44058973755166697,1024,0,1,1,5472.574685105262,0.9366186754685423,0.015304600473007956,2411.1602442424237
1024,512,1509.1945243347006,2327313,217179,51699712,46972888,0.6545379857057928,0.2965811981267492,1,1024,0,1,1,1646.7488294000002,0.9301132190397545,0.03448380711801831,2411.1602442424237
128,1024,815.3439317992994,1888960,167851,58126336,47298664,0.6283890148843586,0.18913120231793276,1,128,0,1,1,862.2907208500001,0.8455651349456603,0.07719806759490169,2411.1602442424237
128,128,1682.3081709562264,2320038,262144,51175424,47096600,0.5059264772203503,0.20315534808840927,0.4393635719743589,128,0,1,1,5487.847418499999,0.9226716620337873,0.01204908462579323,2411.1602442424237
128,1536,578.0171832305922,1751879,167032,75034624,50613120,0.6010260624916393,0.28270528908607206,1,128,0,1,1,654.4832863499998,0.7950994900818714,0.09131759338103482,2411.1602442424237
128,2048,417.89692828389144,1590301,135091,91811840,47344760,0.48983782118187147,0.2434401377759843,1,128,0,1,1,520.420446,0.7905684871374972,0.0862160369778562,2411.1602442424237
128,256,4489.919959622305,2193090,195415,50126848,47452216,0.2676188856352805,0.18245946937258412,0.23830213251216154,128,0,1,1,10118.08085317647,0.9403860332052626,0.010416135409068413,2411.1602442424237
128,512,2088.1080968488423,1928014,199709,49864704,47385776,0.41302313487933284,0.08499302806831982,0.8484375218603858,128,0,1,1,2841.883087578947,0.9289714665068505,0.03490008737017445,2411.1602442424237
1536,1024,823.347222971575,2014007,176426,58912768,47015704,0.5905300474609977,0.22260050384703617,1,1536,0,1,1,954.1635713000002,0.8419012706950857,0.07139108328125536,2411.1602442424237
1536,128,2459.8669401165284,2347799,204173,51437568,46841872,0.5178932939350545,0.20258212269236714,0.4316630215617011,1536,0,1,1,5585.746575000001,0.9260012995534984,0.011338475114002903,2411.1602442424237
1536,1536,537.3167158734149,1871564,139995,73986048,50865320,0.5922144616714027,0.3148080408078844,1,1536,0,1,1,604.0808399,0.8086716426086238,0.07024124407634665,2411.1602442424237
1536,2048,451.20164378075657,1651244,132508,62451712,50151216,0.5480528945490833,0.3089646716415206,1,1536,0,1,1,533.4487347000002,0.8095953033399403,0.06553696315202388,2411.1602442424237
1536,256,3866.372428986501,2394152,174696,49864704,47447928,0.2792669120104898,0.08839634696368975,0.30464741820045316,1536,0,1,1,7914.59273965,0.9364399772277547,0.020031581874159838,2411.1602442424237
