cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,791.6129618298775,1649167,131732,43175936,37448072,0.4142164151090132,0.27741120693932914,1,1024,0,1,1,784.9599417894736,0.8493459513474746,0.022496185251012043,3382.2553159375007
1024,128,3925.790722019033,1712034,187955,35962880,33102120,0.20148327353598286,0.05361119733877455,0.26632385481965803,1024,0,1,1,12699.783570749998,0.9249459304813425,0.00883852983885971,3382.2553159375007
1024,1536,573.5878701621419,1548398,146271,52219904,38435328,0.4357622793418587,0.3336560762807021,1,1024,0,1,1,588.0689833000001,0.7365508812015571,0.04796581240151975,3382.2553159375007
1024,2048,353.0606645262474,1593312,106900,51957760,37730776,0.4452780117657051,0.3492421300925746,1,1024,0,1,1,453.4403532,0.7240343114504986,0.052389015414636544,3382.2553159375007
1024,256,3045.535516998982,1915083,138953,35700736,32818432,0.24252828613587143,0.03080410684002401,0.4549314566309056,1024,0,1,1,7434.648157736842,0.923117476128186,0.011680144984448472,3382.2553159375007
1024,512,1984.0947996409127,1981486,143182,37011456,33687920,0.3462985585720558,0.12081680012371374,1,1024,0,1,1,2220.39024385,0.9200236142528558,0.039421369738704505,3382.2553159375007
128,1024,790.3480120064975,2039404,180070,45535232,39427576,0.3622924014806183,0.29302534345296505,1,128,0,1,1,840.8917120499998,0.8559467920801807,0.020080609131066678,3382.2553159375007
128,128,1635.3963571118968,2297215,237409,37273600,35154104,0.15969405302541662,0.018660041691265172,0.22586108674722613,128,0,1,1,14974.935986750002,0.9288891972319234,0.008529675832547427,3382.2553159375007
128,1536,605.0447576765746,1654538,140016,52219904,42208304,0.3726788310600584,0.29348190239429395,1,128,0,1,1,665.35213295,0.749453538613424,0.048458709075149035,3382.2553159375007
128,2048,368.3350005908362,1683721,117012,53268480,43097264,0.3623331550395071,0.28738978500020923,1,128,0,1,1,519.1198636000001,0.7559442997459095,0.07488897029767955,3382.2553159375007
128,256,3281.1259119322804,1876833,179022,36225024,32998912,0.2122785795886501,0.02289519099233208,0.39811211420227804,128,0,1,1,8495.735736941177,0.9255550934643599,0.006796690360475916,3382.2553159375007
128,512,2113.6117367788634,2029660,125354,37535744,34053728,0.3653840955278364,0.16576182058393119,1,128,0,1,1,2166.98895695,0.9283003369233119,0.01034146704627051,3382.2553159375007
1536,1024,727.0813231275961,1731458,141814,43438080,38222144,0.3762671468300902,0.26647925467867867,1,1536,0,1,1,804.41346385,0.8446681013671753,0.02412750127893313,3382.2553159375007
1536,128,1373.981645261279,2116766,183301,37273600,34282400,0.34275022021141904,0.07468231509618663,0.5086316233080299,1536,0,1,1,6649.714962549998,0.922670547357965,0.0074845552229321185,3382.2553159375007
1536,1536,510.413874812244,1528139,167218,51957760,41842896,0.474818461315881,0.3629098185876897,1,1536,0,1,1,522.7958306500002,0.7540624862256697,0.04531627707205956,3382.2553159375007
1536,2048,391.85218139833233,1701680,112595,53268480,39262592,0.37263444180417865,0.29922313496685665,1,1536,0,1,1,467.4790822,0.757515644300981,0.0543695520366688,3382.2553159375007
1536,256,2741.4100731982658,2260945,191714,37535744,34739784,0.2999140088963224,0.08850370080348052,0.6247284743291674,1536,0,1,1,5413.960552333334,0.9256241332087032,0.012014953717340945,3382.2553159375007
