cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,726.2630025073385,1806002,130601,43438080,35397752,0.2801604331103087,0.2764524347017871,1,1024,0,1,1,995.0675184000002,0.8123115983981435,0.02272202157183342,3152.1777773135595
1024,128,3408.490818341722,1997828,246291,36225024,32838544,0.25332282734256323,0.06457527413348342,0.32544092784086676,1024,0,1,1,9685.867718687501,0.9151124206263757,0.0053891416907882106,3152.1777773135595
1024,1536,458.4385070628792,1649997,95268,50909184,38424160,0.2512581427920141,0.28924802803258204,1,1024,0,1,1,858.6477871499999,0.6942306405518959,0.04687296431176039,3152.1777773135595
1024,2048,360.2140231751602,1442293,92015,50909184,35146872,0.19822688200831437,0.26889596101011015,1,1024,0,1,1,756.67120065,0.7137105038945584,0.031977034108641285,3152.1777773135595
1024,256,2823.257454719773,1854767,194197,35962880,32627296,0.2734480007653322,0.1153128132368475,0.6234139662967847,1024,0,1,1,5056.315622888888,0.919534857585908,0.01213163936228501,3152.1777773135595
1024,512,1514.4694447577929,1823611,94537,36225024,33167520,0.30680514317046576,0.22079768850307394,1,1024,0,1,1,1980.62611265,0.9246459437733117,0.009929917676165825,3152.1777773135595
128,1024,736.5611051687177,1697350,134887,43700224,35104280,0.2556057621812823,0.2667462857780403,1,128,0,1,1,1059.3186471499998,0.8177896774230377,0.023983225772849476,3152.1777773135595
128,128,1356.0780836499393,2173198,174878,36749312,33829432,0.18571049878040202,0.022011237294903854,0.27028541445473186,128,0,1,1,11662.404290933335,0.9192667292484092,0.005994695080256987,3152.1777773135595
128,1536,510.67045962363295,1608532,143163,52219904,34376256,0.23618494364474868,0.2760143802214861,1,128,0,1,1,912.1957455999998,0.6908505131825559,0.061827654663927444,3152.1777773135595
128,2048,346.2499057080071,1530532,83458,52219904,36987968,0.1804235569742215,0.2505906712601005,1,128,0,1,1,795.87382205,0.7277754560965564,0.03804572215427001,3152.1777773135595
128,256,3276.030647412528,1814117,129986,36225024,33570512,0.22124547782962736,0.034985664141526,0.45157235471735396,128,0,1,1,6980.448967666667,0.9179146913382229,0.009080224400375486,3152.1777773135595
128,512,1094.5801224258307,2247545,181559,36225024,33421392,0.3829029434761965,0.29840158704406394,1,128,0,1,1,1642.4756069,0.9254648436384031,0.014581279084290358,3152.1777773135595
1536,1024,720.9288010795173,1601687,103647,42913792,35524072,0.3191462901660947,0.28413232677166916,1,1536,0,1,1,933.7041337999999,0.8303078219431225,0.019814047794999488,3152.1777773135595
1536,128,5015.236332823317,2049158,231663,36225024,32747280,0.2638281296592825,0.10923858718302461,0.31026489808578345,1536,0,1,1,10159.63390238889,0.9141168498624686,0.01038423970887875,3152.1777773135595
1536,1536,470.9111975260347,1594739,138092,53006336,35433688,0.24317223621907408,0.31089610803674717,1,1536,0,1,1,898.890496,0.7008508567946563,0.05835042940514044,3152.1777773135595
1536,2048,395.91589227781594,1482881,89215,51957760,34207480,0.16717099102336805,0.23954206535672076,1,1536,0,1,1,796.1253750999999,0.7138100051278409,0.04395295313577146,3152.1777773135595
1536,256,2608.6847580713475,1816290,163254,35962880,33444456,0.28785316421272394,0.09393444234455829,0.5857177247594153,1536,0,1,1,5381.735337800001,0.919473924844621,0.010100617760545634,3152.1777773135595
1536,512,1894.8646972254955,1766042,177447,36225024,33051208,0.30468018828390536,0.14910032184402405,1,1536,0,1,1,2184.7187068499998,0.9193699048204819,0.010341313986728795,3152.1777773135595
2048,1024,721.2746892754484,1598175,137711,43175936,33227280,0.3037539950977072,0.2677211899683528,1,2048,0,1,1,885.7026572499999,0.8112985960501622,0.02317686319003225,3152.1777773135595
2048,128,845.0211776191816,2102272,192845,36487168,33854024,0.26745515979024825,0.027441230187474745,0.38967767147004284,2048,0,1,1,8089.192704888888,0.9139028930043688,0.008609838649687833,3152.1777773135595
2048,1536,531.6491147225679,1720641,122022,52482048,34694424,0.22053639058779456,0.2888416115461978,1,2048,0,1,1,861.8554945,0.6999596288889476,0.05477951488646846,3152.1777773135595
2048,2048,435.1538021770973,1494055,106517,51957760,34127992,0.19698702894015166,0.23014070967051406,1,2048,0,1,1,702.44628975,0.7189657236191909,0.04343800848736793,3152.1777773135595
2048,256,2823.1951576219367,2068298,155826,36487168,33118968,0.3009700654355155,0.12323755358203364,0.5968901589084405,2048,0,1,1,5281.001420894737,0.9145828024424395,0.008868406550263786,3152.1777773135595
2048,512,1495.2283724640565,2098772,146271,37011456,34016696,0.3616628019799345,0.2665711180349941,1,2048,0,1,1,1855.3305776500001,0.9230580394142336,0.009783796981227713,3152.1777773135595
256,1024,711.8592527156565,1819557,180490,43438080,33771264,0.272503005423541,0.28588987347474265,1,256,0,1,1,946.4605787,0.8199428963060166,0.028662579555255377,3152.1777773135595
256,128,2725.863379014244,2255195,180740,36749312,33654840,0.16451752721997687,0.029728290346328016,0.21919174426797655,256,0,1,1,14380.914700235295,0.9173819841645936,0.007965068558747755,3152.1777773135595
256,1536,541.3791763857415,1601050,119536,51433472,37421200,0.2370895441499774,0.2608430620553489,1,256,0,1,1,896.1959735999999,0.7174853910219037,0.035619552304244,3152.1777773135595
256,2048,365.6385420574131,1601769,91399,52482048,34848864,0.18292071492729642,0.3229049157346053,1,256,0,1,1,796.6011620000002,0.7316587868531543,0.041285712357608605,3152.1777773135595
256,256,3309.6454411437953,1937209,151127,36225024,33577936,0.20817700779589368,0.0437149646979631,0.4194593074533157,256,0,1,1,7514.8595377500005,0.9210295245873985,0.009859395535458495,3152.1777773135595
256,512,1687.6629761369243,1920138,194777,36225024,33099840,0.31665971481242594,0.26631763766524535,1,256,0,1,1,1983.3533349000002,0.9191912402313263,0.013556568222262514,3152.1777773135595
512,1024,712.2322855570345,1583460,147517,42651648,33455568,0.2847017006159723,0.26003119161506716,1,512,0,1,1,1037.0628665999998,0.8045468175680917,0.040741747663151105,3152.1777773135595
512,128,2323.152590973923,1970639,178498,35962880,32573808,0.29747736011375525,0.09931911501179168,0.39621403176047204,512,0,1,1,7955.744937421053,0.9160977821846862,0.009304087499677571,3152.1777773135595
512,1536,625.8044131478113,1628796,114814,51957760,34947888,0.2465531786358915,0.26973529316892664,1,512,0,1,1,889.9409002999997,0.6672783825636683,0.045383301858851414,3152.1777773135595
512,2048,300.0978708593915,1413620,150206,52482048,40187880,0.1941881798169544,0.3000371926922881,1,512,0,1,1,691.7975766,0.7393914118342946,0.036474713125118914,3152.1777773135595
512,256,3110.116395278015,1896569,126943,35962880,32564960,0.22239813465485692,0.05116693660807059,0.4559748270486575,512,0,1,1,6913.052191315789,0.9174220338644306,0.009906675059089027,3152.1777773135595
512,512,1309.3423508913274,2018625,120952,36487168,33591000,0.3336773441950669,0.24671499192558768,1,512,0,1,1,1853.6902703499995,0.9247076801719436,0.012644293050031122,3152.1777773135595
