cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,115.7727014708577,2260,389,30625792,24444776,0.08937828996187562,0.08201891909334119,1,1024,0,1,1,260.28762099999994,0.6646669016886264,0.08345062246646077,312.08395578333347
1024,128,114.94396669573794,3737,29,24719360,20927168,0.10934267840173235,0.1590305618490445,1,1024,0,1,1,235.77306785000002,0.8664433294854001,0.013337295183864816,312.08395578333347
1024,1536,146.23567043800847,4516,24,39407616,24363608,0.06166655281578835,0.05356396274214074,0.9169887938422607,1024,0,1,1,340.33562665,0.5783421759902373,0.09516007609629112,312.08395578333347
1024,2048,135.16033763218988,16171,5852,34574336,14696072,0.0606367144702637,0.04432541318185555,1,1024,0,1,1,285.45808529999994,0.5358046384462741,0.055133791306642206,312.08395578333347
1024,256,116.1636093735238,2021,3642,24981504,20587440,0.13144202830454285,0.17624354090777117,1,1024,0,1,1,195.41460049999998,0.8568823331328483,0.01936415375031167,312.08395578333347
1024,512,143.07971160706757,3653,26,24981504,20635432,0.08064222421994593,0.1461315363084918,1,1024,0,1,1,295.51675724999996,0.8629846160111823,0.018722847544263448,312.08395578333347
128,1024,147.9623842395095,4053,0,30625792,24194488,0.08417217641998481,0.06772056830916341,1,128,0,1,1,290.44848895000007,0.6616472544628231,0.08283725476531419,312.08395578333347
128,128,124.54210582497822,3344,18,24719360,21013248,0.08937356451567394,0.15012397972025168,1,128,0,1,1,295.4271585999999,0.867877509267341,0.016338203910520044,312.08395578333347
128,1536,120.38610306428232,19909,3977,34312192,14693504,0.08376666824667814,0.1378903280925798,1,128,0,1,1,295.31557095,0.515208561445236,0.048990419024345505,312.08395578333347
128,2048,119.40118783781432,59549,878,34836480,14564648,0.06248505412963682,0.08319391434294428,0.8539059627446909,128,0,1,1,365.47813154999994,0.5289199138374485,0.05492589196899694,312.08395578333347
128,256,115.93534264684831,4128,24,24981504,20778224,0.053011364724939836,0.0580585539964252,0.9032837290155986,128,0,1,1,345.4993661,0.866519163590182,0.013595683544588616,312.08395578333347
128,512,128.74805373661215,4388,62,24981504,20531048,0.1045498181134978,0.1684020217371944,1,128,0,1,1,280.33501855,0.860813147143743,0.017270963803462967,312.08395578333347
1536,1024,162.95398097599033,2248,444,30625792,24573208,0.08717970385786449,0.13901082778264665,1,1536,0,1,1,280.21663520000004,0.6727165138931867,0.09489939247318965,312.08395578333347
1536,128,115.21869557850502,3958,605,24981504,20597320,0.09924990498253604,0.17854400079749264,1,1536,0,1,1,235.68159320000004,0.8614016688017955,0.01666936909918553,312.08395578333347
1536,1536,132.07196284563938,142,3409,38883328,24205992,0.05172483421871771,0.02929813808564361,1,1536,0,1,1,295.34540630000004,0.6015958129518564,0.0908698906335733,312.08395578333347
1536,2048,137.5946518522663,49579,10895,34574336,14566280,0.05638692833518285,0.037659508286654056,1,1536,0,1,1,310.28640484999994,0.5329317329478143,0.05533848172407844,312.08395578333347
1536,256,139.5512370034794,3465,19,24981504,20774392,0.09240569311008975,0.12305416512602899,1,1536,0,1,1,250.16610579999997,0.8656339055324274,0.016055978689608418,312.08395578333347
1536,512,150.35166050365947,3676,24,24195072,20582472,0.06451270427519637,0.04646814846495685,1,1536,0,1,1,280.4351213,0.8641205634424098,0.017488148753638442,312.08395578333347
2048,1024,160.09843647371457,2234,417,30363648,24661608,0.0700951683672508,0.07472614048415964,0.9743200998990551,2048,0,1,1,320.309471,0.6688999666462763,0.08475981574991401,312.08395578333347
