cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,702.5042901268947,1522223,175648,42127360,35703744,0.4042765316637594,0.2803296154158071,1,1024,0,1,1,696.7811345,0.8333797964227069,0.04113200120818771,2359.009234485149
1024,128,1279.2224691283834,1801690,248881,35962880,33000128,0.3032167765161683,0.053893582114949413,0.3231327858977658,1024,0,1,1,7300.432940999999,0.9236463585538163,0.0072231991419323335,2359.009234485149
1024,1536,509.1537515568713,1430115,106366,51695616,39598064,0.3979614432042449,0.3513607393218287,1,1024,0,1,1,574.4810879499998,0.7454971720717013,0.05527558989213274,2359.009234485149
1024,2048,432.261998622739,1510614,115969,51171328,39578136,0.2706420818796619,0.2727077942753019,1,1024,0,1,1,481.97718015,0.7502436124349993,0.05112377218181887,2359.009234485149
1024,256,2798.880420361778,2264355,136723,36749312,34091552,0.27234254571181093,0.07690015068418939,0.42152788680689973,1024,0,1,1,5596.330179611111,0.9235078799242742,0.009138480084524316,2359.009234485149
1024,512,1249.434717393926,2243590,209375,37011456,34138000,0.455555958732144,0.2894794966468919,1,1024,0,1,1,1277.088609263158,0.9307615071423534,0.011526226174240707,2359.009234485149
128,1024,820.5000371475238,1573949,120651,42651648,35512728,0.42161913451420785,0.23537586646952327,1,128,0,1,1,734.9500164,0.8302553704726519,0.027860772482179434,2359.009234485149
128,128,1132.5591439994887,1823534,177767,36225024,33376224,0.2845150582417715,0.04649848262649975,0.3043063548184444,128,0,1,1,7752.0866624444425,0.9186538595269119,0.009253179000132106,2359.009234485149
128,1536,512.7317525781428,1423219,143392,51433472,35549952,0.35110072456115027,0.3427323819382644,1,128,0,1,1,576.8922687500001,0.7284904117339075,0.028755098515121123,2359.009234485149
128,2048,367.0883723649535,1459198,175225,51433472,35968992,0.35463207822532733,0.35862180620667855,1,128,0,1,1,463.3628226499999,0.734806957571958,0.049533580227201536,2359.009234485149
128,256,3044.132154571669,1865309,179184,35962880,33370376,0.20267624170860268,0.05075130322650021,0.23201802954166886,128,0,1,1,10167.353111071427,0.9217676453069606,0.009571164841678415,2359.009234485149
128,512,1538.3970821700207,1669281,192586,35962880,33093432,0.3519256471033071,0.2021016053478803,1,128,0,1,1,1571.928308894737,0.9299355602808768,0.012826451026636022,2359.009234485149
1536,1024,1055.096312557198,1575963,144734,43175936,34021232,0.2888776034691725,0.2400828201281482,1,1536,0,1,1,935.94709085,0.8374145517060848,0.029705541798050204,2359.009234485149
1536,128,1338.7873119569956,2004324,184154,36487168,32994512,0.5862410503622274,0.1716535171715378,0.5951962380987051,1536,0,1,1,3963.4142211999997,0.9137034515699938,0.007658644302169676,2359.009234485149
1536,1536,573.3804535643739,1551239,127972,52744192,40782464,0.3175542142957155,0.3071581998156864,1,1536,0,1,1,583.60787845,0.7175104916799139,0.053697444636818345,2359.009234485149
